enum_name,enum_value,sort_order,enabled,notes
#types:string,string,number,boolean,string
content_type,weapon,1,1,
content_type,equipment,2,1,
content_type,item,3,1,
content_type,material,4,1,
content_type,technology,5,1,
content_type,building,6,1,
content_type,challenge,7,1,
content_type,rebirth,8,1,
content_type,shop_proxy,9,1,
shop_category,weapon,1,1,
shop_category,item,2,1,
shop_category,technology,3,1,
shop_category,challenge,4,1,
shop_category,rebirth,5,1,
recipe_type,auto_synthesis,1,1,
recipe_type,synthesis,2,1,
recipe_type,combine_3_to_1,3,1,
recipe_type,equipment_upgrade,4,1,
review_status,ok,1,1,
review_status,needs_confirmation,2,1,
review_status,needs_cost,3,1,
review_status,description_inferred,4,1,
progression_type,normal_attack_count,1,1,
progression_type,monster_kill_count,2,1,
progression_type,repeat_purchase,3,1,
progression_type,recipe_upgrade,4,1,
value_type,number,1,1,
value_type,percent,2,1,
value_type,string,3,1,
value_type,boolean,4,1,
