spawn_point_id,hammer_target_name,current_entity_class,recommended_entity_class,team_name,encounter_group,rebirth_level,archetype_id,enabled,notes
#types:string,string,enum,enum,string,enum,number,string,boolean,string
spawn_wild_boss,monsterorn,info_player_start_dota,info_target,DOTA_TEAM_BADGUYS,wild_boss,0,wild_boss_common,1,代码按targetname查找，因此当前地图可继续测试；正式地图建议把实体类改成info_target并保留名称。
spawn_rebirth_01,firstcircle,info_player_start_dota,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,1,wild_boss_common,1,一转Boss位置；Hammer名称必须完全一致。
spawn_rebirth_02,secondcircle,info_player_start_dota,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,2,wild_boss_common,1,二转Boss位置；Hammer名称必须完全一致。
spawn_rebirth_03,thirdcircle,info_player_start_dota,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,3,wild_boss_common,1,三转Boss位置；Hammer名称必须完全一致。
spawn_rebirth_04,fourthcircle,info_player_start_dota,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,4,wild_boss_common,1,四转Boss位置；Hammer名称必须完全一致。
spawn_rebirth_05,fifthcircle,info_player_start_dota,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,5,wild_boss_common,1,五转Boss位置；Hammer名称必须完全一致。
spawn_rebirth_06,sixthcircle,info_player_start_dota,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,6,wild_boss_common,1,六转Boss位置；Hammer名称必须完全一致。
spawn_rebirth_07,seventhcircle,info_player_start_dota,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,7,wild_boss_common,1,七转Boss位置；Hammer名称必须完全一致。
spawn_rebirth_08,eighthcircle,info_player_start_dota,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,8,wild_boss_common,1,八转Boss位置；Hammer名称必须完全一致。
spawn_rebirth_09,ninethcircle,info_player_start_dota,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,9,wild_boss_common,1,九转Boss位置；Hammer名称必须完全一致。
spawn_rebirth_10,tenthcircle,info_player_start_dota,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,10,wild_boss_common,1,十转Boss位置；Hammer名称必须完全一致。
