challenge_id,rebirth_level,name,wood_cost,gold_cost,visible_condition,prerequisite_condition,description,enabled,source,shop_enabled,shop_category_id,shop_sort_order,required_city_level,requires_vip,requires_hero_summoned,required_rebirth_level,requires_building_id,requires_content_id,purchase_limit,disabled_reason_text,grant_type,icon_name,encounter_id
#types:string,number,string,number,number,string,string,string,boolean,string,boolean,enum,number,number,boolean,boolean,number,string,string,number,string,enum,string,string
rebirth_challenge_01,1,挑战1转,10000,0,altar_used==true,hero_rebirth_level==0,获得英雄专属技能/提高英雄2000全属性/增加攻击全属性+1/解锁分裂多重攻击,1,英雄相关建筑/行36,1,rebirth,10,3,0,1,0,hero_altar,,1,,start_encounter,item_ultimate_scepter,encounter_rebirth_01
rebirth_challenge_02,2,挑战2转,20000,0,altar_used==true,hero_rebirth_level==1,获得随机技能，获得相同的技能时升级技能/提高英雄3000全属性/增加攻击全属性+2/多重攻击+1,1,英雄相关建筑/行37,1,rebirth,20,3,0,1,1,hero_altar,,1,,start_encounter,item_ultimate_scepter,encounter_rebirth_02
rebirth_challenge_03,3,挑战3转,30000,100,altar_used==true,hero_rebirth_level==2,获得随机技能，获得相同的技能时升级技能/提高英雄5000全属性/增加攻击全属性+3/多重攻击+1,1,英雄相关建筑/行38,1,rebirth,30,3,0,1,2,hero_altar,,1,,start_encounter,item_ultimate_scepter,encounter_rebirth_03
rebirth_challenge_04,4,挑战4转,40000,500,altar_used==true,hero_rebirth_level==3,获得随机技能，获得相同的技能时升级技能/提高英雄10000全属性/增加攻击全属性+4/多重攻击+1,1,英雄相关建筑/行39,1,rebirth,40,3,0,1,3,hero_altar,,1,,start_encounter,item_ultimate_scepter,encounter_rebirth_04
rebirth_challenge_05,5,挑战5转,50000,1000,altar_used==true,hero_rebirth_level==4,获得随机技能，获得相同的技能时升级技能/提高英雄20000全属性/增加攻击全属性+6/多重攻击+1,1,英雄相关建筑/行40,1,rebirth,50,3,0,1,4,hero_altar,,1,,start_encounter,item_ultimate_scepter,encounter_rebirth_05
rebirth_challenge_06,6,挑战6转,60000,4000,altar_used==true,hero_rebirth_level==5,获得随机技能，获得相同的技能时升级技能/提高英雄30000全属性/增加攻击全属性+7/多重攻击+1,1,英雄相关建筑/行41,1,rebirth,60,3,0,1,5,hero_altar,,1,,start_encounter,item_ultimate_scepter,encounter_rebirth_06
rebirth_challenge_07,7,挑战7转,70000,8000,altar_used==true,hero_rebirth_level==6,获得随机技能，获得相同的技能时升级技能/提高英雄50000全属性/增加攻击全属性+8/多重攻击+1,1,英雄相关建筑/行42,1,rebirth,70,3,0,1,6,hero_altar,,1,,start_encounter,item_ultimate_scepter,encounter_rebirth_07
rebirth_challenge_08,8,挑战8转,80000,10000,altar_used==true,hero_rebirth_level==7,获得随机技能，获得相同的技能时升级技能/提高英雄70000全属性/增加攻击全属性+9/多重攻击+1,1,英雄相关建筑/行43,1,rebirth,80,3,0,1,7,hero_altar,,1,,start_encounter,item_ultimate_scepter,encounter_rebirth_08
rebirth_challenge_09,9,挑战9转,90000,15000,altar_used==true,hero_rebirth_level==8,获得随机技能，获得相同的技能时升级技能/提高英雄100000全属性/增加攻击全属性+10/多重攻击+1,1,英雄相关建筑/行44,1,rebirth,90,3,0,1,8,hero_altar,,1,,start_encounter,item_ultimate_scepter,encounter_rebirth_09
rebirth_challenge_10,10,挑战10转,100000,20000,altar_used==true,hero_rebirth_level==9,获得随机技能，获得相同的技能时升级技能/提高英雄200000全属性/增加攻击全属性+12/多重攻击+1,1,英雄相关建筑/行45,1,rebirth,100,3,0,1,9,hero_altar,,1,,start_encounter,item_ultimate_scepter,encounter_rebirth_10
