reward_profile_id,reward_group,trigger_type,display_name,reward_text,repeatable,enabled,notes
#types:string,enum,enum,string,string,boolean,boolean,string
reward_wild_boss_default,wild_boss,on_encounter_complete,野外Boss默认奖励,待配置,1,0,用户尚未提供普通野外Boss掉落，默认停用。
reward_practice_wood_100,practice_room,on_each_kill,木材练功房奖励,击杀每个怪物获得100木材。,1,1,练功房怪物每次死亡均调用同一个通用奖励服务。
reward_practice_gold_100,practice_room,on_each_kill,金币练功房奖励,击杀每个怪物获得100金币。,1,1,练功房怪物每次死亡均调用同一个通用奖励服务。
reward_practice_attribute_10,practice_room,on_each_kill,属性练功房奖励,击杀每个怪物获得10点全属性。,1,1,练功房怪物每次死亡均调用同一个通用奖励服务。
reward_practice_attribute_100_gold_1000,practice_room,on_each_kill,大属性练功房奖励,"击杀每个怪物获得100点全属性,1000金币。",1,1,练功房怪物每次死亡均调用同一个通用奖励服务。
reward_rebirth_01,rebirth,on_encounter_complete,一转奖励,获得英雄专属技能/提高英雄2000全属性/增加攻击全属性+1/解锁分裂多重攻击,0,1,完成对应转职Boss后只发放一次；服务端必须记录完成状态。
reward_rebirth_02,rebirth,on_encounter_complete,二转奖励,获得随机技能，获得相同的技能时升级技能/提高英雄3000全属性/增加攻击全属性+2/多重攻击+1,0,1,完成对应转职Boss后只发放一次；服务端必须记录完成状态。
reward_rebirth_03,rebirth,on_encounter_complete,三转奖励,获得随机技能，获得相同的技能时升级技能/提高英雄5000全属性/增加攻击全属性+3/多重攻击+1,0,1,完成对应转职Boss后只发放一次；服务端必须记录完成状态。
reward_rebirth_04,rebirth,on_encounter_complete,四转奖励,获得随机技能，获得相同的技能时升级技能/提高英雄10000全属性/增加攻击全属性+4/多重攻击+1,0,1,完成对应转职Boss后只发放一次；服务端必须记录完成状态。
reward_rebirth_05,rebirth,on_encounter_complete,五转奖励,获得随机技能，获得相同的技能时升级技能/提高英雄20000全属性/增加攻击全属性+6/多重攻击+1,0,1,完成对应转职Boss后只发放一次；服务端必须记录完成状态。
reward_rebirth_06,rebirth,on_encounter_complete,六转奖励,获得随机技能，获得相同的技能时升级技能/提高英雄30000全属性/增加攻击全属性+7/多重攻击+1,0,1,完成对应转职Boss后只发放一次；服务端必须记录完成状态。
reward_rebirth_07,rebirth,on_encounter_complete,七转奖励,获得随机技能，获得相同的技能时升级技能/提高英雄50000全属性/增加攻击全属性+8/多重攻击+1,0,1,完成对应转职Boss后只发放一次；服务端必须记录完成状态。
reward_rebirth_08,rebirth,on_encounter_complete,八转奖励,获得随机技能，获得相同的技能时升级技能/提高英雄70000全属性/增加攻击全属性+9/多重攻击+1,0,1,完成对应转职Boss后只发放一次；服务端必须记录完成状态。
reward_rebirth_09,rebirth,on_encounter_complete,九转奖励,获得随机技能，获得相同的技能时升级技能/提高英雄100000全属性/增加攻击全属性+10/多重攻击+1,0,1,完成对应转职Boss后只发放一次；服务端必须记录完成状态。
reward_rebirth_10,rebirth,on_encounter_complete,十转奖励,获得随机技能，获得相同的技能时升级技能/提高英雄200000全属性/增加攻击全属性+12/多重攻击+1,0,1,完成对应转职Boss后只发放一次；服务端必须记录完成状态。
