effect_id,content_id,effect_type,value,value_type,target,trigger,enabled,source,notes
#types:string,string,string,string,enum,string,string,boolean,string,string
effect_0001,weapon_growth_sword_01,ADD_ATK_PER_ATK,1,number,owner_hero,always,1,武器合成/行2,
effect_0002,weapon_growth_sword_02,ADD_ATK_PER_ATK,2,number,owner_hero,always,1,武器合成/行3,
effect_0003,weapon_growth_sword_03,ADD_ATK_PER_ATK,3,number,owner_hero,always,1,武器合成/行4,
effect_0004,weapon_growth_sword_04,ADD_ATK_PER_ATK,4,number,owner_hero,always,1,武器合成/行5,
effect_0005,weapon_growth_sword_max,ADD_ATK_PER_ATK,5,number,owner_hero,always,1,武器合成/行6,
effect_0006,tech_gold_mine_efficiency_01,mine_efficiency_level,1,number,player_gold_mine,technology_level,1,设计需求,
effect_0007,tech_gold_mine_crit_01,mine_crit_percent,2,percent,player_gold_mine,technology_level,1,设计需求,
effect_0008,tech_gold_mine_efficiency_02,mine_efficiency_level,2,number,player_gold_mine,technology_level,1,设计需求,
effect_0009,tech_gold_mine_crit_02,mine_crit_percent,4,percent,player_gold_mine,technology_level,1,设计需求,
effect_0010,tech_gold_mine_efficiency_03,mine_efficiency_level,3,number,player_gold_mine,technology_level,1,设计需求,
effect_0011,tech_gold_mine_crit_03,mine_crit_percent,6,percent,player_gold_mine,technology_level,1,设计需求,
effect_0012,tech_gold_mine_efficiency_04,mine_efficiency_level,4,number,player_gold_mine,technology_level,1,设计需求,
effect_0013,tech_gold_mine_crit_04,mine_crit_percent,8,percent,player_gold_mine,technology_level,1,设计需求,
effect_0014,tech_gold_mine_efficiency_05,mine_efficiency_level,5,number,player_gold_mine,technology_level,1,设计需求,
effect_0015,tech_gold_mine_crit_05,mine_crit_percent,10,percent,player_gold_mine,technology_level,1,设计需求,
effect_0016,tech_gold_mine_efficiency_06,mine_efficiency_level,6,number,player_gold_mine,technology_level,1,设计需求,
effect_0017,tech_gold_mine_crit_06,mine_crit_percent,12,percent,player_gold_mine,technology_level,1,设计需求,
effect_0018,tech_gold_mine_efficiency_07,mine_efficiency_level,7,number,player_gold_mine,technology_level,1,设计需求,
effect_0019,tech_gold_mine_crit_07,mine_crit_percent,14,percent,player_gold_mine,technology_level,1,设计需求,
effect_0020,tech_gold_mine_efficiency_08,mine_efficiency_level,8,number,player_gold_mine,technology_level,1,设计需求,
effect_0021,tech_gold_mine_crit_08,mine_crit_percent,16,percent,player_gold_mine,technology_level,1,设计需求,
effect_0022,tech_gold_mine_efficiency_09,mine_efficiency_level,9,number,player_gold_mine,technology_level,1,设计需求,
effect_0023,tech_gold_mine_crit_09,mine_crit_percent,18,percent,player_gold_mine,technology_level,1,设计需求,
effect_0024,tech_gold_mine_efficiency_10,mine_efficiency_level,10,number,player_gold_mine,technology_level,1,设计需求,
effect_0025,tech_gold_mine_crit_10,mine_crit_percent,20,percent,player_gold_mine,technology_level,1,设计需求,
