wave_id,wave_number,wait_seconds,spawn_interval,monster_unit,monster_count,hp_multiplier,attack_multiplier,armor_multiplier,armor_bonus,bounty_gold,bounty_wood,is_boss,wave_group,enabled,notes
#中文名:波次ID,波次编号,等待秒数,生成间隔,怪物单位ID,怪物数量,生命倍率,攻击倍率,护甲倍率,护甲加成,金币奖励,木材奖励,是否Boss,波次组,是否启用,备注
#types:string,number,number,number,string,number,number,number,number,number,number,number,boolean,enum,boolean,string
wave_01,1,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_02,2,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_03,3,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_04,4,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_05,5,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_06,6,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_07,7,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_08,8,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_09,9,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_10,10,30,1.0,zombie_boss,1,1.0,1.0,1.0,0,,,1,boss,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_11,11,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_12,12,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_13,13,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_14,14,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_15,15,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_16,16,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_17,17,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_18,18,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_19,19,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_20,20,30,1.0,zombie_boss,1,1.0,1.0,1.0,0,,,1,boss,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_21,21,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_22,22,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_23,23,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_24,24,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_25,25,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_26,26,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_27,27,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_28,28,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_29,29,30,1.0,zombie_basic,,1.0,1.0,1.0,0,,,0,normal,1,模板默认值；怪物数量、间隔和奖励需策划填写。
wave_30,30,30,1.0,zombie_boss,1,1.0,1.0,1.0,0,,,1,boss,1,模板默认值；怪物数量、间隔和奖励需策划填写。
