record_id,stage_id,tower_id,name,rarity,level,max_level,base_attack_damage,upgrade_gold,upgrade_wood,population_delta,skill_ids,enabled,notes
#中文名:记录ID,阶段ID,防御塔ID,名称,稀有度,等级,阶段最高等级,基础攻击力,升到本级所需金币,升到本级所需木材,升到本级人口增量,当前生效技能ID列表,是否启用,备注
#types:string,string,string,string,string,number,number,number,number,number,number,list,boolean,string
machine_gun_tower_lv01,machine_gun_tower,machine_gun_tower_lv01,机枪塔LV1,N,1,5,901,20,1000,1,machine_gun_lv02,1,由上一阶段转职；技能均为被动技能。
machine_gun_tower_lv02,machine_gun_tower,machine_gun_tower_lv02,机枪塔LV2,N,2,5,1501,50,1500,0,machine_gun_lv03,1,
machine_gun_tower_lv03,machine_gun_tower,machine_gun_tower_lv03,机枪塔LV3,N,3,5,2101,200,2000,0,machine_gun_lv04,1,
machine_gun_tower_lv04,machine_gun_tower,machine_gun_tower_lv04,机枪塔LV4,N,4,5,3901,500,2500,0,machine_gun_lv05,1,
machine_gun_tower_lv05,machine_gun_tower,machine_gun_tower_lv05,机枪塔LV5,N,5,5,6101,1000,3000,0,machine_gun_lv05,1,
bounty_machine_gun_lv01,bounty_machine_gun,bounty_machine_gun_lv01,赏金机枪LV1,R,1,5,12101,1000,20000,1,machine_gun_lv05|bounty_machine_gun_lv02,1,由上一阶段转职；技能均为被动技能。
bounty_machine_gun_lv02,bounty_machine_gun,bounty_machine_gun_lv02,赏金机枪LV2,R,2,5,35101,2000,40000,0,machine_gun_lv05|bounty_machine_gun_lv03,1,
bounty_machine_gun_lv03,bounty_machine_gun,bounty_machine_gun_lv03,赏金机枪LV3,R,3,5,50101,5000,60000,0,machine_gun_lv05|bounty_machine_gun_lv04,1,
bounty_machine_gun_lv04,bounty_machine_gun,bounty_machine_gun_lv04,赏金机枪LV4,R,4,5,75101,10000,100000,0,machine_gun_lv05|bounty_machine_gun_lv05,1,
bounty_machine_gun_lv05,bounty_machine_gun,bounty_machine_gun_lv05,赏金机枪LV5,R,5,5,108101,20000,100000,0,machine_gun_lv05|bounty_machine_gun_lv05,1,
explosive_gatling_lv01,explosive_gatling,explosive_gatling_lv01,爆矢加特林LV1,SR,1,10,308101,30000,200000,2,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,由上一阶段转职；技能均为被动技能。
explosive_gatling_lv02,explosive_gatling,explosive_gatling_lv02,爆矢加特林LV2,SR,2,10,508101,60000,200000,0,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,
explosive_gatling_lv03,explosive_gatling,explosive_gatling_lv03,爆矢加特林LV3,SR,3,10,808101,90000,200000,0,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,
explosive_gatling_lv04,explosive_gatling,explosive_gatling_lv04,爆矢加特林LV4,SR,4,10,1008101,120000,200000,0,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,
explosive_gatling_lv05,explosive_gatling,explosive_gatling_lv05,爆矢加特林LV5,SR,5,10,1508101,150000,200000,0,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,
explosive_gatling_lv06,explosive_gatling,explosive_gatling_lv06,爆矢加特林LV6,SSR,6,10,2008101,200000,400000,0,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,最终阶段LV6开始稀有度变为SSR；技能保持不变。
explosive_gatling_lv07,explosive_gatling,explosive_gatling_lv07,爆矢加特林LV7,SSR,7,10,3008101,250000,500000,0,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,
explosive_gatling_lv08,explosive_gatling,explosive_gatling_lv08,爆矢加特林LV8,SSR,8,10,4008101,300000,600000,0,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,
explosive_gatling_lv09,explosive_gatling,explosive_gatling_lv09,爆矢加特林LV9,SSR,9,10,5008101,350000,700000,0,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,
explosive_gatling_lv10,explosive_gatling,explosive_gatling_lv10,爆矢加特林LV10,SSR,10,10,6008101,400000,800000,0,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,
