record_id,stage_id,tower_id,name,rarity,level,max_level,base_attack_damage,upgrade_gold,upgrade_wood,population_delta,skill_ids,enabled,notes
#中文名:记录ID,阶段ID,防御塔ID,名称,稀有度,等级,阶段最高等级,基础攻击力,升到本级所需金币,升到本级所需木材,升到本级人口增量,当前生效技能ID列表,是否启用,备注
#types:string,string,string,string,string,number,number,number,number,number,number,list,boolean,string
mystery_tower_lv01,mystery_tower,mystery_tower_lv01,神秘之塔LV1,N,1,5,901,20,1000,1,laser_lv02,1,由上一阶段转职；技能均为被动技能。
mystery_tower_lv02,mystery_tower,mystery_tower_lv02,神秘之塔LV2,N,2,5,1501,50,1500,0,laser_lv03,1,
mystery_tower_lv03,mystery_tower,mystery_tower_lv03,神秘之塔LV3,N,3,5,2101,200,2000,0,laser_lv04,1,
mystery_tower_lv04,mystery_tower,mystery_tower_lv04,神秘之塔LV4,N,4,5,3901,500,2500,0,laser_lv05,1,
mystery_tower_lv05,mystery_tower,mystery_tower_lv05,神秘之塔LV5,N,5,5,6101,1000,3000,0,laser_lv05,1,
arcane_cannon_lv01,arcane_cannon,arcane_cannon_lv01,魔能炮LV1,R,1,5,12101,1000,20000,1,laser_lv05|arcane_cannon_lv02,1,由上一阶段转职；技能均为被动技能。
arcane_cannon_lv02,arcane_cannon,arcane_cannon_lv02,魔能炮LV2,R,2,5,35101,2000,40000,0,laser_lv05|arcane_cannon_lv03,1,
arcane_cannon_lv03,arcane_cannon,arcane_cannon_lv03,魔能炮LV3,R,3,5,50101,5000,60000,0,laser_lv05|arcane_cannon_lv04,1,
arcane_cannon_lv04,arcane_cannon,arcane_cannon_lv04,魔能炮LV4,R,4,5,75101,10000,100000,0,laser_lv05|arcane_cannon_lv05,1,
arcane_cannon_lv05,arcane_cannon,arcane_cannon_lv05,魔能炮LV5,R,5,5,108101,20000,100000,0,laser_lv05|arcane_cannon_lv05,1,
arcane_eye_lv01,arcane_eye,arcane_eye_lv01,魔能之眼LV1,SR,1,10,308101,30000,200000,2,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,由上一阶段转职；技能均为被动技能。
arcane_eye_lv02,arcane_eye,arcane_eye_lv02,魔能之眼LV2,SR,2,10,508101,60000,200000,0,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,
arcane_eye_lv03,arcane_eye,arcane_eye_lv03,魔能之眼LV3,SR,3,10,808101,90000,200000,0,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,
arcane_eye_lv04,arcane_eye,arcane_eye_lv04,魔能之眼LV4,SR,4,10,1008101,120000,200000,0,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,
arcane_eye_lv05,arcane_eye,arcane_eye_lv05,魔能之眼LV5,SR,5,10,1508101,150000,200000,0,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,
arcane_eye_lv06,arcane_eye,arcane_eye_lv06,魔能之眼LV6,SSR,6,10,2008101,200000,400000,0,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,最终阶段LV6开始稀有度变为SSR；技能保持不变。
arcane_eye_lv07,arcane_eye,arcane_eye_lv07,魔能之眼LV7,SSR,7,10,3008101,250000,500000,0,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,
arcane_eye_lv08,arcane_eye,arcane_eye_lv08,魔能之眼LV8,SSR,8,10,4008101,300000,600000,0,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,
arcane_eye_lv09,arcane_eye,arcane_eye_lv09,魔能之眼LV9,SSR,9,10,5008101,350000,700000,0,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,
arcane_eye_lv10,arcane_eye,arcane_eye_lv10,魔能之眼LV10,SSR,10,10,6008101,400000,800000,0,laser_lv05|arcane_cannon_lv05|arcane_eye_lv01,1,
