record_id,stage_id,tower_id,name,rarity,level,max_level,base_attack_damage,upgrade_gold,upgrade_wood,population_delta,skill_ids,enabled,notes,model_name,active_skill_ids,upgrade_description
#中文名:记录ID,阶段ID,防御塔ID,名称,稀有度,等级,最高等级,基础攻击力,升到本级所需金币,升到本级所需木材,人口增量,当前生效技能ID列表,是否启用,备注,模型名称,主动技能ID列表,升级描述
#types:string,string,string,string,string,number,number,number,number,number,number,list,boolean,string,string,list,string
frost_tower_lv01,frost_tower,frost_tower_lv01,冰霜之塔LV1,N,1,5,901,20,1000,1,frost_attack_lv02,1,由上一阶段转职；技能均为被动技能。,models/heroes/lich/lich.vmdl,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +901　💰 20　🌲 1000
frost_tower_lv02,frost_tower,frost_tower_lv02,冰霜之塔LV2,N,2,5,1501,50,1500,0,frost_attack_lv03,1,,models/heroes/lich/lich.vmdl,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +1501　💰 50　🌲 1500
frost_tower_lv03,frost_tower,frost_tower_lv03,冰霜之塔LV3,N,3,5,2101,200,2000,0,frost_attack_lv04,1,,models/heroes/lich/lich.vmdl,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +2101　💰 200　🌲 2000
frost_tower_lv04,frost_tower,frost_tower_lv04,冰霜之塔LV4,N,4,5,3901,500,2500,0,frost_attack_lv05,1,,models/heroes/lich/lich.vmdl,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +3901　💰 500　🌲 2500
frost_tower_lv05,frost_tower,frost_tower_lv05,冰霜之塔LV5,N,5,5,6101,1000,3000,0,frost_attack_lv05,1,,models/heroes/lich/lich.vmdl,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +6101　💰 1000　🌲 3000
ice_spire_lv01,ice_spire,ice_spire_lv01,寒冰尖塔LV1,R,1,5,12101,1000,20000,1,frost_attack_lv05|ice_blizzard_lv02,1,由上一阶段转职；技能均为被动技能。,models/heroes/crystal_maiden/crystal_maiden.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +12101　💰 1000　🌲 20000
ice_spire_lv02,ice_spire,ice_spire_lv02,寒冰尖塔LV2,R,2,5,35101,2000,40000,0,frost_attack_lv05|ice_blizzard_lv03,1,,models/heroes/crystal_maiden/crystal_maiden.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +35101　💰 2000　🌲 40000
ice_spire_lv03,ice_spire,ice_spire_lv03,寒冰尖塔LV3,R,3,5,50101,5000,60000,0,frost_attack_lv05|ice_blizzard_lv04,1,,models/heroes/crystal_maiden/crystal_maiden.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +50101　💰 5000　🌲 60000
ice_spire_lv04,ice_spire,ice_spire_lv04,寒冰尖塔LV4,R,4,5,75101,10000,100000,0,frost_attack_lv05|ice_blizzard_lv05,1,,models/heroes/crystal_maiden/crystal_maiden.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +75101　💰 10000　🌲 100000
