record_id,stage_id,tower_id,name,rarity,level,max_level,base_attack_damage,upgrade_gold,upgrade_wood,population_delta,skill_ids,enabled,notes,model_name,active_skill_ids,upgrade_description
#中文名:记录ID,阶段ID,防御塔ID,名称,稀有度,等级,最高等级,基础攻击力,升到本级所需金币,升到本级所需木材,人口增量,当前生效技能ID列表,是否启用,备注,模型名称,主动技能ID列表,升级描述
#types:string,string,string,string,string,number,number,number,number,number,number,list,boolean,string,string,list,string
multi_tower_lv01,multi_tower,multi_tower_lv01,多重塔LV1,N,1,5,901,20,1000,1,multi_attack_lv02,1,由上一阶段转职；技能均为被动技能。,models/heroes/drow_ranger/drow_ranger.vmdl,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +901　💰 20　🌲 1000
multi_tower_lv02,multi_tower,multi_tower_lv02,多重塔LV2,N,2,5,1501,50,1500,0,multi_attack_lv03,1,,models/heroes/drow_ranger/drow_ranger.vmdl,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +1501　💰 50　🌲 1500
multi_tower_lv03,multi_tower,multi_tower_lv03,多重塔LV3,N,3,5,2101,200,2000,0,multi_attack_lv04,1,,models/heroes/drow_ranger/drow_ranger.vmdl,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +2101　💰 200　🌲 2000
multi_tower_lv04,multi_tower,multi_tower_lv04,多重塔LV4,N,4,5,3901,500,2500,0,multi_attack_lv05,1,,models/heroes/drow_ranger/drow_ranger.vmdl,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +3901　💰 500　🌲 2500
multi_tower_lv05,multi_tower,multi_tower_lv05,多重塔LV5,N,5,5,6101,1000,3000,0,multi_attack_lv05,1,,models/heroes/drow_ranger/drow_ranger.vmdl,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +6101　💰 1000　🌲 3000
piercing_ballista_lv01,piercing_ballista,piercing_ballista_lv01,穿透弩炮LV1,R,1,5,12101,1000,20000,1,multi_attack_lv05|piercing_ballista_lv02,1,由上一阶段转职；技能均为被动技能。,models/heroes/windrunner/windrunner.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +12101　💰 1000　🌲 20000
piercing_ballista_lv02,piercing_ballista,piercing_ballista_lv02,穿透弩炮LV2,R,2,5,35101,2000,40000,0,multi_attack_lv05|piercing_ballista_lv03,1,,models/heroes/windrunner/windrunner.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +35101　💰 2000　🌲 40000
piercing_ballista_lv03,piercing_ballista,piercing_ballista_lv03,穿透弩炮LV3,R,3,5,50101,5000,60000,0,multi_attack_lv05|piercing_ballista_lv04,1,,models/heroes/windrunner/windrunner.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +50101　💰 5000　🌲 60000
piercing_ballista_lv04,piercing_ballista,piercing_ballista_lv04,穿透弩炮LV4,R,4,5,75101,10000,100000,0,multi_attack_lv05|piercing_ballista_lv05,1,,models/heroes/windrunner/windrunner.vmdl,ability_upgrade_tower_lv01,升级后攻击力 +75101　💰 10000　🌲 100000
