原始路径,字节数,尺寸,含透明像素,分类,SHA256,新共用ID,迁移方式
lottery_ui_handoff/approved_reference.png,2632703,"[1672, 941]",False,legacy_review_only,251a2dd1a586e03554a1935beecabcb9e33faf71944f698decf48356a44542b2,,保留原包；只在需要时接入
lottery_ui_handoff/assets/button_gold.svg,454,,,legacy_review_only,ce9fcc5712b16a5913df72caba6bbdc0c0dfd6aa35315c05c9d134713b1906b6,button.gold.normal,replace_with_shared_component
lottery_ui_handoff/assets/button_gold_concept.png,1694153,"[1983, 793]",False,legacy_review_only,ce565765bd3be17ccf49fb367095e6a79ec0e3aeffe60096d5664f237d6067af,,保留原包；只在需要时接入
lottery_ui_handoff/assets/button_ivory.svg,454,,,legacy_review_only,42e944c1ea19220a1aac569e2c391ce972213cd9786588225dce0af5a222a142,button.ivory.normal,replace_with_shared_component
lottery_ui_handoff/assets/button_ivory_concept.png,1088592,"[2172, 724]",False,legacy_review_only,edde82204607a52b9999d21a90b0bb7ca11979f63f8452c2a6ace8a3b8a077d9,,保留原包；只在需要时接入
lottery_ui_handoff/assets/card_back.png,3098780,"[1024, 1536]",False,legacy_review_only,7ddbab8632b97b927c441aefcf19edebc7e39367c72b51642797b3acb41a2a58,,保留原包；只在需要时接入
lottery_ui_handoff/assets/card_front.png,1912875,"[1024, 1536]",False,legacy_review_only,71dcb000590225eb8f5bcbfc9bbfc587dc60cc88f23ffe5e686d2c2fa24c1950,,保留原包；只在需要时接入
lottery_ui_handoff/assets/pool_panel.png,1808147,"[1448, 1086]",False,legacy_review_only,212cf98db9094f01feabc0976f886821c05537a2565e255d9c8e5db10a832083,,保留原包；只在需要时接入
lottery_ui_handoff/assets/scene_clean.png,2702458,"[1672, 941]",False,legacy_review_only,ed3ffd239298351b94bb0f44a064fced050ac31e8c6a7ed1e2bee197cbc65ffb,scene.treasure,identical_bytes_alias
lottery_ui_handoff/icons/checkbox_off.svg,242,,,legacy_review_only,6dc28a059a6d49ec30fa614f3208e4a60f4054f4af83b25ac186cb16f991744b,checkbox.off,replace_semantic_reference_after_visual_check
lottery_ui_handoff/icons/checkbox_on.svg,272,,,legacy_review_only,5d4efdf8672828bf097e61ad31ec8bc0c1b9d060da57572462f9214f8ec04c9a,checkbox.on.normal,replace_semantic_reference_after_visual_check
lottery_ui_handoff/icons/chevron.svg,221,,,legacy_review_only,610ae85824a2fd3fd1396dc02aba6b127f62297f52b444b69e773dd4d1dd8261,,保留原包；只在需要时接入
lottery_ui_handoff/icons/close.svg,227,,,legacy_review_only,b96b9f054a7535bb9616a0977360382a725f08cca55648226d1aa382b6b16837,icon.close,replace_semantic_reference_after_visual_check
lottery_ui_handoff/icons/history.svg,298,,,legacy_review_only,c8db0e56d20dabb1081faad5d5d5d971e62701ed6eda517cf09c36a62fff2cdf,icon.history,replace_semantic_reference_after_visual_check
lottery_ui_handoff/icons/plus.svg,221,,,legacy_review_only,a975e95f156c1ce252d923850a3249b529ce8e1f59700cf5299fb42a0960caef,icon.add,replace_semantic_reference_after_visual_check
lottery_ui_handoff/icons/pool.svg,280,,,legacy_review_only,e84f59737b12c4b7461839dbf6330e8eebdb6501f43aa8c2ede4ad2568d94fba,icon.pool_details,replace_semantic_reference_after_visual_check
lottery_ui_handoff/icons/sound.svg,268,,,legacy_review_only,b1c21100fd84b1dffba808354b8a12b0818c51fd9385b92003f1bef45dc330fd,,保留原包；只在需要时接入
lottery_ui_handoff/icons/star.svg,250,,,legacy_review_only,16bbe1814ed06537a90c4d208542e7677278f22502d7d78b5ebd4a19bb69bcdb,,保留原包；只在需要时接入
