旧资源路径,新资源ID,新资源文件,迁移类型,注意事项
main_hud_exact_v1/03_alpha_helpers/return_64.png,icon.nav.return,shared/icon/nav/return.png,candidate_requires_visual_check,主界面极简图标为主来源；64画布内图形约28–34px，不再次缩半
main_hud_exact_v1/03_alpha_helpers/settings_64.png,icon.nav.settings,shared/icon/nav/settings.png,candidate_requires_visual_check,主界面极简图标为主来源；64画布内图形约28–34px，不再次缩半
main_hud_exact_v1/03_alpha_helpers/treasure_64.png,icon.nav.treasure,shared/icon/nav/treasure.png,candidate_requires_visual_check,主界面极简图标为主来源；64画布内图形约28–34px，不再次缩半
main_hud_exact_v1/03_alpha_helpers/archive_64.png,icon.nav.archive,shared/icon/nav/archive.png,candidate_requires_visual_check,主界面极简图标为主来源；64画布内图形约28–34px，不再次缩半
main_hud_exact_v1/03_alpha_helpers/equipment_64.png,icon.nav.equipment,shared/icon/nav/equipment.png,candidate_requires_visual_check,主界面极简图标为主来源；64画布内图形约28–34px，不再次缩半
main_hud_exact_v1/03_alpha_helpers/lottery_64.png,icon.nav.lottery,shared/icon/nav/lottery.png,candidate_requires_visual_check,主界面极简图标为主来源；64画布内图形约28–34px，不再次缩半
main_hud_exact_v1/03_alpha_helpers/benefit_64.png,icon.nav.benefit,shared/icon/nav/benefit.png,candidate_requires_visual_check,主界面极简图标为主来源；64画布内图形约28–34px，不再次缩半
main_hud_exact_v1/03_alpha_helpers/appearance_64.png,icon.nav.appearance,shared/icon/nav/appearance.png,candidate_requires_visual_check,主界面极简图标为主来源；64画布内图形约28–34px，不再次缩半
main_hud_exact_v1/03_alpha_helpers/social_64.png,icon.nav.social,shared/icon/nav/social.png,candidate_requires_visual_check,主界面极简图标为主来源；64画布内图形约28–34px，不再次缩半
archive_ui_kit_v1/icons_rgba/close_normal.png,icon.close,shared/icon/close.png,shared_normal_plus_state,保留状态效果与点击规则
archive_ui_kit_v1/icons_rgba/void_normal.png,icon.archive.void,shared/icon/archive/void.png,candidate_requires_visual_check,存档分类专有语义，可跨同义页面复用；不替换实际奖励图案
archive_ui_kit_v1/icons_rgba/points_normal.png,icon.archive.points,shared/icon/archive/points.png,candidate_requires_visual_check,存档分类专有语义，可跨同义页面复用；不替换实际奖励图案
archive_ui_kit_v1/icons_rgba/weapon_normal.png,icon.archive.weapon,shared/icon/archive/weapon.png,candidate_requires_visual_check,存档分类专有语义，可跨同义页面复用；不替换实际奖励图案
archive_ui_kit_v1/icons_rgba/spell_normal.png,icon.archive.spell,shared/icon/archive/spell.png,candidate_requires_visual_check,存档分类专有语义，可跨同义页面复用；不替换实际奖励图案
archive_ui_kit_v1/icons_rgba/endless_normal.png,icon.archive.endless,shared/icon/archive/endless.png,candidate_requires_visual_check,存档分类专有语义，可跨同义页面复用；不替换实际奖励图案
archive_ui_kit_v1/icons_rgba/friends_normal.png,icon.archive.friends,shared/icon/archive/friends.png,candidate_requires_visual_check,存档分类专有语义，可跨同义页面复用；不替换实际奖励图案
archive_ui_kit_v1/icons_rgba/ex_normal.png,icon.archive.ex,shared/icon/archive/ex.png,candidate_requires_visual_check,存档分类专有语义，可跨同义页面复用；不替换实际奖励图案
archive_ui_kit_v1/icons_rgba/blessing_normal.png,icon.archive.blessing,shared/icon/archive/blessing.png,candidate_requires_visual_check,存档分类专有语义，可跨同义页面复用；不替换实际奖励图案
lottery_ui_v3/02_rgba_icons/pool_details_icon_normal.png,icon.pool_details,shared/icon/pool_details.png,candidate_requires_visual_check,来自V3；原画布边距不同，用paint bounds对齐
lottery_ui_v3/02_rgba_icons/history_icon_normal.png,icon.history,shared/icon/history.png,candidate_requires_visual_check,来自V3；原画布边距不同，用paint bounds对齐
