enum_name,enum_value,sort_order,enabled,notes
#中文名:枚举名称,枚举值,排序,是否启用,备注
#types:string,string,number,boolean,string
content_type,weapon,1,1,
content_type,equipment,2,1,
content_type,item,3,1,
content_type,material,4,1,
content_type,technology,5,1,
content_type,building,6,1,
content_type,challenge,7,1,
content_type,rebirth,8,1,
content_type,shop_proxy,9,1,
shop_category,weapon,1,1,
shop_category,item,2,1,
shop_category,technology,3,1,
shop_category,challenge,4,1,
shop_category,rebirth,5,1,
recipe_type,auto_synthesis,1,1,
recipe_type,synthesis,2,1,
recipe_type,combine_3_to_1,3,1,
recipe_type,equipment_upgrade,4,1,
review_status,ok,1,1,
review_status,needs_confirmation,2,1,
review_status,needs_cost,3,1,
review_status,description_inferred,4,1,
progression_type,normal_attack_count,1,1,
progression_type,monster_kill_count,2,1,
progression_type,repeat_purchase,3,1,
progression_type,recipe_upgrade,4,1,
value_type,number,1,1,
value_type,percent,2,1,
value_type,string,3,1,
value_type,boolean,4,1,
rogue_effect_type,wall_attacker_attack_speed_pct,1,1,
rogue_effect_type,base_tower_attack_bonus_pct,2,1,
rogue_effect_type,wall_hit_damage_cap_pct,3,1,
rogue_effect_type,next_boss_attack_pct,4,1,
rogue_effect_type,next_policy_choice_count,5,1,
rogue_effect_type,tower_upgrade_attack_bonus_pct,6,1,
rogue_effect_type,tower_attack_speed_bonus_pct,7,1,
rogue_effect_type,wall_health_phase_bonus_pct,8,1,
rogue_effect_type,lumberjack_attack_speed_bonus_pct,9,1,
rogue_effect_type,next_reward_take_all,10,1,
rogue_effect_type,next_hero_reroll_count,11,1,
rogue_effect_type,random_building_upgrade_count,12,1,
rogue_effect_type,ballista_damage_bonus_pct,13,1,
rogue_effect_type,grant_current_wood_pct,14,1,
rogue_effect_type,slowed_target_damage_taken_pct,15,1,
rogue_effect_type,max_tower_count_attack_bonus_pct,16,1,
rogue_effect_type,grant_gold_flat,17,1,
rogue_effect_type,wall_attacker_armor_reduction,18,1,
rogue_effect_type,grant_tower_duplicator_action,19,1,
rogue_effect_type,cooldown_reset_event_count,20,1,
rogue_effect_type,grant_nuclear_bomb_action,21,1,
rogue_effect_type,challenge_reward_multiplier,22,1,
rogue_effect_type,unit_attack_bonus_pct,23,1,
rogue_effect_type,tower_hero_attack_projection_pct,24,1,
rogue_effect_type,grant_building_upgrade_action,25,1,
rogue_effect_type,training_capacity_flat,26,1,
rogue_effect_type,hero_lifesteal_pct,27,1,
rogue_effect_type,building_count_gold,28,1,
rogue_effect_type,grant_stimulant_action,29,1,
rogue_effect_type,physical_armor_ignore_pct,30,1,
rogue_effect_type,training_dummy_attack_gain,31,1,
rogue_effect_type,grant_random_cards,32,1,
rogue_effect_type,wall_health_multiplier,33,1,
rogue_effect_type,owned_target_attacker_armor_reduction,34,1,
rogue_effect_type,builder_start_effect,35,1,
rogue_execution_mode,instant_transaction,1,1,
rogue_execution_mode,continuous_projection,2,1,
rogue_execution_mode,timed_state,3,1,
rogue_execution_mode,event_counter,4,1,
rogue_execution_mode,next_matching_event,5,1,
rogue_execution_mode,event_reactive,6,1,
rogue_execution_mode,phase_transition,7,1,
rogue_execution_mode,granted_action,8,1,
rogue_owner_scope,player,1,1,
rogue_owner_scope,team_resource,2,1,
rogue_target_selector,owner_towers,1,1,
rogue_target_selector,owner_base_towers_under_level,2,1,
rogue_target_selector,owner_wall,3,1,
rogue_target_selector,next_wave_boss,4,1,
rogue_target_selector,owner_lumberjacks,5,1,
rogue_target_selector,owner_hero,6,1,
rogue_target_selector,owner_units_and_towers,7,1,
rogue_target_selector,matching_enemy,8,1,
rogue_target_selector,team_resource_account,9,1,
rogue_target_selector,owner_buildings,10,1,
rogue_target_selector,granted_action_target,11,1,
rogue_target_selector,card_pool,12,1,
rogue_stack_policy,unique_card,1,1,
rogue_stack_policy,additive,2,1,
rogue_event_type,grant_applied,1,1,
rogue_event_type,building_created,2,1,
rogue_event_type,building_changed,3,1,
rogue_event_type,building_destroyed,4,1,
rogue_event_type,wave_boss_spawned,5,1,
rogue_event_type,reward_offer_created,6,1,
rogue_event_type,hero_choice_created,7,1,
rogue_event_type,challenge_completed,8,1,
rogue_event_type,matching_skill_triggered,9,1,
rogue_event_type,wall_attacked,10,1,
rogue_event_type,action_used,11,1,
rogue_event_type,timer_elapsed,12,1,
rogue_event_type,unit_attacked_dummy,13,1,
rogue_event_type,monster_spawned,14,1,
rogue_event_type,worker_changed,15,1,
rogue_event_type,hero_summoned,16,1,
rogue_predicate,always,1,1,
rogue_predicate,owner_matches,2,1,
rogue_predicate,base_tower_below_level,3,1,
rogue_predicate,target_is_boss,4,1,
rogue_predicate,target_is_slowed,5,1,
rogue_rule_role,activate,1,1,
rogue_rule_role,recompute,2,1,
rogue_rule_role,consume,3,1,
rogue_rule_role,expire,4,1,
rogue_rule_role,transition,5,1,
rogue_transition,none,1,1,
rogue_transition,next_phase,2,1,
