rule_id,value,description,enabled
#中文名:规则ID,数值,说明,是否启用
#types:string,number,string,boolean
tower_attack_range,1000,所有防御塔统一基础攻击距离,1
tower_acquisition_range,1000,所有防御塔统一基础索敌距离,1
tower_base_projectile_speed,5000,基础箭塔原始弹道速度,1
tower_route_default_projectile_speed,1250,无独立配置转职塔的原始弹道速度,1
tower_class_max_count,5,每条箭塔转职路线允许同时存在的最大数量,1
tower_projectile_speed_multiplier,1,所有防御塔弹道速度倍率,1
base_arrow_tower_cannot_miss,1,未转职基础箭塔普通攻击必中（0关闭1开启）,1
monster_war3_armor_damage_enabled,0,废弃兼容字段；怪物物理伤害固定使用项目War3护甲公式,0
wave_monster_round_robin_enabled,1,每波普通怪按类型循环；地面飞行混合时按两地面一飞行（0关闭1开启）,1
repair_detection_range,99999,修理师自动感知受损建筑的范围,1
initial_gold,0,队伍开局金币,1
initial_wood,10,队伍开局木材,1
initial_population,0,队伍开局已用人口,1
initial_max_population,0,队伍开局人口上限,1
tree_lumber_efficiency_buff_per_level,1,资源树从LV2起每级增加的伐木效率,1
hero_base_lumber_efficiency,13,英雄每次攻击资源树的基础木材收益,1
hero_meta_all_attributes_bonus,0,全体英雄局外全属性加成,1
hero_meta_damage_multiplier,1,全体英雄局外伤害倍率,1
hero_meta_max_health_multiplier,1,全体英雄局外最大生命倍率,1
hero_meta_max_mana_multiplier,1,全体英雄局外最大魔法倍率,1
hero_meta_move_speed_bonus,0,全体英雄局外移动速度加成,1
monster_corpse_hold_seconds,0.6,怪物死亡后在原地保留死亡表现的秒数,1
monster_corpse_sink_seconds,0.8,怪物尸体平滑下沉所需秒数,1
monster_corpse_sink_depth,160,怪物尸体下沉的垂直距离,1
monster_corpse_update_interval,0.05,全部怪物尸体共享更新任务的间隔秒数,1
monster_corpse_remove_delay_seconds,0.05,尸体隐藏后安全移除实体的延迟秒数,1
runtime_detailed_diagnostics,0,运行时攻击与技能成功路径详细日志开关（0关闭1开启）,1
dev_wall_health,9999999999,输入dev后城墙的开发模式最大生命和当前生命,1
dev_wall_war3_armor,100000,输入dev后城墙的开发模式War3护甲,1
