preset_id,route_id,display_name,level,panel_attack_damage,attack_interval,laser_initial_delay,laser_interval,laser_base_multiplier,laser_growth_per_tick,laser_max_multiplier,arcane_stack_bonus,arcane_stack_duration,arcane_stack_cap,eye_enabled,eye_damage_multiplier,eye_path_half_width,notes
#types:string,string,string,number,number,number,number,number,number,number,number,number,number,number,boolean,number,number,string
mystery_lv01,mystery,神秘之塔LV1,1,901,1,1,1,1,0.10,5,0.1,5,0,0,0.3,96,录像工作簿面板值；原版默认延迟首跳
mystery_lv02,mystery,神秘之塔LV2,2,1501,1,1,1,1.2,0.10,5,0.1,5,0,0,0.3,96,录像工作簿面板值；第7波验证样本
mystery_lv03,mystery,神秘之塔LV3,3,2101,1,1,1,1.4,0.10,5,0.1,5,0,0,0.3,96,录像工作簿面板值
mystery_lv04,mystery,神秘之塔LV4,4,3901,1,1,1,1.6,0.10,5,0.1,5,0,0,0.3,96,录像工作簿面板值
mystery_lv05,mystery,神秘之塔LV5,5,6101,1,1,1,1.8,0.10,5,0.1,5,0,0,0.3,96,录像工作簿面板值
arcane_cannon_lv01,arcane_cannon,魔能炮LV1,1,12201,1,1,1,1.8,0.10,5,0.1,5,4,0,0.3,96,击杀层独立持续5秒
arcane_cannon_lv02,arcane_cannon,魔能炮LV2,2,35101,1,1,1,1.8,0.10,5,0.1,5,5,0,0.3,96,击杀层独立持续5秒
arcane_cannon_lv03,arcane_cannon,魔能炮LV3,3,50101,1,1,1,1.8,0.10,5,0.1,5,6,0,0.3,96,击杀层独立持续5秒
arcane_cannon_lv04,arcane_cannon,魔能炮LV4,4,75101,1,1,1,1.8,0.10,5,0.1,5,7,0,0.3,96,击杀层独立持续5秒
arcane_cannon_lv05,arcane_cannon,魔能炮LV5,5,108101,1,1,1,1.8,0.10,5,0.1,5,7,0,0.3,96,击杀层独立持续5秒
arcane_eye_lv01,arcane_eye,魔能之眼LV1,1,308101,1,1,1,1.8,0.10,5,0.1,5,7,1,0.3,96,路径半宽96为可调实验默认值
arcane_eye_lv02,arcane_eye,魔能之眼LV2,2,508101,1,1,1,1.8,0.10,5,0.1,5,7,1,0.3,96,路径半宽96为可调实验默认值
arcane_eye_lv03,arcane_eye,魔能之眼LV3,3,808101,1,1,1,1.8,0.10,5,0.1,5,7,1,0.3,96,路径半宽96为可调实验默认值
arcane_eye_lv04,arcane_eye,魔能之眼LV4,4,1008101,1,1,1,1.8,0.10,5,0.1,5,7,1,0.3,96,路径半宽96为可调实验默认值
arcane_eye_lv05,arcane_eye,魔能之眼LV5,5,1508101,1,1,1,1.8,0.10,5,0.1,5,7,1,0.3,96,路径半宽96为可调实验默认值
arcane_eye_lv06,arcane_eye,魔能之眼LV6,6,2008101,1,1,1,1.8,0.10,5,0.1,5,7,1,0.3,96,路径半宽96为可调实验默认值
arcane_eye_lv07,arcane_eye,魔能之眼LV7,7,3008101,1,1,1,1.8,0.10,5,0.1,5,7,1,0.3,96,路径半宽96为可调实验默认值
arcane_eye_lv08,arcane_eye,魔能之眼LV8,8,4008101,1,1,1,1.8,0.10,5,0.1,5,7,1,0.3,96,路径半宽96为可调实验默认值
arcane_eye_lv09,arcane_eye,魔能之眼LV9,9,5008101,1,1,1,1.8,0.10,5,0.1,5,7,1,0.3,96,路径半宽96为可调实验默认值
arcane_eye_lv10,arcane_eye,魔能之眼LV10,10,6008101,1,1,1,1.8,0.10,5,0.1,5,7,1,0.3,96,路径半宽96为可调实验默认值
