achievement_id,category_id,difficulty_id,required_count,display_name,description,effect_ids,effect_values,icon_style,enabled,source_row,notes
#中文表头:成就ID,分页ID,难度ID,所需通关次数,名称,效果,词条ID数组,数值数组,自制图标样式,启用,来源行,来源备注
#types:string,string,string,number,string,string,list,list,string,boolean,number,string
"clear_n1_1","clear","n1","1","N1（1次）","木材+50","initial_wood","50","scroll","1","5","已核对"
"clear_n1_3","clear","n1","3","N1（3次）","木材+80","initial_wood","80","scroll","1","6","已核对"
"clear_n1_5","clear","n1","5","N1（5次）","木材+100","initial_wood","100","scroll","1","7","已核对"
"clear_n2_1","clear","n2","1","N2（1次）","木材+100","initial_wood","100","scroll","1","8","未悬停显示"
"clear_n2_3","clear","n2","3","N2（3次）","木材+120","initial_wood","120","scroll","1","9","已核对"
"clear_n2_5","clear","n2","5","N2（5次）","墙伤害抵挡+50","wall_damage_block","50","scroll","1","10","中等置信"
"clear_n2_10","clear","n2","10","N2（10次）","墙减伤+0.5%","wall_damage_reduction_pct","0.5","scroll","1","11","已核对"
"clear_n3_1","clear","n3","1","N3（1次）","木材+120","initial_wood","120","scroll","1","12","未悬停显示"
"clear_n3_3","clear","n3","3","N3（3次）","木材+120","initial_wood","120","scroll","1","13","已核对"
"clear_n3_5","clear","n3","5","N3（5次）","每秒木材+1","wood_per_second","1","scroll","1","14","已核对"
"clear_n3_10","clear","n3","10","N3（10次）","人口+1","initial_population_cap","1","scroll","1","15","已核对"
"clear_n3_20","clear","n3","20","N3（20次）","伐木数量+2","lumberjack_attack_efficiency","2","scroll","1","16","中等置信"
"clear_n4_1","clear","n4","1","N4（1次）","金币+140","initial_gold","140","scroll","1","17","未悬停显示"
"clear_n4_3","clear","n4","3","N4（3次）","木材+160","initial_wood","160","scroll","1","18","未悬停显示"
"clear_n4_5","clear","n4","5","N4（5次）","防御塔攻击+2%","tower_attack_bonus_pct","2","scroll","1","19","已核对"
"clear_n4_10","clear","n4","10","N4（10次）","英雄攻击+5%","hero_attack_bonus_pct","5","scroll","1","20","已核对"
"clear_n4_20","clear","n4","20","N4（20次）","英雄造成伤害攻击+1","hero_damage_attack_growth","1","scroll","1","21","中等置信"
"clear_n5_1","clear","n5","1","N5（1次）","木材+160","initial_wood","160","scroll","1","22","已核对"
"clear_n5_3","clear","n5","3","N5（3次）","木材+180","initial_wood","180","scroll","1","23","已核对"
"clear_n5_5","clear","n5","5","N5（5次）","伐木数量+2","lumberjack_attack_efficiency","2","scroll","1","24","中等置信"
"clear_n5_10","clear","n5","10","N5（10次）","箭塔攻速+5%","tower_attack_speed_bonus_pct","5","scroll","1","25","已核对"
"clear_n5_20","clear","n5","20","N5（20次）","英雄攻击加成+2%","hero_attack_bonus_pct","2","scroll","1","26","已核对"
"clear_n6_1","clear","n6","1","N6（1次）","木材+180","initial_wood","180","scroll","1","27","已核对"
"clear_n6_3","clear","n6","3","N6（3次）","木材+200","initial_wood","200","scroll","1","28","已核对"
"clear_n6_5","clear","n6","5","N6（5次）","箭塔攻击加成+1%","tower_attack_bonus_pct","1","scroll","1","29","已核对"
"clear_n6_10","clear","n6","10","N6（10次）","英雄每级全属性+10","hero_attributes_per_level","10","scroll","1","30","已核对"
"clear_n6_20","clear","n6","20","N6（20次）","墙每秒生命+10","wall_health_per_second","10","scroll","1","31","未悬停显示"
"clear_n7_1","clear","n7","1","N7（1次）","木材+200","initial_wood","200","scroll","1","32","未悬停显示"
"clear_n7_3","clear","n7","3","N7（3次）","金币+300","initial_gold","300","scroll","1","33","已核对"
"clear_n7_5","clear","n7","5","N7（5次）","人口+1","initial_population_cap","1","scroll","1","34","已核对"
"clear_n7_10","clear","n7","10","N7（10次）","伐木效率+2","lumberjack_efficiency","2","scroll","1","35","已核对"
"clear_n7_20","clear","n7","20","N7（20次）","伐木工攻击成长+1","lumberjack_attack_growth","1","scroll","1","36","已核对"
"clear_n8_1","clear","n8","1","N8（1次）","木材+300","initial_wood","300","scroll","1","37","已核对"
"clear_n8_3","clear","n8","3","N8（3次）","木材+500","initial_wood","500","scroll","1","38","未悬停显示"
"clear_n8_5","clear","n8","5","N8（5次）","箭塔攻击加成+3%","tower_attack_bonus_pct","3","scroll","1","39","未悬停显示"
"clear_n8_10","clear","n8","10","N8（10次）","箭塔攻击加成+3%","tower_attack_bonus_pct","3","scroll","1","40","未悬停显示"
"clear_n8_20","clear","n8","20","N8（20次）","英雄攻击加成+3%","hero_attack_bonus_pct","3","scroll","1","41","未悬停显示"
"clear_n9_1","clear","n9","1","N9（1次）","木材+800","initial_wood","800","scroll","1","42","未悬停显示"
"clear_n9_3","clear","n9","3","N9（3次）","人口+1","initial_population_cap","1","scroll","1","43","未悬停显示"
"clear_n9_5","clear","n9","5","N9（5次）","英雄初始属性+5000","hero_initial_attributes","5000","scroll","1","44","已核对"
"clear_n9_10","clear","n9","10","N9（10次）","英雄每秒属性+3","hero_attributes_per_second","3","scroll","1","45","已核对"
"clear_n9_20","clear","n9","20","N9（20次）","金矿效率+5%","gold_mine_efficiency_pct","5","scroll","1","46","未悬停显示"
"clear_n10_5","clear","n10","5","N10（5次）","箭塔攻击+5%","tower_attack_bonus_pct","5","scroll","1","47","仅名称/上限可见"
"clear_n10_10","clear","n10","10","N10（10次）","箭塔攻速+5%","tower_attack_speed_bonus_pct","5","scroll","1","48","仅名称/上限可见"
