achievement_id,display_name,required_kills,pass_required_kills,description,effect_ids,effect_values,enabled
#types:string,string,number,number,string,list,list,boolean
"boss_1","BOSS存档1","10","5","墙生命值+500","wall_initial_health","500","1"
"boss_2","BOSS存档2","30","15","墙生命值+500","wall_initial_health","500","1"
"boss_3","BOSS存档3","50","25","伐木效率+1","lumberjack_attack_efficiency","1","1"
"boss_4","BOSS存档4","70","35","箭塔攻击+3%","tower_attack_bonus_pct","3","1"
"boss_5","BOSS存档5","100","50","英雄造成伤害加属性+1","hero_attributes_per_damage","1","1"
"boss_6","BOSS存档6","150","75","初始木材+50","initial_wood","50","1"
"boss_7","BOSS存档7","200","100","墙生命加成+3%","wall_health_bonus_pct","3","1"
"boss_8","BOSS存档8","250","125","墙护甲加成+3%","wall_armor_bonus_pct","3","1"
"boss_9","BOSS存档9","300","150","初始金币+30","initial_gold","30","1"
"boss_10","BOSS存档10","400","200","伐木效率+1","lumberjack_attack_efficiency","1","1"
"boss_11","BOSS存档11","500","250","英雄初始属性+100","hero_initial_attributes","100","1"
"boss_12","BOSS存档12","600","300","墙生命+2000","wall_initial_health","2000","1"
"boss_13","BOSS存档13","700","350","箭塔攻击+5%","tower_attack_bonus_pct","5","1"
"boss_14","BOSS存档14","800","400","伐木效率+1","lumberjack_attack_efficiency","1","1"
"boss_15","BOSS存档15","1000","500","英雄造成伤害黄金+1","hero_damage_gold_flat","1","1"
"boss_16","BOSS存档16","1200","600","初始人口+1","initial_population_cap","1","1"
"boss_17","BOSS存档17","1400","700","初始木材+100","initial_wood","100","1"
"boss_18","BOSS存档18","1600","800","伐木工攻速+5%","lumberjack_attack_speed_bonus_pct","5","1"
"boss_19","BOSS存档19","1800","900","伐木工攻击成长+1","lumberjack_attack_growth","1","1"
"boss_20","BOSS存档20","2000","1000","每秒金币+1","gold_per_second","1","1"
"boss_21","BOSS存档21","2400","1200","初始木材+150","initial_wood","150","1"
"boss_22","BOSS存档22","2800","1400","英雄每秒全属性+3","hero_attributes_per_second","3","1"
"boss_23","BOSS存档23","3200","1600","英雄生命加成+5%","hero_health_bonus_pct","5","1"
"boss_24","BOSS存档24","3600","1800","英雄护甲加成+5%","hero_armor_bonus_pct","5","1"
"boss_25","BOSS存档25","4000","2000","英雄攻击减甲+1","hero_attack_armor_reduction","1","1"
"boss_26","BOSS存档26","4500","2250","英雄三围加成+3%","hero_attribute_bonus_pct","3","1"
"boss_27","BOSS存档27","5000","2500","英雄攻速+5%","hero_attack_speed_bonus_pct","5","1"
"boss_28","BOSS存档28","5500","2750","英雄伤害减免+1%","hero_damage_reduction_pct","1","1"
"boss_29","BOSS存档29","6000","3000","英雄最终伤害+5%","hero_final_damage_bonus_pct","5","1"
"boss_30","BOSS存档30","7000","3500","英雄三围加成+5%","hero_attribute_bonus_pct","5","1"
"boss_31","BOSS存档31","8000","4000","英雄最终伤害+5%","hero_final_damage_bonus_pct","5","1"
"boss_32","BOSS存档32","9000","4500","英雄每秒全属性+5","hero_attributes_per_second","5","1"
"boss_33","BOSS存档33","10000","5000","英雄三围加成+10%","hero_attribute_bonus_pct","10","1"
"boss_34","BOSS存档34","11000","5500","英雄最终伤害+10%","hero_final_damage_bonus_pct","10","1"
