item_id,display_name,pool_id,max_owned,description,effect_ids,effect_values,enabled
#中文表头:材料ID,名称,所属BOSS池,持有上限,单件效果,词条ID,数值,启用
#types:string,string,string,number,string,list,list,boolean
"cage_01","黑龙之牙","cage_1","149","木材+20","initial_wood","20","1"
"cage_02","黑龙之爪","cage_1","149","金币+5","initial_gold","5","1"
"cage_03","暮光沙漏","cage_1","149","塔生命+500","wall_initial_health","500","1"
"cage_04","源质胸甲","cage_1","149","每秒木材+1","wood_per_second","1","1"
"cage_05","熔岩之血","cage_1","149","塔生命加成+0.5%","wall_health_bonus_pct","0.5","1"
"cage_06","灭世咆哮","cage_1","149","箭塔攻击加成+0.5%","tower_attack_bonus_pct","0.5","1"
"cage_07","源质碎片","cage_1","149","英雄每秒属性+1","hero_attributes_per_second","1","1"
"cage_08","疯狂呓语","cage_1","149","英雄攻击加成+0.5%","hero_attack_bonus_pct","0.5","1"
"cage_09","黑龙之魂","cage_1","149","英雄三围加成+2%","hero_attribute_bonus_pct","2","1"
"cage_10","红龙之牙","cage_2","149","木材+30","initial_wood","30","1"
"cage_11","红龙之爪","cage_2","149","金币+10","initial_gold","10","1"
"cage_12","新生龙卵","cage_2","149","塔生命+600","wall_initial_health","600","1"
"cage_13","红龙之血","cage_2","149","每秒木材+2","wood_per_second","2","1"
"cage_14","生命精华","cage_2","149","塔生命加成+1%","wall_health_bonus_pct","1","1"
"cage_15","红龙之怒（疑似）","cage_2","149","箭塔攻击加成+1%","tower_attack_bonus_pct","1","1"
"cage_16","龙群·龙群号角（疑似）","cage_2","149","英雄每秒属性+2","hero_attributes_per_second","2","1"
"cage_17","龙血契约","cage_2","149","英雄攻击加成+1%","hero_attack_bonus_pct","1","1"
"cage_18","红龙之魂","cage_2","149","英雄三围加成+2%","hero_attribute_bonus_pct","2","1"
"cage_19","巨龙之牙","cage_3","149","木材+40","initial_wood","40","1"
"cage_20","冰霜之爪","cage_3","149","金币+15","initial_gold","15","1"
"cage_21","冰霜核心","cage_3","149","塔生命+700","wall_initial_health","700","1"
"cage_22","白骨之刺","cage_3","149","每秒木材+3","wood_per_second","3","1"
"cage_23","凛风护甲","cage_3","149","墙生命加成+2%","wall_health_bonus_pct","2","1"
"cage_24","霜寒悲叹","cage_3","149","箭塔攻击加成+1.5%","tower_attack_bonus_pct","1.5","1"
"cage_25","极寒龙息","cage_3","149","英雄每秒属性+3","hero_attributes_per_second","3","1"
"cage_26","绝望龙环","cage_3","149","英雄攻击加成+1.5","hero_attack_bonus_pct","1.5","1"
"cage_27","冰龙之魂","cage_3","149","英雄三围加成+2%","hero_attribute_bonus_pct","2","1"
"cage_28","绿龙之牙","cage_4","149","木材+50","initial_wood","50","1"
"cage_29","绿龙之爪","cage_4","149","金币+20","initial_gold","20","1"
"cage_30","翡翠沙漏","cage_4","149","墙生命+800","wall_initial_health","800","1"
"cage_31","源生胸甲","cage_4","149","每秒木材+3","wood_per_second","3","1"
"cage_32","翡翠之血","cage_4","149","墙生命加成+2%","wall_health_bonus_pct","2","1"
"cage_33","梦魇咆哮","cage_4","149","箭塔攻击加成+2%","tower_attack_bonus_pct","2","1"
"cage_34","源生鳞片","cage_4","149","英雄每秒属性+4","hero_attributes_per_second","4","1"
"cage_35","腐梦呓语","cage_4","149","英雄攻击加成+2%","hero_attack_bonus_pct","2","1"
"cage_36","绿龙之魂","cage_4","149","英雄攻击全属性+1","hero_attribute_growth","1","1"
"cage_37","蓝龙之牙","cage_5","149","木材+60","initial_wood","60","1"
"cage_38","蓝龙之爪","cage_5","149","金币+25","initial_gold","25","1"
"cage_39","星界沙漏","cage_5","149","墙生命+900","wall_initial_health","900","1"
"cage_40","奥能胸甲（疑似）","cage_5","149","每秒木材+3","wood_per_second","3","1"
"cage_41","星核之血","cage_5","149","墙生命加成+1%","wall_health_bonus_pct","1","1"
"cage_42","虚空咆哮","cage_5","149","箭塔攻击加成+2%","tower_attack_bonus_pct","2","1"
"cage_43","奥能碎片","cage_5","149","英雄每秒属性+5","hero_attributes_per_second","5","1"
"cage_44","星界呓语（疑似）","cage_5","149","英雄攻击加成+2%","hero_attack_bonus_pct","2","1"
"cage_45","蓝龙之魂","cage_5","149","英雄攻击全属性+1","hero_attribute_growth","1","1"
"cage_46","青铜龙之牙","cage_6","149","木材+70","initial_wood","70","1"
"cage_47","青铜龙之爪","cage_6","149","金币+30","initial_gold","30","1"
"cage_48","时序沙漏","cage_6","149","墙生命+1000","wall_initial_health","1000","1"
"cage_49","纪元胸甲","cage_6","149","每秒木材+3","wood_per_second","3","1"
"cage_50","时序之血","cage_6","149","墙生命加成+2%","wall_health_bonus_pct","2","1"
"cage_51","纪元咆哮","cage_6","149","箭塔攻击加成+2%","tower_attack_bonus_pct","2","1"
"cage_52","时序碎片","cage_6","149","英雄每秒属性+6","hero_attributes_per_second","6","1"
"cage_53","轮回呓语","cage_6","149","英雄攻击加成+2%","hero_attack_bonus_pct","2","1"
"cage_54","青铜龙之魂","cage_6","149","英雄攻击全属性+1","hero_attribute_growth","1","1"
