challenge_id,building_id,slot_order,display_name,min_difficulty,reward_kind,reward_key,model_path,model_scale,ability_icon,cooldown_seconds,enabled,description
#中文表头:挑战ID,建筑序号,技能顺序,技能名称,解锁难度,奖励种类,奖励ID或品质,模型,模型缩放,技能图标,冷却秒,启用,说明
#types:string,number,number,string,number,string,string,string,number,string,number,boolean,string
"shadow_1","1","1","虚空之影1","1","shadow","n1","models/heroes/nevermore/nevermore.vmdl","1.1","nevermore_shadowraze1","3","1","从工作簿虚空之影N1对应物品池独立随机2次，允许重复，最终固定2件。"
"shadow_2","1","2","虚空之影2","2","shadow","n2","models/heroes/nevermore/nevermore.vmdl","1.1","nevermore_shadowraze1","3","1","从工作簿虚空之影N2对应物品池独立随机2次，允许重复，最终固定2件。"
"shadow_3","1","3","虚空之影3","3","shadow","n3","models/heroes/nevermore/nevermore.vmdl","1.1","nevermore_shadowraze1","3","1","从工作簿虚空之影N3对应物品池独立随机2次，允许重复，最终固定2件。"
"shadow_4","1","4","虚空之影4","4","shadow","n4","models/heroes/nevermore/nevermore.vmdl","1.1","nevermore_shadowraze1","3","1","击败BOSS随机获得2件绿色虚空道具；通行证额外1件，同品质内等概率。"
"hunt_01","1","5","神兽狩猎-1","5","fragment","fragment_01","models/heroes/sven/sven.vmdl","1.2","sven_gods_strength","3","1","击败对应神兽获得神兵-破碎大剑 碎片；每20片晋升1级。"
"hunt_02","1","6","神兽狩猎-2","6","fragment","fragment_02","models/heroes/mars/mars.vmdl","1.2","mars_arena_of_blood","3","1","击败对应神兽获得神兵-始祖之祸 碎片；每20片晋升1级。"
"hunt_03","1","7","神兽狩猎-3","7","fragment","fragment_03","models/heroes/doom/doom.vmdl","1.2","doom_bringer_doom","3","1","击败对应神兽获得神兵-焚焰 碎片；每20片晋升1级。"
"hunt_04","1","8","神兽狩猎-4","8","fragment","fragment_04","models/heroes/spectre/spectre.vmdl","1.2","spectre_haunt","3","1","击败对应神兽获得神兵-净魂之刃 碎片；每20片晋升1级。"
"cage_1","1","9","秘法牢笼-1","7","cage","cage_1","models/heroes/visage/visage.vmdl","1.5","visage_summon_familiars","3","1","击败BOSS随机掉落本池9种材料之一；通行证额外1件。"
"cage_2","1","10","秘法牢笼-2","8","cage","cage_2","models/heroes/visage/visage.vmdl","1.5","visage_summon_familiars","3","1","击败BOSS随机掉落本池9种材料之一；通行证额外1件。"
"cage_3","1","11","秘法牢笼-3","9","cage","cage_3","models/heroes/visage/visage.vmdl","1.5","visage_summon_familiars","3","1","击败BOSS随机掉落本池9种材料之一；通行证额外1件。"
"hunt_05","2","1","神兽狩猎-5","8","fragment","fragment_05","models/heroes/faceless_void/faceless_void.vmdl","1.2","faceless_void_chronosphere","3","1","击败对应神兽获得神兵-狂战斧 碎片；每20片晋升1级。"
