stats_id,challenge_id,difficulty_id,health,attack,war3_armor,attack_speed,move_speed,attack_range,magic_resistance,enabled,notes
#中文表头:属性ID,挑战ID,当前关卡,生命,攻击,魔兽护甲,每秒攻击次数,移速,攻击距离,魔抗百分比,启用,备注
#types:string,string,string,number,number,number,number,number,number,number,boolean,string
"shadow_1_N1","shadow_1","N1","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_1_N2","shadow_1","N2","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_1_N3","shadow_1","N3","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_1_N4","shadow_1","N4","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_1_N5","shadow_1","N5","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_1_N6","shadow_1","N6","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_1_N7","shadow_1","N7","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_1_N8","shadow_1","N8","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_1_N9","shadow_1","N9","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_1_N10","shadow_1","N10","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_2_N1","shadow_2","N1","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_2_N2","shadow_2","N2","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_2_N3","shadow_2","N3","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_2_N4","shadow_2","N4","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_2_N5","shadow_2","N5","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_2_N6","shadow_2","N6","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_2_N7","shadow_2","N7","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_2_N8","shadow_2","N8","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_2_N9","shadow_2","N9","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_2_N10","shadow_2","N10","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_3_N1","shadow_3","N1","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_3_N2","shadow_3","N2","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_3_N3","shadow_3","N3","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_3_N4","shadow_3","N4","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_3_N5","shadow_3","N5","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_3_N6","shadow_3","N6","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_3_N7","shadow_3","N7","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_3_N8","shadow_3","N8","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_3_N9","shadow_3","N9","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_3_N10","shadow_3","N10","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_4_N1","shadow_4","N1","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_4_N2","shadow_4","N2","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_4_N3","shadow_4","N3","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_4_N4","shadow_4","N4","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_4_N5","shadow_4","N5","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_4_N6","shadow_4","N6","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_4_N7","shadow_4","N7","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_4_N8","shadow_4","N8","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_4_N9","shadow_4","N9","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
"shadow_4_N10","shadow_4","N10","1000","10","0","1","280","160","0","1","测试数值；N5-N10一致，后续在本表逐行调整。"
