achievement_id,display_name,required_score,description,effect_ids,effect_values,enabled
#types:string,string,number,string,list,list,boolean
"endless_1","无尽存档1","1000","伐木效率+1","lumberjack_efficiency","1","1"
"endless_2","无尽存档2","3000","英雄攻击加成+3%","hero_attack_bonus_pct","3","1"
"endless_3","无尽存档3","5000","箭塔每秒攻击+2","tower_attack_per_second","2","1"
"endless_4","无尽存档4","8000","墙减伤+2%","wall_damage_reduction_pct","2","1"
"endless_5","无尽存档5","12000","箭塔攻速+2%","tower_attack_speed_bonus_pct","2","1"
"endless_6","无尽存档6","16000","英雄攻击成长+1","hero_basic_attack_growth","1","1"
"endless_7","无尽存档7","20000","墙生命加成+10%","wall_health_bonus_pct","10","1"
"endless_8","无尽存档8","25000","箭塔攻击加成+10%","tower_attack_bonus_pct","10","1"
"endless_9","无尽存档9","30000","伐木效率+2","lumberjack_efficiency","2","1"
"endless_10","无尽存档10","40000","英雄攻击属性成长+2","hero_attribute_growth","2","1"
"endless_11","无尽存档11","60000","英雄全属性加成+5%","hero_attribute_bonus_pct","5","1"
"endless_12","无尽存档12","80000","每秒木材+5","wood_per_second","5","1"
"endless_13","无尽存档13","100000","金矿效率+10%","gold_mine_yield_bonus_pct","10","1"
"endless_14","无尽存档14","120000","英雄攻击减甲+5","hero_attack_armor_reduction","5","1"
"endless_15","无尽存档15","150000","英雄初始属性+3000","hero_initial_attributes","3000","1"
"endless_16","无尽存档16","180000","墙减伤+3%","wall_damage_reduction_pct","3","1"
"endless_17","无尽存档17","210000","墙每秒护甲+0.1","wall_armor_per_second","0.1","1"
"endless_18","无尽存档18","240000","墙每秒生命+10","wall_health_per_second","10","1"
"endless_19","无尽存档19","270000","箭塔攻速+8%","tower_attack_speed_bonus_pct","8","1"
"endless_20","无尽存档20","300000","箭塔暴击几率+3%","tower_critical_chance_pct","3","1"
"endless_21","无尽存档21","350000","箭塔暴击伤害+10%","tower_critical_damage_bonus_pct","10","1"
"endless_22","无尽存档22","400000","箭塔每秒攻击+2","tower_attack_per_second","2","1"
"endless_23","无尽存档23","450000","伐木工攻速+10%","lumberjack_attack_speed_bonus_pct","10","1"
"endless_24","无尽存档24","500000","英雄攻击间隔-0.05","hero_attack_interval_reduction","0.05","1"
"endless_25","无尽存档25","550000","墙护甲+10","wall_armor","10","1"
"endless_26","无尽存档26","600000","墙护甲加成+10%","wall_armor_bonus_pct","10","1"
"endless_27","无尽存档27","650000","伐木效率+5","lumberjack_efficiency","5","1"
"endless_28","无尽存档28","700000","伐木工攻速+15%","lumberjack_attack_speed_bonus_pct","15","1"
"endless_29","无尽存档29","750000","英雄攻击属性成长+5","hero_attribute_growth","5","1"
"endless_30","无尽存档30","800000","英雄最终伤害+15%","hero_final_damage_bonus_pct","15","1"
"endless_31","无尽存档31","900000","箭塔最终伤害+15%","tower_final_damage_bonus_pct","15","1"
"endless_32","无尽存档32","1000000","墙生命加成+15%","wall_health_bonus_pct","15","1"
"endless_33","无尽存档33","1200000","人口+10","initial_population_cap","10","1"
"endless_34","无尽存档34","1400000","伐木效率+10","lumberjack_efficiency","10","1"
"endless_35","无尽存档35","1600000","英雄攻击属性成长+6","hero_attribute_growth","6","1"
"endless_36","无尽存档36","1800000","英雄最终伤害+15%","hero_final_damage_bonus_pct","15","1"
"endless_37","无尽存档37","2000000","英雄全属性加成+10%","hero_attribute_bonus_pct","10","1"
"endless_38","无尽存档38","2300000","墙生命加成+15%","wall_health_bonus_pct","15","1"
"endless_39","无尽存档39","2600000","墙护甲加成+15%","wall_armor_bonus_pct","15","1"
"endless_40","无尽存档40","3000000","英雄最终伤害+15%","hero_final_damage_bonus_pct","15","1"
"endless_41","无尽存档41","3200000","箭塔最终伤害+30%","tower_final_damage_bonus_pct","30","1"
"endless_42","无尽存档42","3400000","英雄攻击减甲+15","hero_attack_armor_reduction","15","1"
"endless_43","无尽存档43","3600000","英雄攻击属性成长+10","hero_attribute_growth","10","1"
"endless_44","无尽存档44","3800000","英雄全属性加成+20%","hero_attribute_bonus_pct","20","1"
"endless_45","无尽存档45","4000000","墙生命加成+30%","wall_health_bonus_pct","30","1"
"endless_46","无尽存档46","4300000","墙护甲加成+30%","wall_armor_bonus_pct","30","1"
"endless_47","无尽存档47","4600000","英雄最终伤害+15%","hero_final_damage_bonus_pct","15","1"
"endless_48","无尽存档48","5000000","箭塔最终伤害+30%","tower_final_damage_bonus_pct","30","1"
"endless_49","无尽存档49","5500000","英雄攻击减甲+15","hero_attack_armor_reduction","15","1"
"endless_50","无尽存档50","6000000","英雄攻击属性成长+10","hero_attribute_growth","10","1"
