wave_id,group_id,wave_number,health,attack,war3_armor,enabled
#types:string,string,number,number,number,number,boolean
"tier1_1","tier1","1","1999997","75000","185","1"
"tier1_2","tier1","2","2185997","82125","192","1"
"tier1_3","tier1","3","2389294","89927","200","1"
"tier1_4","tier1","4","2611499","98470","208","1"
"tier1_5","tier1","5","2854368","107825","216","1"
"tier1_6","tier1","6","3119824","118068","225","1"
"tier1_7","tier1","7","3409968","129284","234","1"
"tier1_8","tier1","8","3727095","141566","243","1"
"tier1_9","tier1","9","4073715","155015","253","1"
"tier1_10","tier1","10","4452570","169742","263","1"
"tier1_11","tier1","11","4866660","185867","273","1"
"tier1_12","tier1","12","5319259","203524","284","1"
"tier1_13","tier1","13","5813950","222859","296","1"
"tier1_14","tier1","14","6354647","244031","308","1"
"tier1_15","tier1","15","6945629","267214","320","1"
"tier1_16","tier1","16","7591573","292599","333","1"
"tier1_17","tier1","17","8297589","320396","346","1"
"tier1_18","tier1","18","9069265","350834","360","1"
"tier1_19","tier1","19","9912707","384163","374","1"
"tier1_20","tier1","20","10834588","420658","389","1"
"tier1_21","tier1","21","11842205","460621","405","1"
"tier1_22","tier1","22","12943530","504380","421","1"
"tier1_23","tier1","23","14147279","552296","438","1"
"tier1_24","tier1","24","15462976","604764","455","1"
"tier1_25","tier1","25","16901032","662217","474","1"
"tier1_26","tier1","26","18472828","725127","493","1"
"tier1_27","tier1","27","20190801","794014","512","1"
"tier1_28","tier1","28","22068546","869446","533","1"
"tier1_29","tier1","29","24120921","952043","554","1"
"tier1_30","tier1","30","26364166","1042487","576","1"
"tier1_31","tier1","31","28816034","1141523","600","1"
"tier1_32","tier1","32","31495925","1249968","624","1"
"tier1_33","tier1","33","34425046","1368715","648","1"
"tier1_34","tier1","34","37626575","1498743","674","1"
"tier1_35","tier1","35","41125847","1641124","701","1"
"tier1_36","tier1","36","44950550","1797030","730","1"
"tier1_37","tier1","37","49130951","1967748","759","1"
"tier1_38","tier1","38","53700130","2154684","789","1"
"tier1_39","tier1","39","58694242","2359379","821","1"
"tier1_40","tier1","40","64152807","2583520","854","1"
"tier1_41","tier1","41","70119018","2828955","888","1"
"tier1_42","tier1","42","76640086","3097706","923","1"
"tier1_43","tier1","43","83767614","3391988","960","1"
"tier1_44","tier1","44","91558002","3714227","999","1"
"tier1_45","tier1","45","100072896","4067078","1039","1"
"tier1_46","tier1","46","109379676","4453450","1080","1"
"tier1_47","tier1","47","119551986","4876528","1123","1"
"tier1_48","tier1","48","130670320","5339798","1168","1"
"tier1_49","tier1","49","142822660","5847079","1215","1"
"tier1_50","tier1","50","156105168","6402552","1264","1"
"tier1_51","tier1","51","170622948","7010794","1314","1"
"tier1_52","tier1","52","186490882","7676820","1367","1"
"tier1_53","tier1","53","203834534","8406118","1422","1"
"tier1_54","tier1","54","222791146","9204699","1478","1"
"tier1_55","tier1","55","243510723","10079145","1538","1"
"tier1_56","tier1","56","266157220","11036664","1599","1"
"tier1_57","tier1","57","290909841","12085147","1663","1"
"tier1_58","tier1","58","317964457","13233236","1730","1"
"tier1_59","tier1","59","347535151","14490393","1799","1"
"tier1_60","tier1","60","379855920","15866981","1871","1"
"tier1_61","tier1","61","415182521","17374344","1946","1"
"tier1_62","tier1","62","453794495","19024907","2023","1"
"tier1_63","tier1","63","495997383","20832273","2104","1"
"tier1_64","tier1","64","542125140","22811339","2189","1"
"tier1_65","tier1","65","592542778","24978416","2276","1"
"tier1_66","tier1","66","647649256","27351365","2367","1"
"tier1_67","tier1","67","707880637","29949745","2462","1"
