reward_id,display_name,max_owned,description,workbook_description,quality,enabled
#types:string,string,number,string,string,string,boolean
"star_blessing_001","青萍","90","初始木材+10","初始木材+10","N","1"
"star_blessing_002","浮玉","300","墙生命+500","墙生命+500","N","1"
"star_blessing_003","银朱","300","墙每秒生命+1","墙每秒生命+1","N","1"
"star_blessing_004","墨影","300","箭塔攻击+30","箭塔攻击+30","N","1"
"star_blessing_005","雪沫","300","英雄初始属性+500","英雄初始属性+500","N","1"
"star_blessing_006","素锦","300","墙生命恢复+5","墙生命恢复+5","N","1"
"star_blessing_007","星子","300","墙伤害格挡+5","墙伤害格挡+5","N","1"
"star_blessing_008","寸渊","300","英雄每秒属性+2","英雄每秒属性+2","N","1"
"star_blessing_009","秋毫","80","箭塔每秒攻击+1","箭塔每秒攻击+1","N","1"
"star_blessing_010","逍遥","200","英雄生命加成+0.3%","英雄生命加成+0.3%","N","1"
"star_blessing_011","从容","200","英雄护甲加成+0.3%","英雄护甲加成+0.3%","N","1"
"star_blessing_012","沧浪","90","英雄最终伤害+0.3%","英雄最终伤害+0.3%","N","1"
"star_blessing_013","碧虚","200","英雄每秒属性+4","英雄每秒属性+4","N","1"
"star_blessing_014","澹然","200","英雄攻击速度+1%","英雄攻击速度+1%","N","1"
"star_blessing_015","清晏","200","墙护甲加成+2%","墙护甲+2","N","1"
"star_blessing_016","云汀","30","金矿效率+0.5%","金矿效率+0.5%","N","1"
"star_blessing_017","鲲息","12","每秒木材+1","每秒木材+1","N","1"
"star_blessing_018","负天","13","箭塔攻速+1%","箭塔攻速+1%","N","1"
"star_blessing_019","蓬莱","11","伐木工攻速+1%","伐木工攻速+1%","N","1"
"star_blessing_020","龙骧","11","箭塔每秒攻击+3","箭塔每秒攻击+3","N","1"
"star_blessing_021","定海","120","箭塔攻击加成+0.5%","箭塔攻击加成+0.5%","N","1"
"star_blessing_022","太玄","11","伐木效率+1","伐木效率+1","N","1"
"star_blessing_023","归墟","60","英雄三围加成+0.5%","英雄三围加成+0.5%","N","1"
"star_blessing_024","坤舆","15","英雄攻击减甲+0.5","英雄攻击减甲+0.5","N","1"
"star_blessing_025","霍云","60","箭塔造成伤害攻击+1","英雄造成伤害攻击+1","N","1"
"star_blessing_026","北冥","11","箭塔造成伤害攻击+1","箭塔造成伤害攻击+1","N","1"
