fragment_id,display_name,challenge_building,challenge_order,min_difficulty,max_owned,fragments_per_level,max_level,daily_limit,pass_daily_limit,drop_count,promotion_target,promotion_required_total,promotion_cost,source_boss,source_boss_stats,source_method,enabled
#中文表头:碎片ID,神兵名称,建筑序号,狩猎顺序,解锁难度,持有上限,每级所需碎片,已配置最高等级,每日上限,通行证每日上限,每次掉落,晋升目标,晋升累计门槛,晋升消耗,来源BOSS,参考原始属性,来源晋升说明,启用
#types:string,string,number,number,number,number,number,number,number,number,number,string,number,number,string,string,string,boolean
"fragment_01","神兵-破碎大剑","1","1","5","999","20","10","20","40","1","fragment_05","201","10","sven","血量 2.7亿 / 攻击力 4500002 / 护甲 2998  下边只写数字了","通关后挑战存档BOSS斯文获取对应神兵碎片；每20个神兵碎片提升1级           超过200个激活购买神兵-狂战斧  售价为10个 神兵-破碎大剑","1"
"fragment_02","神兵-始祖之祸","1","2","6","999","20","10","20","40","1","fragment_06","201","10","mars","3.3亿 / 5500002 / 3498","通关后挑战存档BOSS马尔斯获取对应神兵碎片；每20个神兵碎片提升1级           超过200个激活购买神兵-碎颅锤  售价为10个 神兵-始祖之祸","1"
"fragment_03","神兵-焚焰","1","3","7","999","20","10","20","40","1","fragment_07","201","10","doom_bringer","4.5亿 / 7500002 / 1998","通关后挑战存档BOSS末日使者获取对应神兵碎片；每20个神兵碎片提升1级           超过200个激活购买神兵-影刃  售价为10个 神兵-焚焰","1"
"fragment_04","神兵-净魂之刃","1","4","8","999","20","10","20","40","1","fragment_08","201","10","spectre","6.3亿 / 10500002 / 2498","通关后挑战存档BOSS幽鬼获取对应碎片；每20个碎片提升1级           超过200个激活购买神兵-龙爪弯钩  钩售价为10个 神兵-净魂之刃","1"
"fragment_05","神兵-狂战斧","2","1","8","999","20","18","20","40","1","","201","10","faceless_void","12.3亿 / 21000002 / 2498","通关后挑战存档BOSS虚空假面获取对应碎片；每20个碎片提升1级","1"
"fragment_06","神兵-碎颅锤","2","2","9","999","20","18","20","40","1","","201","10","antimage","25.2亿 / 42000000 / 2498","通关后挑战存档BOSS敌法师获取对应碎片；每20个碎片提升1级","1"
"fragment_07","神兵-影刃","2","3","10","999","20","18","20","40","1","","201","10","kunkka","50.4亿 / 84000000 / 2498","通关后挑战存档BOSS昆卡获取对应碎片；每20个碎片提升1级","1"
"fragment_08","神兵-龙爪弯钩","2","4","10","999","20","18","20","40","1","","201","10","pudge","100.8亿 / 1.68亿 / 2498","通关后挑战存档BOSS帕吉获取对应碎片；每20个碎片提升1级","1"
"fragment_09","神兵-纯金之触","3","1","10","999","20","18","20","40","1","","201","10","weaver","3.3亿 / 5500002亿 / 2998","通关后挑战存档BOSS地穴编织者获取对应碎片；每20个碎片提升1级","1"
"fragment_10","神兵-战鬼双刃","3","2","10","999","20","18","20","40","1","","201","10","legion_commander","3.3亿 / 5500002亿 / 2998","通关后挑战存档BOSS军团指挥官获取对应碎片；每20个碎片提升1级","1"
"fragment_11","神兵-魔头之命","3","3","10","999","20","18","20","40","1","","201","10","clinkz","3.3亿 / 5500002亿 / 2998","通关后挑战存档BOSS克林克孜获取对应碎片；每20个碎片提升1级","1"
"fragment_12","神兵-魔导师密钥","3","4","10","999","20","18","20","40","1","","201","10","rubick","3.3亿 / 5500002亿 / 2998","通关后挑战存档BOSS拉比克获取对应碎片；每20个碎片提升1级","1"
