level_id,fragment_id,level,required_total,description,effect_ids,effect_values,enabled
#中文表头:等级ID,碎片ID,等级,所需累计碎片,本级新增效果,词条ID,数值,启用
#types:string,string,number,number,string,list,list,boolean
"fragment_01_lv1","fragment_01","1","20","英雄生命加成+3%","hero_health_bonus_pct","3","1"
"fragment_01_lv2","fragment_01","2","40","英雄护甲加成+3%","hero_armor_bonus_pct","3","1"
"fragment_01_lv3","fragment_01","3","60","英雄初始属性+1000","hero_initial_attributes","1000","1"
"fragment_01_lv4","fragment_01","4","80","英雄每秒属性+3","hero_attributes_per_second","3","1"
"fragment_01_lv5","fragment_01","5","100","英雄攻击加成+3%","hero_attack_bonus_pct","3","1"
"fragment_01_lv6","fragment_01","6","120","英雄三围加成+3%","hero_attribute_bonus_pct","3","1"
"fragment_01_lv7","fragment_01","7","140","英雄伤害减免+1%","hero_damage_reduction_pct","1","1"
"fragment_01_lv8","fragment_01","8","160","英雄最终伤害+1%","hero_final_damage_bonus_pct","1","1"
"fragment_01_lv9","fragment_01","9","180","英雄造成伤害加木材+1","hero_damage_wood_flat","1","1"
"fragment_01_lv10","fragment_01","10","200","英雄造成伤害攻击+1","hero_damage_attack_growth","1","1"
"fragment_02_lv1","fragment_02","1","20","英雄生命加成+4%","hero_health_bonus_pct","4","1"
"fragment_02_lv2","fragment_02","2","40","英雄护甲加成+4%","hero_armor_bonus_pct","4","1"
"fragment_02_lv3","fragment_02","3","60","英雄初始属性+2000","hero_initial_attributes","2000","1"
"fragment_02_lv4","fragment_02","4","80","英雄每秒属性+4","hero_attributes_per_second","4","1"
"fragment_02_lv5","fragment_02","5","100","英雄攻击加成+4%","hero_attack_bonus_pct","4","1"
"fragment_02_lv6","fragment_02","6","120","英雄三围加成+4%","hero_attribute_bonus_pct","4","1"
"fragment_02_lv7","fragment_02","7","140","英雄伤害减免+1%","hero_damage_reduction_pct","1","1"
"fragment_02_lv8","fragment_02","8","160","英雄最终伤害+1%","hero_final_damage_bonus_pct","1","1"
"fragment_02_lv9","fragment_02","9","180","英雄造成伤害加木材+2","hero_damage_wood_flat","2","1"
"fragment_02_lv10","fragment_02","10","200","英雄造成伤害攻击+2","hero_damage_attack_growth","2","1"
"fragment_03_lv1","fragment_03","1","20","英雄生命加成+5%","hero_health_bonus_pct","5","1"
"fragment_03_lv2","fragment_03","2","40","英雄护甲加成+5%","hero_armor_bonus_pct","5","1"
"fragment_03_lv3","fragment_03","3","60","英雄初始属性+3000","hero_initial_attributes","3000","1"
"fragment_03_lv4","fragment_03","4","80","英雄每秒属性+5","hero_attributes_per_second","5","1"
"fragment_03_lv5","fragment_03","5","100","英雄攻击加成+5%","hero_attack_bonus_pct","5","1"
"fragment_03_lv6","fragment_03","6","120","英雄三围加成+5%","hero_attribute_bonus_pct","5","1"
"fragment_03_lv7","fragment_03","7","140","英雄伤害减免+5%","hero_damage_reduction_pct","5","1"
"fragment_03_lv8","fragment_03","8","160","英雄最终伤害+5%","hero_final_damage_bonus_pct","5","1"
"fragment_03_lv9","fragment_03","9","180","英雄造成伤害加木材+3","hero_damage_wood_flat","3","1"
"fragment_03_lv10","fragment_03","10","200","英雄造成伤害攻击+3","hero_damage_attack_growth","3","1"
"fragment_04_lv1","fragment_04","1","20","英雄生命加成+7%","hero_health_bonus_pct","7","1"
"fragment_04_lv2","fragment_04","2","40","英雄护甲加成+7%","hero_armor_bonus_pct","7","1"
"fragment_04_lv3","fragment_04","3","60","英雄初始属性+5000","hero_initial_attributes","5000","1"
"fragment_04_lv4","fragment_04","4","80","英雄每秒属性+6","hero_attributes_per_second","6","1"
"fragment_04_lv5","fragment_04","5","100","英雄攻击加成+7%","hero_attack_bonus_pct","7","1"
"fragment_04_lv6","fragment_04","6","120","英雄三围加成+7%","hero_attribute_bonus_pct","7","1"
"fragment_04_lv7","fragment_04","7","140","英雄伤害减免+2%","hero_damage_reduction_pct","2","1"
"fragment_04_lv8","fragment_04","8","160","英雄最终伤害+2%","hero_final_damage_bonus_pct","2","1"
"fragment_04_lv9","fragment_04","9","180","英雄造成伤害加木材+4","hero_damage_wood_flat","4","1"
"fragment_04_lv10","fragment_04","10","200","英雄造成伤害攻击+4","hero_damage_attack_growth","4","1"
"fragment_05_lv1","fragment_05","1","20","英雄生命加成+8%","hero_health_bonus_pct","8","1"
"fragment_05_lv2","fragment_05","2","40","英雄护甲加成+8%","hero_armor_bonus_pct","8","1"
"fragment_05_lv3","fragment_05","3","60","英雄初始属性+10000","hero_initial_attributes","10000","1"
"fragment_05_lv4","fragment_05","4","80","英雄每秒属性+16","hero_attributes_per_second","16","1"
"fragment_05_lv5","fragment_05","5","100","英雄攻击加成+8%","hero_attack_bonus_pct","8","1"
"fragment_05_lv6","fragment_05","6","120","英雄三围加成+8%","hero_attribute_bonus_pct","8","1"
