category_id,item_id,tone,color,tint_icon,portrait_x,portrait_y,portrait_width,note
points,lottery_attribute_crystal,neutral,#aebbc1,0,,,,配置品质 N
friend,friend_01,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_01,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
points,lottery_protection_crystal,neutral,#aebbc1,0,,,,配置品质 N
points,lottery_nature_crystal,neutral,#aebbc1,0,,,,配置品质 N
friend,friend_02,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_03,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_02,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_03,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
points,lottery_bombardment_crystal,neutral,#aebbc1,0,,,,配置品质 N
points,lottery_recovery_crystal,neutral,#aebbc1,0,,,,配置品质 N
points,lottery_resistance_crystal,neutral,#aebbc1,0,,,,配置品质 N
points,lottery_expansion_crystal,neutral,#aebbc1,0,,,,配置品质 N
points,lottery_shooting_crystal,neutral,#aebbc1,0,,,,配置品质 N
friend,friend_04,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_05,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_06,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_07,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_04,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_05,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_06,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_07,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
points,lottery_wealth_crystal,neutral,#aebbc1,0,,,,配置品质 N
points,lottery_lumber_crystal,neutral,#aebbc1,0,,,,配置品质 N
points,lottery_recovery_spirit,neutral,#aebbc1,0,,,,配置品质 N
points,lottery_life_spirit,green,#76be91,0,,,,配置品质 R
friend,friend_08,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_09,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_10,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_11,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_12,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_08,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_09,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_10,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_11,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_12,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
points,lottery_nature_spirit,green,#76be91,0,,,,配置品质 R
points,lottery_sharp_spirit,green,#76be91,0,,,,配置品质 R
points,lottery_divine_spirit,green,#76be91,0,,,,配置品质 R
points,lottery_universal_tool,blue,#79adf0,0,,,,配置品质 SR
points,lottery_gale_bow,blue,#79adf0,0,,,,配置品质 SR
points,lottery_swift_emblem,blue,#79adf0,0,,,,配置品质 SR
points,lottery_quick_dry_cement,blue,#79adf0,0,,,,配置品质 SR
points,lottery_windspeed_bowstring,blue,#79adf0,0,,,,配置品质 SR
points,lottery_hippogryph_onslaught,violet,#b68ae2,0,,,,配置品质 SSR
friend,friend_13,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_14,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_15,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_16,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_17,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_18,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_19,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_20,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_13,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_14,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_15,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_16,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_17,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_18,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_19,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_20,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
points,lottery_soul_devouring_blade,violet,#b68ae2,0,,,,配置品质 SSR
points,lottery_tower_retrofit,violet,#b68ae2,0,,,,配置品质 SSR
points,lottery_steel_wall,violet,#b68ae2,0,,,,配置品质 SSR
points,lottery_gathering_grimoire,violet,#b68ae2,0,,,,配置品质 SSR
points,lottery_gathering_divine_codex,violet,#b68ae2,0,,,,配置品质 SSR
points,lottery_aaron_cannon,violet,#b68ae2,0,,,,配置品质 SSR
friend,friend_21,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_22,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_23,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_24,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_25,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_26,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
friend,friend_27,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_21,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_22,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_23,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_24,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_25,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_26,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
ex,ex_27,,,0,,,,独立透明大头图；完整等比显示，不使用旧全身图裁剪
points,lottery_darksteel_wall,violet,#b68ae2,0,,,,配置品质 SSR
points,lottery_lumber_legacy,violet,#b68ae2,0,,,,配置品质 SSR
points,lottery_titan_shield,violet,#b68ae2,0,,,,配置品质 SSR
points,lottery_reincarnation_orb,gold,#e5b758,0,,,,配置品质 UR
points,lottery_time_orb,gold,#e5b758,0,,,,配置品质 UR
points,lottery_divine_tower_blessing,gold,#e5b758,0,,,,配置品质 UR
points,lottery_abundance_blessing,gold,#e5b758,0,,,,配置品质 UR
points,lottery_omniscience_blessing,gold,#e5b758,0,,,,配置品质 UR
points,lottery_unbreakable_fortress,gold,#e5b758,0,,,,配置品质 UR
