icon_id,category_id,item_id,display_name,source_table,source_key,icon_path,display_width,display_height,enabled,art_status
archive_shadow_01_v1,shadow,shadow_01,幻象树枝,archive_shadow_items.csv,item_id,custom_game/archive_items_v1/shadow_01_v1.png,93,74,1,approved
archive_shadow_02_v1,shadow,shadow_02,贪婪金币,archive_shadow_items.csv,item_id,custom_game/archive_items_v1/shadow_02_v1.png,93,74,1,approved
archive_shadow_03_v1,shadow,shadow_03,虚无模块,archive_shadow_items.csv,item_id,custom_game/archive_items_v1/shadow_03_v1.png,93,74,1,approved
archive_shadow_04_v1,shadow,shadow_04,粘稠之泥,archive_shadow_items.csv,item_id,custom_game/archive_items_v1/shadow_04_v1.png,93,74,1,approved
archive_lottery_attribute_crystal_v2,points,lottery_attribute_crystal,属性结晶,../抽奖系统/lottery_item_definitions.csv,item_id,custom_game/archive_items_v2/lottery_attribute_crystal.png,93,74,1,generated_review
archive_fragment_01_v2,fragment,fragment_01,神兵-破碎大剑,../存档系统/archive_fragment_definitions.csv,fragment_id,custom_game/archive_items_v2/fragment_01.png,93,74,1,generated_review
archive_cage_01_v2,pet,cage_01,黑龙之牙,../存档系统/archive_cage_items.csv,item_id,custom_game/archive_items_v2/cage_01.png,93,74,1,generated_review
archive_friend_01_v2,friend,friend_01,哆啦A梦,../存档系统/archive_social_items.csv,item_id,custom_game/archive_heads_v2/friend_01.png,93,74,1,generated_head_only_v2
archive_ex_01_v2,ex,ex_01,胡桃,../存档系统/archive_social_items.csv,item_id,custom_game/archive_heads_v2/ex_01.png,93,74,1,generated_head_only_v2
archive_beast_01_v2,beast,beast_01,散魂钟,../存档系统/archive_social_items.csv,item_id,custom_game/archive_items_v2/beast_01.png,93,74,1,generated_review
archive_star_blessing_001_v2,fishing,star_blessing_001,青萍,../存档系统/archive_fishing_items.csv,reward_id,custom_game/archive_items_v2/star_blessing_001.png,93,74,1,generated_review
archive_building_01_v2,building,building_01,玲珑心,../存档系统/archive_building_items.csv,item_id,custom_game/archive_items_v2/building_01.png,93,74,1,generated_review
archive_shop_weapon_growth_sword_01_v2,shop,shop_weapon_growth_sword_01,成长之剑,../商店系统/shop_entries.csv,shop_entry_id,custom_game/archive_items_v2/shop_weapon_growth_sword_01.png,93,74,1,generated_review
archive_lottery_protection_crystal_v2,points,lottery_protection_crystal,防护结晶,../抽奖系统/lottery_item_definitions.csv,item_id,custom_game/archive_items_v2/lottery_protection_crystal.png,93,74,1,generated_review
archive_lottery_nature_crystal_v2,points,lottery_nature_crystal,自然结晶,../抽奖系统/lottery_item_definitions.csv,item_id,custom_game/archive_items_v2/lottery_nature_crystal.png,93,74,1,generated_review
archive_fragment_02_v2,fragment,fragment_02,神兵-始祖之祸,../存档系统/archive_fragment_definitions.csv,fragment_id,custom_game/archive_items_v2/fragment_02.png,93,74,1,generated_review
archive_fragment_03_v2,fragment,fragment_03,神兵-焚焰,../存档系统/archive_fragment_definitions.csv,fragment_id,custom_game/archive_items_v2/fragment_03.png,93,74,1,generated_review
archive_cage_02_v2,pet,cage_02,黑龙之爪,../存档系统/archive_cage_items.csv,item_id,custom_game/archive_items_v2/cage_02.png,93,74,1,generated_review
archive_cage_03_v2,pet,cage_03,暮光沙漏,../存档系统/archive_cage_items.csv,item_id,custom_game/archive_items_v2/cage_03.png,93,74,1,generated_review
archive_friend_02_v2,friend,friend_02,孙悟空,../存档系统/archive_social_items.csv,item_id,custom_game/archive_heads_v2/friend_02.png,93,74,1,generated_head_only_v2
archive_friend_03_v2,friend,friend_03,路飞,../存档系统/archive_social_items.csv,item_id,custom_game/archive_heads_v2/friend_03.png,93,74,1,generated_head_only_v2
archive_ex_02_v2,ex,ex_02,雷电将军,../存档系统/archive_social_items.csv,item_id,custom_game/archive_heads_v2/ex_02.png,93,74,1,generated_head_only_v2
archive_ex_03_v2,ex,ex_03,刻晴,../存档系统/archive_social_items.csv,item_id,custom_game/archive_heads_v2/ex_03.png,93,74,1,generated_head_only_v2
archive_beast_02_v2,beast,beast_02,落宝金钱,../存档系统/archive_social_items.csv,item_id,custom_game/archive_items_v2/beast_02.png,93,74,1,generated_review
archive_beast_03_v2,beast,beast_03,玄水瓶,../存档系统/archive_social_items.csv,item_id,custom_game/archive_items_v2/beast_03.png,93,74,1,generated_review
archive_star_blessing_002_v2,fishing,star_blessing_002,浮玉,../存档系统/archive_fishing_items.csv,reward_id,custom_game/archive_items_v2/star_blessing_002.png,93,74,1,generated_review
archive_star_blessing_003_v2,fishing,star_blessing_003,银朱,../存档系统/archive_fishing_items.csv,reward_id,custom_game/archive_items_v2/star_blessing_003.png,93,74,1,generated_review
archive_building_02_v2,building,building_02,圣剑,../存档系统/archive_building_items.csv,item_id,custom_game/archive_items_v2/building_02.png,93,74,1,generated_review
archive_building_03_v2,building,building_03,赤红甲,../存档系统/archive_building_items.csv,item_id,custom_game/archive_items_v2/building_03.png,93,74,1,generated_review
archive_shop_item_forging_hammer_v2,shop,shop_item_forging_hammer,锻造之锤,../商店系统/shop_entries.csv,shop_entry_id,custom_game/archive_items_v2/shop_item_forging_hammer.png,93,74,1,generated_review
archive_shop_equipment_attack_gloves_01_v2,shop,shop_equipment_attack_gloves_01,加速手套LV1,../商店系统/shop_entries.csv,shop_entry_id,custom_game/archive_items_v2/shop_equipment_attack_gloves_01.png,93,74,1,generated_review
archive_lottery_bombardment_crystal_v2,points,lottery_bombardment_crystal,炮击结晶,../抽奖系统/lottery_item_definitions.csv,item_id,custom_game/archive_items_v2/lottery_bombardment_crystal.png,93,74,1,generated_review
archive_lottery_recovery_crystal_v2,points,lottery_recovery_crystal,回复结晶,../抽奖系统/lottery_item_definitions.csv,item_id,custom_game/archive_items_v2/lottery_recovery_crystal.png,93,74,1,generated_review
archive_lottery_resistance_crystal_v2,points,lottery_resistance_crystal,抵抗结晶,../抽奖系统/lottery_item_definitions.csv,item_id,custom_game/archive_items_v2/lottery_resistance_crystal.png,93,74,1,generated_review
archive_lottery_expansion_crystal_v2,points,lottery_expansion_crystal,膨胀结晶,../抽奖系统/lottery_item_definitions.csv,item_id,custom_game/archive_items_v2/lottery_expansion_crystal.png,93,74,1,generated_review
archive_lottery_shooting_crystal_v2,points,lottery_shooting_crystal,射击结晶,../抽奖系统/lottery_item_definitions.csv,item_id,custom_game/archive_items_v2/lottery_shooting_crystal.png,93,74,1,generated_review
archive_fragment_04_v2,fragment,fragment_04,神兵-净魂之刃,../存档系统/archive_fragment_definitions.csv,fragment_id,custom_game/archive_items_v2/fragment_04.png,93,74,1,generated_review
archive_fragment_05_v2,fragment,fragment_05,神兵-狂战斧,../存档系统/archive_fragment_definitions.csv,fragment_id,custom_game/archive_items_v2/fragment_05.png,93,74,1,generated_review
archive_fragment_06_v2,fragment,fragment_06,神兵-碎颅锤,../存档系统/archive_fragment_definitions.csv,fragment_id,custom_game/archive_items_v2/fragment_06.png,93,74,1,generated_review
archive_fragment_07_v2,fragment,fragment_07,神兵-影刃,../存档系统/archive_fragment_definitions.csv,fragment_id,custom_game/archive_items_v2/fragment_07.png,93,74,1,generated_review
archive_cage_04_v2,pet,cage_04,源质胸甲,../存档系统/archive_cage_items.csv,item_id,custom_game/archive_items_v2/cage_04.png,93,74,1,generated_review
archive_cage_05_v2,pet,cage_05,熔岩之血,../存档系统/archive_cage_items.csv,item_id,custom_game/archive_items_v2/cage_05.png,93,74,1,generated_review
archive_cage_06_v2,pet,cage_06,灭世咆哮,../存档系统/archive_cage_items.csv,item_id,custom_game/archive_items_v2/cage_06.png,93,74,1,generated_review
archive_cage_07_v2,pet,cage_07,源质碎片,../存档系统/archive_cage_items.csv,item_id,custom_game/archive_items_v2/cage_07.png,93,74,1,generated_review
archive_friend_04_v2,friend,friend_04,漩涡鸣人,../存档系统/archive_social_items.csv,item_id,custom_game/archive_heads_v2/friend_04.png,93,74,1,generated_head_only_v2
archive_friend_05_v2,friend,friend_05,江户川柯南,../存档系统/archive_social_items.csv,item_id,custom_game/archive_heads_v2/friend_05.png,93,74,1,generated_head_only_v2
archive_friend_06_v2,friend,friend_06,樱木花道,../存档系统/archive_social_items.csv,item_id,custom_game/archive_heads_v2/friend_06.png,93,74,1,generated_head_only_v2
