level_id,level,display_name,required_seconds,description,effect_ids,effect_values,enabled
#types:string,number,string,number,string,list,list,boolean
"map_01","1","地图等级1","3600","地图等级每提升1级提升属性；墙初始生命+100，每秒回血+5","map_level","1","1"
"map_02","2","地图等级2","7200","木材+10","initial_wood|map_level","10|1","1"
"map_03","3","地图等级3","21600","木材+10","initial_wood|map_level","10|1","1"
"map_04","4","地图等级4","43200","木材+20","initial_wood|map_level","20|1","1"
"map_05","5","地图等级5","72000","木材+20；人口+1","initial_wood|initial_population_cap|map_level","20|1|1","1"
"map_06","6","地图等级6","108000","木材+30 金币+10","initial_wood|initial_gold|map_level","30|10|1","1"
"map_07","7","地图等级7","151200","木材+30；伐木效率+1","initial_wood|lumberjack_attack_efficiency|map_level","30|1|1","1"
"map_08","8","地图等级8","201600","木材+50；墙护甲加成+2%","initial_wood|wall_armor_bonus_pct|map_level","50|2|1","1"
"map_09","9","地图等级9","259200","木材+100；金币+20","initial_wood|initial_gold|map_level","100|20|1","1"
"map_10","10","地图等级10","324000","伐木效率+1；人口+1","lumberjack_attack_efficiency|initial_population_cap|map_level","1|1|1","1"
"map_11","11","地图等级11","396000","木材+100；金币+20","initial_wood|initial_gold|map_level","100|20|1","1"
"map_12","12","地图等级12","475200","木材+100；伐木效率+1","initial_wood|lumberjack_attack_efficiency|map_level","100|1|1","1"
"map_13","13","地图等级13","561600","木材+100；墙生命加成+2%","initial_wood|wall_health_bonus_pct|map_level","100|2|1","1"
"map_14","14","地图等级14","655200","木材+200；金币+30","initial_wood|initial_gold|map_level","200|30|1","1"
"map_15","15","地图等级15","756000","木材+300；金币+40","initial_wood|initial_gold|map_level","300|40|1","1"
"map_16","16","地图等级16","864000","每秒木材+3","wood_per_second|map_level","3|1","1"
"map_17","17","地图等级17","979200","墙每秒护甲+0.05","wall_armor_per_second|map_level","0.05|1","1"
"map_18","18","地图等级18","1101600","墙生命加成+5%","wall_health_bonus_pct|map_level","5|1","1"
"map_19","19","地图等级19","1231200","墙护甲加成+5%","wall_armor_bonus_pct|map_level","5|1","1"
"map_20","20","地图等级20","1368000","人口+1  伐木效率+1","initial_population_cap|lumberjack_attack_efficiency|map_level","1|1|1","1"
"map_21","21","地图等级21","1512000","木材+1000 金币+50","initial_wood|initial_gold|map_level","1000|50|1","1"
"map_22","22","地图等级22","1663200","人口+1 伐木效率+1","initial_population_cap|lumberjack_attack_efficiency|map_level","1|1|1","1"
"map_23","23","地图等级23","1821600","人口+1  伐木效率+1","initial_population_cap|lumberjack_attack_efficiency|map_level","1|1|1","1"
"map_24","24","地图等级24","1987200","英雄最终伤害+5%","hero_final_damage_bonus_pct|map_level","5|1","1"
"map_25","25","地图等级25","2160000","英雄全属性加成+5%","hero_attribute_bonus_pct|map_level","5|1","1"
"map_26","26","地图等级26","2340000","英雄攻击减甲+5","hero_attack_armor_reduction|map_level","5|1","1"
"map_27","27","地图等级27","2527200","英雄攻击全属性+5","hero_attribute_growth|map_level","5|1","1"
"map_28","28","地图等级28","2721600","英雄造成伤害加攻击+10","hero_damage_attack_growth|map_level","10|1","1"
"map_29","29","地图等级29","2923200","英雄攻击全属性+10","hero_attribute_growth|map_level","10|1","1"
"map_30","30","地图等级30","3132000","英雄最终伤害+10%","hero_final_damage_bonus_pct|map_level","10|1","1"
"map_31","31","地图等级31","3348000","英雄全属性加成+10%","hero_attribute_bonus_pct|map_level","10|1","1"
"map_32","32","地图等级32","3571200","英雄攻击减甲+15","hero_attack_armor_reduction|map_level","15|1","1"
"map_33","33","地图等级33","3801600","英雄攻击全属性+15","hero_attribute_growth|map_level","15|1","1"
"map_34","34","地图等级34","4003200","英雄最终伤害+15%","hero_final_damage_bonus_pct|map_level","15|1","1"
