item_id,display_name,quality,max_owned,description,effect_ids,effect_values,icon_style,enabled,source_row,source_boss_difficulty
#中文表头:道具ID,名称,品质,持有上限,单件效果,词条ID数组,数值数组,自制图标样式,启用,来源行,参考表原BOSS难度
#types:string,string,string,number,string,list,list,string,boolean,number,string
"shadow_01","幻象树枝","white","430","木材+10","initial_wood","10","shard","1","5","n1"
"shadow_02","贪婪金币","white","430","金币+1","initial_gold","1","shard","1","6","n1"
"shadow_03","虚无模块","white","430","墙生命+100","wall_initial_health","100","shard","1","7","n1"
"shadow_04","粘稠之泥","white","430","墙每秒生命+1","wall_health_per_second","1","shard","1","8","n1"
"shadow_05","虚空箭头","white","430","箭塔攻击+50","tower_attack_flat","50","shard","1","9","n1"
"shadow_06","阴暗附着","blue","440","英雄初始属性+30","hero_initial_attributes","30","shard","1","10","n2"
"shadow_07","阴影碎布","blue","440","英雄生命加成+0.5%","hero_health_bonus_pct","0.5","shard","1","11","n2"
"shadow_08","空明碎甲","blue","440","英雄护甲加成+0.5%","hero_armor_bonus_pct","0.5","shard","1","12","n2"
"shadow_09","虚空护罩","blue","440","墙伤害格挡+30","wall_damage_block","30","shard","1","13","n2"
"shadow_10","大虚之锤","blue","440","墙每秒生命+2","wall_health_per_second","2","shard","1","14","n2"
"shadow_11","虚无之盾","blue","440","墙护甲加成+0.5%","wall_armor_bonus_pct","0.5","shard","1","15","n2"
"shadow_12","坚韧甲壳","purple","450","墙护甲+0.5","wall_armor","0.5","shard","1","16","n3"
"shadow_13","动力齿轮","purple","450","箭塔攻速+0.5%","tower_attack_speed_bonus_pct","0.5","shard","1","17","n3"
"shadow_14","无形之斧","purple","450","每秒木材+1","wood_per_second","1","shard","1","18","n3"
"shadow_15","弹匣之弦","purple","225","箭塔攻击加成+0.5%","tower_attack_bonus_pct","0.5","shard","1","19","n3"
"shadow_16","魔魇之能","purple","180","伐木工攻速+0.2","lumberjack_attack_speed_bonus_pct","0.2","shard","1","20","n3"
"shadow_17","相位之力","purple","180","墙减伤+0.5%","wall_damage_reduction_pct","0.5","shard","1","21","n3"
"shadow_18","虚空炼金","green","430","金矿效率+0.5%","gold_mine_efficiency_pct","0.5","shard","1","22","n4"
"shadow_19","腐蚀魔能","green","300","英雄攻击减甲+0.2","hero_attack_armor_reduction","0.2","shard","1","23","n4"
"shadow_20","膨胀药剂","green","430","英雄三维加成+0.3%","hero_attribute_bonus_pct","0.3","shard","1","24","n4"
"shadow_21","梦魔狂飙","green","430","英雄攻击加成+0.3%","hero_attack_bonus_pct","0.3","shard","1","25","n4"
"shadow_22","虚无之锋","green","430","英雄最终伤害+0.3%","hero_final_damage_bonus_pct","0.3","shard","1","26","n4"
"shadow_23","虚无之眼","green","430","箭塔攻击加成+0.3%","tower_attack_bonus_pct","0.3","shard","1","27","n4"
