item_id,pool_id,display_name,max_owned,quality,description,effect_ids,effect_values,enabled
#types:string,string,string,number,string,string,list,list,boolean
"friend_01","friend","哆啦A梦","65","N","初始金币+100","initial_gold","100","1"
"friend_02","friend","孙悟空","65","N","初始木材+100","initial_wood","100","1"
"friend_03","friend","路飞","30","N","每秒金币+2","gold_per_second","2","1"
"friend_04","friend","漩涡鸣人","30","N","每秒木材+2","wood_per_second","2","1"
"friend_05","friend","江户川柯南","65","N","英雄每秒属性+80","hero_attributes_per_second","80","1"
"friend_06","friend","樱木花道","7","N","英雄初始属性+5000","hero_initial_attributes","5000","1"
"friend_07","friend","宇智波佐助","7","N","箭塔攻击+1000","tower_attack_flat","1000","1"
"friend_08","friend","贝吉塔","7","N","墙生命+10000","wall_initial_health","10000","1"
"friend_09","friend","流川枫","7","N","墙每秒回血+500","wall_health_regen_per_second","500","1"
"friend_10","friend","旗木卡卡西","7","N","墙每秒生命+30","wall_health_per_second","30","1"
"friend_11","friend","利威尔","7","N","墙护甲+40","wall_armor","40","1"
"friend_12","friend","艾伦·耶格尔","7","N","伐木工攻速+20%","lumberjack_attack_speed_bonus_pct","20","1"
"friend_13","friend","黑崎一护","7","N","英雄最终伤害+2%","hero_final_damage_bonus_pct","2","1"
"friend_14","friend","灶门炭治郎","7","N","英雄全属性加成+2%","hero_attribute_bonus_pct","2","1"
"friend_15","friend","五条悟","7","N","伐木效率+2","lumberjack_attack_efficiency","2","1"
"friend_16","friend","坂田银时","7","N","箭塔每秒攻击+30","tower_attack_per_second","30","1"
"friend_17","friend","犬夜叉","7","N","箭塔攻击减甲+0.08","tower_attack_armor_reduction","0.08","1"
"friend_18","friend","宇智波鼬","7","N","箭塔造成伤害攻击+5","tower_damage_attack_growth","5","1"
"friend_19","friend","埼玉","7","N","箭塔暴击几率+2%","tower_critical_chance_pct","2","1"
"friend_20","friend","鲁路修","7","N","箭塔攻击加成+2%","tower_attack_bonus_pct","2","1"
"friend_21","friend","夜神月","7","N","英雄造成伤害攻击+2","hero_damage_attack_growth","2","1"
"friend_22","friend","爱德华","7","N","英雄造成伤害加属性+2","hero_attributes_per_damage","2","1"
"friend_23","friend","自来也","7","N","金矿效率+3%","gold_mine_efficiency_pct","3","1"
"friend_24","friend","桐谷和人","7","N","墙每秒护甲+0.04","wall_armor_per_second","0.04","1"
"friend_25","friend","萧炎","7","N","墙生命加成+4%","wall_health_bonus_pct","4","1"
"friend_26","friend","唐三","7","N","墙护甲加成+4%","wall_armor_bonus_pct","4","1"
"friend_27","friend","石昊","7","N","英雄三围加成+3%","hero_attribute_bonus_pct","3","1"
"friend_28","friend","叶凡","7","N","英雄最终伤害+3%","hero_final_damage_bonus_pct","3","1"
"friend_29","friend","韩立","7","N","英雄攻击减甲+4","hero_attack_armor_reduction","4","1"
"friend_30","friend","叶修","7","N","箭塔最终伤害+3%","tower_final_damage_bonus_pct","3","1"
"friend_31","friend","王林","7","N","金矿最终产量+15","gold_mine_final_output_flat","15","1"
"friend_32","friend","张小凡","7","N","英雄攻击加成+5%","hero_attack_bonus_pct","5","1"
"friend_33","friend","范闲","7","N","伐木工攻击成长+10","lumberjack_attack_growth","10","1"
"friend_34","friend","许七安","7","N","墙减伤+1%","wall_damage_reduction_pct","1","1"
"friend_35","friend","秦羽","7","N","伐木效率+8","lumberjack_attack_efficiency","8","1"
"friend_36","friend","徐凤年","7","N","箭塔每秒攻击+100","tower_attack_per_second","100","1"
"friend_37","friend","牧尘","7","N","箭塔暴击伤害+25%","tower_critical_damage_bonus_pct","25","1"
"friend_38","friend","老天师","2","N","英雄全属性+20%","hero_attribute_bonus_pct","20","1"
"friend_39","friend","唐三","2","N","人口+3","initial_population_cap","3","1"
"friend_40","friend","袁天罡","2","N","英雄最终伤害+20%","hero_final_damage_bonus_pct","20","1"
"ex_01","ex","胡桃","60","N","初始金币+50","initial_gold","50","1"
"ex_02","ex","雷电将军","60","N","初始木材+50","initial_wood","50","1"
"ex_03","ex","刻晴","25","N","每秒金币+1","gold_per_second","1","1"
"ex_04","ex","芙宁娜","25","N","每秒木材+1","wood_per_second","1","1"
"ex_05","ex","神里绫华","60","N","英雄每秒属性+50","hero_attributes_per_second","50","1"
"ex_06","ex","2B","6","N","英雄初始属性+2500","hero_initial_attributes","2500","1"
"ex_07","ex","春田","6","N","箭塔攻击+500","tower_attack_flat","500","1"
"ex_08","ex","雏田","6","N","墙生命+5000","wall_initial_health","5000","1"
"ex_09","ex","纲手","6","N","墙每秒回血+300","wall_health_regen_per_second","300","1"
"ex_10","ex","蒂法","6","N","墙每秒生命+15","wall_health_per_second","15","1"
"ex_11","ex","姬如雪","6","N","墙护甲+30","wall_armor","30","1"
"ex_12","ex","爱蜜莉雅","6","N","伐木工攻速+2%","lumberjack_attack_speed_bonus_pct","2","1"
"ex_13","ex","雪乃","6","N","英雄最终伤害+1%","hero_final_damage_bonus_pct","1","1"
"ex_14","ex","罗宾","6","N","英雄全属性加成+1%","hero_attribute_bonus_pct","1","1"
"ex_15","ex","薇尔莉特","6","N","伐木效率+1","lumberjack_attack_efficiency","1","1"
"ex_16","ex","爱莉希雅","6","N","箭塔每秒攻击+15","tower_attack_per_second","15","1"
"ex_17","ex","符华","6","N","箭塔攻击减甲+0.05","tower_attack_armor_reduction","0.05","1"
"ex_18","ex","琪亚娜","6","N","箭塔造成伤害攻击+2","tower_damage_attack_growth","2","1"
"ex_19","ex","银狼","6","N","箭塔暴击几率+1%","tower_critical_chance_pct","1","1"
"ex_20","ex","镜流","6","N","箭塔攻击加成+1%","tower_attack_bonus_pct","1","1"
"ex_21","ex","祢豆子","6","N","英雄造成伤害攻击+2","hero_damage_attack_growth","2","1"
"ex_22","ex","绫波丽","6","N","英雄造成伤害属性+1","hero_attributes_per_damage","1","1"
"ex_23","ex","明日香","6","N","金矿效率+2%","gold_mine_efficiency_pct","2","1"
"ex_24","ex","三笠","6","N","墙每秒护甲+0.03","wall_armor_per_second","0.03","1"
"ex_25","ex","蕾姆","6","N","墙生命加成+3%","wall_health_bonus_pct","3","1"
"ex_26","ex","蝴蝶忍","6","N","墙护甲加成+3%","wall_armor_bonus_pct","3","1"
"ex_27","ex","祈","6","N","英雄三围加成+2%","hero_attribute_bonus_pct","2","1"
"ex_28","ex","云韵","6","N","英雄最终伤害+2%","hero_final_damage_bonus_pct","2","1"
"ex_29","ex","火灵儿","6","N","英雄攻击减甲+2","hero_attack_armor_reduction","2","1"
"ex_30","ex","宁荣荣","6","N","箭塔最终伤害+2%","tower_final_damage_bonus_pct","2","1"
"ex_31","ex","美杜莎女王","6","N","金矿最终产量+10","gold_mine_final_output_flat","10","1"
"ex_32","ex","涂山雅雅","6","N","英雄攻击加成+4%","hero_attack_bonus_pct","4","1"
"ex_33","ex","贞德","6","N","伐木工攻击成长+5","lumberjack_attack_growth","5","1"
"ex_34","ex","阿尔托莉雅","6","N","墙减伤+1%","wall_damage_reduction_pct","1","1"
"ex_35","ex","玛修","6","N","伐木效率+5","lumberjack_attack_efficiency","5","1"
"ex_36","ex","德克萨斯","6","N","箭塔每秒攻击+50","tower_attack_per_second","50","1"
"ex_37","ex","阿米娅","6","N","箭塔暴击伤害+20%","tower_critical_damage_bonus_pct","20","1"
"ex_38","ex","时崎狂三","1","N","英雄全属性+15%","hero_attribute_bonus_pct","15","1"
"ex_39","ex","宝儿姐","1","N","英雄最终伤害+15%","hero_final_damage_bonus_pct","15","1"
"ex_40","ex","小舞","1","N","人口+3","initial_population_cap","3","1"
"beast_01","beast","散魂钟","50","N","初始金币+10","initial_gold","10","1"
"beast_02","beast","落宝金钱","50","N","初始木材+10","initial_wood","10","1"
"beast_03","beast","玄水瓶","20","N","每秒金币+1","gold_per_second","1","1"
"beast_04","beast","定风珠","20","N","每秒木材+1","wood_per_second","1","1"
"beast_05","beast","缚龙索","50","N","英雄每秒属性+20","hero_attributes_per_second","20","1"
"beast_06","beast","神火罩","5","N","英雄初始属性+500","hero_initial_attributes","500","1"
"beast_07","beast","琉璃瓶","5","N","箭塔攻击+100","tower_attack_flat","100","1"
"beast_08","beast","风雷翅","5","N","墙生命+500","wall_initial_health","500","1"
"beast_09","beast","金蛟剪","5","N","墙每秒回血+20","wall_health_regen_per_second","20","1"
"beast_10","beast","乾坤图","5","N","墙每秒生命+3","wall_health_per_second","3","1"
"beast_11","beast","杏黄旗","5","N","墙护甲+5","wall_armor","5","1"
"beast_12","beast","焰光旗","5","N","伐木工攻速+2%","lumberjack_attack_speed_bonus_pct","2","1"
"beast_13","beast","云界旗","5","N","英雄生命加成+5%","hero_health_bonus_pct","5","1"
