item_id,display_name,cost,max_level,description,effect_ids,effect_values,enabled
#types:string,string,number,number,string,list,list,boolean
"work_01","老板凝视","600","1","伐木工攻速+2%","lumberjack_attack_speed_bonus_pct","2","1"
"work_02","996lv1","800","1","箭塔攻击+100","tower_attack_flat","100","1"
"work_03","继续努力","1000","1","英雄攻速+2%","hero_attack_speed_bonus_pct","2","1"
"work_04","不要猝死","1200","1","墙生命+1000","wall_initial_health","1000","1"
"work_05","老板买车","1400","1","墙护甲+5","wall_armor","5","1"
"work_06","带薪拉屎","1600","1","金矿收益+1%","gold_mine_efficiency_pct","1","1"
"work_07","今晚加班","1800","1","墙每秒生命+5","wall_health_per_second","5","1"
"work_08","拼好饭","2000","1","金矿收益+1%","gold_mine_efficiency_pct","1","1"
"work_09","脂肪肝","2500","1","英雄生命加成+2%","hero_health_bonus_pct","2","1"
"work_10","胃结石","3000","1","英雄护甲加成+2%","hero_armor_bonus_pct","2","1"
"work_11","高血压","3500","1","英雄攻击间隔-0.02","hero_attack_interval_reduction","0.02","1"
"work_12","鸡汤","4000","1","练功房收益+5%","training_room_income_bonus_pct","5","1"
"work_13","画饼","4500","1","箭塔攻速+2%","tower_attack_speed_bonus_pct","2","1"
"work_14","摸鱼","5000","1","每秒木材+1","wood_per_second","1","1"
"work_15","咖啡","5500","1","英雄造成伤害+1","hero_damage_bonus_flat","1","1"
"work_16","健身房","6000","1","英雄每秒全属性+2","hero_attributes_per_second","2","1"
"work_17","内卷","7000","1","伐木效率+1","lumberjack_attack_efficiency","1","1"
"work_18","老板凝视","8000","1","伐木工攻速+5%","lumberjack_attack_speed_bonus_pct","5","1"
"work_19","996lv2","9000","1","箭塔攻击+1000","tower_attack_flat","1000","1"
"work_20","继续努力","10000","1","英雄攻速+5%","hero_attack_speed_bonus_pct","5","1"
"work_21","不要猝死","11000","1","墙生命+2000","wall_initial_health","2000","1"
"work_22","老板买车","12000","1","墙护甲+20","wall_armor","20","1"
"work_23","带薪拉屎","13000","1","金矿收益+3%","gold_mine_efficiency_pct","3","1"
"work_24","今晚加个班","14000","1","墙每秒生命+10","wall_health_per_second","10","1"
"work_25","拼好饭","15000","1","英雄攻击加成+5%","hero_attack_bonus_pct","5","1"
"work_26","脂肪肝","16000","1","英雄生命加成+5%","hero_health_bonus_pct","5","1"
"work_27","胃结石","17000","1","英雄护甲加成+5%","hero_armor_bonus_pct","5","1"
"work_28","高血压","18000","1","英雄攻击间隔-0.05","hero_attack_interval_reduction","0.05","1"
"work_29","鸡汤","19000","1","练功房收益+8%","training_room_income_bonus_pct","8","1"
"work_30","画饼","20000","1","箭塔攻速+5%","tower_attack_speed_bonus_pct","5","1"
"work_31","摸鱼","21000","1","每秒木材+4","wood_per_second","4","1"
"work_32","咖啡","22000","1","英雄造成伤害+3","hero_damage_bonus_flat","3","1"
"work_33","健身房","23000","1","英雄每秒全属性+3","hero_attributes_per_second","3","1"
"work_34","内卷","24000","1","伐木效率+3","lumberjack_attack_efficiency","3","1"
