region_id,region_type,shape,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,center_x,center_y,radius,map_name,enabled,notes
#中文名:区域ID,区域类型,形状,四边形点1X,四边形点1Y,四边形点2X,四边形点2Y,四边形点3X,四边形点3Y,四边形点4X,四边形点4Y,圆心X,圆心Y,圆半径,地图名,是否启用,备注
#types:string,string,string,number,number,number,number,number,number,number,number,number,number,number,string,boolean,string
# region_type仅允许hero_movable或building_forbidden。
# 凸四边形使用shape=quadrilateral，四点必须按顺时针或逆时针沿边界填写。
# 圆形使用shape=circle，只填写center_x、center_y和radius。
# 没有启用的hero_movable业务行时，白名单暂不启用，沿用旧地图的Grid和导航校验；building_forbidden仍独立生效。
# map_name留空表示所有地图；主岛四处楼梯禁建区只对template_map生效。
# 楼梯和转角禁建使用主岛四个corner区域的地图坐标，保留GridNav通行供怪物寻路。
# 示例：main_lane,hero_movable,quadrilateral,-512,-256,512,-256,512,256,-512,256,,,,,1,主战区移动白名单
# 示例：altar_no_build,building_forbidden,circle,,,,,,,,,1024,0,320,,1,祭坛禁建区
main_stair_east,building_forbidden,quadrilateral,960,3872,1600,3872,1600,5216,960,5216,,,,template_map,1,主岛东侧楼梯及转角禁建
main_stair_south,building_forbidden,quadrilateral,-1248,1472,96,1472,96,2112,-1248,2112,,,,template_map,1,主岛南侧楼梯及转角禁建
main_stair_west,building_forbidden,quadrilateral,-3648,2976,-3008,2976,-3008,4320,-3648,4320,,,,template_map,1,主岛西侧楼梯及转角禁建
main_stair_north,building_forbidden,quadrilateral,-2144,6080,-800,6080,-800,6720,-2144,6720,,,,template_map,1,主岛北侧楼梯及转角禁建
