stage_id,stage_order,trigger_state,ability_name,slot_order,required_city_level,building_id,max_building_count,requires_building_id,disable_after_hero_summoned,enabled,notes
#中文名:阶段ID,阶段顺序,触发状态,技能名称ID,槽位顺序,所需主城等级,建筑ID,最大建筑数量,前置建筑ID,召唤英雄后禁用,是否启用,备注
#types:string,number,enum,string,number,number,string,number,string,boolean,boolean,string
wall_pending,10,wall_not_built,ability_build_wall,1,0,wall,1,,0,1,游戏开始只显示建造城墙。
city_pending,20,wall_built_city_not_built,ability_build_main_city,1,0,main_city,1,,0,1,城墙完成后，同一建造链技能替换为建造主城。
city_built,30,main_city_built,ability_build_arrow_tower,1,1,arrow_tower,7,,0,1,主城完成后可建造；最多同时存在7座未转职箭塔，转职后释放名额。
city_built,30,main_city_built,ability_build_research_lab,2,1,building_research_lab,1,,0,1,主城完成后W技能解锁建造研究所；研究所最多建造1座。
city_built,30,main_city_built,ability_build_advanced_research_lab,2,4,building_advanced_research_lab,1,building_research_lab,0,1,普通研究所完工后替换W槽；主城达到Lv.4后可建造高级研究所。
city_built,30,main_city_built,ability_build_challenge,6,1,building_challenge,1,building_research_lab,0,1,普通研究所完工后在A槽显示独立挑战建筑；不替换普通或高级研究所。
city_built,30,main_city_built,ability_build_farm,3,1,building_farm,1,,0,1,主城完成后解锁人口农场，最多建造1座；达到上限后移除建造技能。
city_built,30,main_city_built,ability_build_hero_altar,4,3,hero_altar,1,,1,1,祭坛显示在技能列表中；主城不足3级时置灰；召唤英雄后永久置灰。
city_built,30,main_city_built,ability_build_gold_mine,5,3,gold_mine,5,,0,1,主城3级后显示，最多建造5座金矿；达到上限后移除建造技能。
