building_id,build_cast_range,build_time,build_particle,build_start_particle,build_loop_particle,build_visual_scale,enabled,notes,build_complete_particle
#中文名:建筑ID,建造施法距离,建造时间,旧版施工特效,施工开始特效,施工持续特效,施工视觉覆盖倍率,是否启用,备注,施工或升级完成特效
#types:string,number,number,string,string,string,number,boolean,string,string
wall,200,3,particles/survival_buildings/white_build_channel.vpcf,,particles/survival_buildings/white_build_channel.vpcf,1.0,1,稳定白光建筑轮廓；完成后白光平滑褪去；无循环光环与闪光。,particles/survival_buildings/white_build_reveal.vpcf
main_city,200,3,particles/survival_buildings/white_build_channel.vpcf,,particles/survival_buildings/white_build_channel.vpcf,1.0,1,稳定白光建筑轮廓；完成后白光平滑褪去；无循环光环与闪光。,particles/survival_buildings/white_build_reveal.vpcf
arrow_tower,200,3,particles/survival_buildings/white_build_channel.vpcf,,particles/survival_buildings/white_build_channel.vpcf,1,1,稳定白光建筑轮廓；完成后白光平滑褪去；无循环光环与闪光。,particles/survival_buildings/white_build_reveal.vpcf
building_farm,200,3,particles/survival_buildings/white_build_channel.vpcf,,particles/survival_buildings/white_build_channel.vpcf,1.0,1,稳定白光建筑轮廓；完成后白光平滑褪去；无循环光环与闪光。,particles/survival_buildings/white_build_reveal.vpcf
building_research_lab,200,3,particles/survival_buildings/white_build_channel.vpcf,,particles/survival_buildings/white_build_channel.vpcf,1.0,1,稳定白光建筑轮廓；完成后白光平滑褪去；无循环光环与闪光。,particles/survival_buildings/white_build_reveal.vpcf
building_challenge,200,3,particles/survival_buildings/white_build_channel.vpcf,,particles/survival_buildings/white_build_channel.vpcf,1.0,1,稳定白光建筑轮廓；完成后白光平滑褪去；无循环光环与闪光。,particles/survival_buildings/white_build_reveal.vpcf
building_advanced_research_lab,200,3,particles/survival_buildings/white_build_channel.vpcf,,particles/survival_buildings/white_build_channel.vpcf,1.0,1,稳定白光建筑轮廓；完成后白光平滑褪去；无循环光环与闪光。,particles/survival_buildings/white_build_reveal.vpcf
gold_mine,200,3,particles/survival_buildings/white_build_channel.vpcf,,particles/survival_buildings/white_build_channel.vpcf,1.0,1,稳定白光建筑轮廓；完成后白光平滑褪去；无循环光环与闪光。,particles/survival_buildings/white_build_reveal.vpcf
hero_altar,200,3,particles/survival_buildings/white_build_channel.vpcf,,particles/survival_buildings/white_build_channel.vpcf,1.0,1,稳定白光建筑轮廓；完成后白光平滑褪去；无循环光环与闪光。,particles/survival_buildings/white_build_reveal.vpcf
