visual_id,building_id,level,model_name,model_scale,model_yaw,enabled,notes
#types:string,string,number,string,number,number,boolean,string
main_city_visual_lv01,building_main_city,1,models/survival_buildings/main_city_lv01.vmdl,1.0,0,1,主城；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
main_city_visual_lv02,building_main_city,2,models/survival_buildings/main_city_lv02.vmdl,1.0,0,1,主城；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
main_city_visual_lv03,building_main_city,3,models/survival_buildings/main_city_lv03.vmdl,1.0,0,1,主城；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
main_city_visual_lv04,building_main_city,4,models/survival_buildings/main_city_lv04.vmdl,1.0,0,1,主城；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
main_city_visual_lv05,building_main_city,5,models/survival_buildings/main_city_lv05.vmdl,1.0,0,1,主城；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
hero_altar_visual_lv01,building_hero_altar,1,models/survival_buildings/hero_altar.vmdl,1.0,0,1,英雄祭坛；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
research_lab_visual_lv01,building_research_lab,1,models/survival_buildings/research_lab.vmdl,1.0,0,1,研究所·炼金工坊；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
challenge_visual_lv01,building_challenge,1,models/survival_buildings/challenge_arena.vmdl,1.0,0,1,挑战竞技场；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
advanced_research_lab_visual_lv01,building_advanced_research_lab,1,models/survival_buildings/advanced_research_lab.vmdl,1.0,0,1,高级研究所·星象高塔；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
farm_visual_lv01,building_farm,1,models/survival_buildings/population_farm_lv01.vmdl,1.0,0,1,人口农场；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv01,building_gold_mine,1,models/survival_buildings/gold_mine_lv01.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
farm_visual_lv02,building_farm,2,models/survival_buildings/population_farm_lv02.vmdl,1.0,0,1,人口农场；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
farm_visual_lv03,building_farm,3,models/survival_buildings/population_farm_lv03.vmdl,1.0,0,1,人口农场；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
farm_visual_lv04,building_farm,4,models/survival_buildings/population_farm_lv04.vmdl,1.0,0,1,人口农场；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
farm_visual_lv05,building_farm,5,models/survival_buildings/population_farm_lv05.vmdl,1.0,0,1,人口农场；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv02,building_gold_mine,2,models/survival_buildings/gold_mine_lv01.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv03,building_gold_mine,3,models/survival_buildings/gold_mine_lv01.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv04,building_gold_mine,4,models/survival_buildings/gold_mine_lv02.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv05,building_gold_mine,5,models/survival_buildings/gold_mine_lv02.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv06,building_gold_mine,6,models/survival_buildings/gold_mine_lv02.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv07,building_gold_mine,7,models/survival_buildings/gold_mine_lv03.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv08,building_gold_mine,8,models/survival_buildings/gold_mine_lv03.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv09,building_gold_mine,9,models/survival_buildings/gold_mine_lv03.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv10,building_gold_mine,10,models/survival_buildings/gold_mine_lv04.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv11,building_gold_mine,11,models/survival_buildings/gold_mine_lv04.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv12,building_gold_mine,12,models/survival_buildings/gold_mine_lv04.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv13,building_gold_mine,13,models/survival_buildings/gold_mine_lv05.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv14,building_gold_mine,14,models/survival_buildings/gold_mine_lv05.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv15,building_gold_mine,15,models/survival_buildings/gold_mine_lv05.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv16,building_gold_mine,16,models/survival_buildings/gold_mine_lv06.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv17,building_gold_mine,17,models/survival_buildings/gold_mine_lv06.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv18,building_gold_mine,18,models/survival_buildings/gold_mine_lv06.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
gold_mine_visual_lv19,building_gold_mine,19,models/survival_buildings/gold_mine_lv07.vmdl,1.0,0,1,金矿；模型资源等比例放大2倍；实体比例1.0；正门朝南；2×2格居中。
