level_id,building_id,level,display_name,health,armor,base_income,wood_cost,enabled,notes
#中文名:等级ID,建筑ID,等级,显示名称,生命值,护甲,每秒基础产量,升级木材消耗,是否启用,备注
#types:string,string,number,string,number,number,number,number,boolean,string
building_gold_mine_lv01,building_gold_mine,1,金矿LV1,3000,8,2,3000,1,LV1建造费用由building_definitions配置
building_gold_mine_lv02,building_gold_mine,2,金矿LV2,3000,9,4,4000,1,费用为从当前等级升级到本级的费用
building_gold_mine_lv03,building_gold_mine,3,金矿LV3,3000,10,7,5000,1,
building_gold_mine_lv04,building_gold_mine,4,金矿LV4,3000,11,11,6000,1,
building_gold_mine_lv05,building_gold_mine,5,金矿LV5,3000,12,15,7000,1,当前资料最后一个已确认等级；追加新行即可扩展上限
building_gold_mine_lv06,building_gold_mine,6,金矿LV6,3000,13,20,8000,1,
building_gold_mine_lv07,building_gold_mine,7,金矿LV7,3000,14,25,10000,1,
building_gold_mine_lv08,building_gold_mine,8,金矿LV8,3000,15,32,12000,1,
building_gold_mine_lv09,building_gold_mine,9,金矿LV9,3000,16,40,15000,1,
building_gold_mine_lv10,building_gold_mine,10,金矿LV10,3000,17,50,20000,1,
building_gold_mine_lv11,building_gold_mine,11,金矿LV11,3000,18,65,25000,1,
building_gold_mine_lv12,building_gold_mine,12,金矿LV12,3000,19,82,30000,1,
building_gold_mine_lv13,building_gold_mine,13,金矿LV13,3000,20,100,35000,1,
building_gold_mine_lv14,building_gold_mine,14,金矿LV14,3000,21,120,40000,1,
building_gold_mine_lv15,building_gold_mine,15,金矿LV15,3000,22,142,50000,1,
building_gold_mine_lv16,building_gold_mine,16,金矿LV16,3000,23,170,60000,1,
building_gold_mine_lv17,building_gold_mine,17,金矿LV17,3000,24,200,70000,1,
building_gold_mine_lv18,building_gold_mine,18,金矿LV18,3000,25,235,80000,1,
building_gold_mine_lv19,building_gold_mine,19,金矿LV19,3000,26,272,100000,1,
building_gold_mine_lv20,building_gold_mine,20,金矿LV20,3000,27,320,120000,1,
building_gold_mine_lv21,building_gold_mine,21,金矿LV21,3000,28,375,150000,1,
building_gold_mine_lv22,building_gold_mine,22,金矿LV22,3000,29,440,180000,1,
building_gold_mine_lv23,building_gold_mine,23,金矿LV23,3000,30,510,220000,1,
building_gold_mine_lv24,building_gold_mine,24,金矿LV24,3000,31,590,260000,1,
building_gold_mine_lv25,building_gold_mine,25,金矿LV25,3000,32,680,310000,1,
building_gold_mine_lv26,building_gold_mine,26,金矿LV26,3000,33,780,370000,1,
building_gold_mine_lv27,building_gold_mine,27,金矿LV27,3000,34,890,440000,1,
building_gold_mine_lv28,building_gold_mine,28,金矿LV28,3000,35,1010,520000,1,
building_gold_mine_lv29,building_gold_mine,29,金矿LV29,3000,36,1150,620000,1,
building_gold_mine_lv30,building_gold_mine,30,金矿LV30,3000,37,1300,,1,
