fusion_id,source_unit_id,target_unit_id,level,required_count,required_city_level,wood_cost,gold_cost,ability_id,super_unit_name,display_name,super_skill_ids,enabled,source,notes
#中文名:合成ID,来源单位ID,目标单位ID,等级,所需普通伐木工数量,主城等级要求,木材消耗,金币消耗,合成技能ID,超级单位名,显示名,性格技能ID列表,是否启用,来源,备注
#types:string,string,string,number,number,number,number,number,string,string,string,list,boolean,string,string
lumberjack_fusion_01,unit_lumberjack_01,unit_super_lumberjack_01,1,5,4,10000,0,ability_fuse_lumberjack_01,npc_survival_super_lumberjack_01,超级伐木工LV1,lumberjack_personality_self_pua|lumberjack_personality_leader|lumberjack_personality_study|lumberjack_personality_heavy_hand|lumberjack_personality_cheer|lumberjack_personality_high_pressure|lumberjack_personality_efficiency|lumberjack_personality_chosen|lumberjack_personality_workaholic|lumberjack_personality_discoverer|lumberjack_personality_scavenger,1,伐木工合成,五个LV1普通伐木工合成；主城LV4；消耗10000木材；从11项性格池等概率抽取1项
lumberjack_fusion_02,unit_lumberjack_02,unit_super_lumberjack_02,2,3,4,20000,0,ability_fuse_lumberjack_02,npc_survival_super_lumberjack_02,超级伐木工LV2,lumberjack_personality_self_pua|lumberjack_personality_leader|lumberjack_personality_study|lumberjack_personality_heavy_hand|lumberjack_personality_cheer|lumberjack_personality_high_pressure|lumberjack_personality_efficiency|lumberjack_personality_chosen|lumberjack_personality_workaholic|lumberjack_personality_discoverer|lumberjack_personality_scavenger,1,伐木工合成,三个LV2普通伐木工合成；主城LV4；消耗20000木材；从11项性格池等概率抽取1项
lumberjack_fusion_03,unit_lumberjack_03,unit_super_lumberjack_03,3,3,5,30000,5000,ability_fuse_lumberjack_03,npc_survival_super_lumberjack_03,超级伐木工LV3,lumberjack_personality_self_pua|lumberjack_personality_leader|lumberjack_personality_study|lumberjack_personality_heavy_hand|lumberjack_personality_cheer|lumberjack_personality_high_pressure|lumberjack_personality_efficiency|lumberjack_personality_chosen|lumberjack_personality_workaholic|lumberjack_personality_discoverer|lumberjack_personality_scavenger,1,伐木工合成,三个LV3普通伐木工合成；主城LV5；消耗30000木材和5000金币；从11项性格池等概率抽取1项
lumberjack_fusion_04,unit_lumberjack_04,unit_super_lumberjack_04,4,3,5,40000,8000,ability_fuse_lumberjack_04,npc_survival_super_lumberjack_04,超级伐木工LV4,lumberjack_personality_self_pua|lumberjack_personality_leader|lumberjack_personality_study|lumberjack_personality_heavy_hand|lumberjack_personality_cheer|lumberjack_personality_high_pressure|lumberjack_personality_efficiency|lumberjack_personality_chosen|lumberjack_personality_workaholic|lumberjack_personality_discoverer|lumberjack_personality_scavenger,1,伐木工合成,三个LV4普通伐木工合成；主城LV5；消耗40000木材和8000金币；从11项性格池等概率抽取1项
lumberjack_fusion_05,unit_lumberjack_05,unit_super_lumberjack_05,5,3,5,50000,15000,ability_fuse_lumberjack_05,npc_survival_super_lumberjack_05,超级伐木工LV5,lumberjack_personality_self_pua|lumberjack_personality_leader|lumberjack_personality_study|lumberjack_personality_heavy_hand|lumberjack_personality_cheer|lumberjack_personality_high_pressure|lumberjack_personality_efficiency|lumberjack_personality_chosen|lumberjack_personality_workaholic|lumberjack_personality_discoverer|lumberjack_personality_scavenger,1,伐木工合成,三个LV5普通伐木工合成；主城LV5；消耗50000木材和15000金币；从11项性格池等概率抽取1项
lumberjack_fusion_06,unit_lumberjack_06,unit_super_lumberjack_06,6,3,5,60000,30000,ability_fuse_lumberjack_06,npc_survival_super_lumberjack_06,超级伐木工LV6,lumberjack_personality_self_pua|lumberjack_personality_leader|lumberjack_personality_study|lumberjack_personality_heavy_hand|lumberjack_personality_cheer|lumberjack_personality_high_pressure|lumberjack_personality_efficiency|lumberjack_personality_chosen|lumberjack_personality_workaholic|lumberjack_personality_discoverer|lumberjack_personality_scavenger,1,伐木工合成,三个LV6普通伐木工合成；主城LV5；消耗60000木材和30000金币；从11项性格池等概率抽取1项
lumberjack_fusion_07,unit_lumberjack_07,unit_super_lumberjack_07,7,3,5,70000,40000,ability_fuse_lumberjack_07,npc_survival_super_lumberjack_07,超级伐木工LV7,lumberjack_personality_self_pua|lumberjack_personality_leader|lumberjack_personality_study|lumberjack_personality_heavy_hand|lumberjack_personality_cheer|lumberjack_personality_high_pressure|lumberjack_personality_efficiency|lumberjack_personality_chosen|lumberjack_personality_workaholic|lumberjack_personality_discoverer|lumberjack_personality_scavenger,1,伐木工合成,三个LV7普通伐木工合成；主城LV5；消耗70000木材和40000金币；从11项性格池等概率抽取1项
lumberjack_fusion_08,unit_lumberjack_08,unit_super_lumberjack_08,8,3,5,80000,50000,ability_fuse_lumberjack_08,npc_survival_super_lumberjack_08,超级伐木工LV8,,1,伐木工合成,三个LV8普通伐木工合成；主城LV5；消耗80000木材和50000金币；LV8不挂性格技能
