skill_id,ability_name,name,description,effect_type,effect_value,enabled,source,notes
#中文名:性格技能ID,Ability名称,名称,描述,效果类型,效果值,是否启用,来源,备注
#types:string,string,string,string,enum,number,boolean,string,string
lumberjack_personality_self_pua,ability_lumberjack_personality_self_pua,自我PUA,每次采集后伐木工攻击力成长5点,attack_growth,5,1,伐木工超级合成,超级伐木工LV1
lumberjack_personality_leader,ability_lumberjack_personality_leader,领袖气质,除自身之外的其他伐木工攻速提高20%,other_lumberjack_attack_speed_pct,20,1,伐木工超级合成,超级伐木工LV2
lumberjack_personality_study,ability_lumberjack_personality_study,喜欢钻研,每次采集量增加20,wood_per_hit_flat,20,1,伐木工超级合成,超级伐木工LV3
lumberjack_personality_heavy_hand,ability_lumberjack_personality_heavy_hand,手很重,每次采集有1%概率直接减少资源树最大生命值的1%,tree_damage_chance_pct,1,1,伐木工超级合成,超级伐木工LV4
lumberjack_personality_cheer,ability_lumberjack_personality_cheer,啦啦队,为所属玩家英雄、箭塔和所有伐木工增加10%攻速，多个可叠加,owner_attack_speed_pct,10,1,伐木工超级合成,超级伐木工LV5
lumberjack_personality_high_pressure,ability_lumberjack_personality_high_pressure,血压高,伐木工攻击力增加20%,lumberjack_attack_pct,20,1,伐木工超级合成,超级伐木工LV6
lumberjack_personality_efficiency,ability_lumberjack_personality_efficiency,效率,伐木工攻击间隔减少30%,lumberjack_attack_speed_pct,30,1,伐木工超级合成,超级伐木工LV7
lumberjack_personality_chosen,ability_lumberjack_personality_chosen,天选之子,每次采集有1%概率获得10倍木材,wood_multiplier_chance_pct,1,1,伐木工超级合成,技能池备用
lumberjack_personality_workaholic,ability_lumberjack_personality_workaholic,工作狂,攻击间隔减少0.03秒,attack_interval_flat,0.03,1,伐木工超级合成,技能池备用
lumberjack_personality_discoverer,ability_lumberjack_personality_discoverer,善于发现,每次采集获得10金币,gold_per_hit_flat,10,1,伐木工超级合成,技能池备用
lumberjack_personality_scavenger,ability_lumberjack_personality_scavenger,喜欢捡漏,每次砍死资源树有10%概率获得当前木材总数10%，最多3次,tree_death_wood_pct,10,1,伐木工超级合成,技能池备用
