ability_name,building_id,technology_id,technology_group,chain_id,chain_order,slot_order,display_name,description,icon_name,enabled,notes
#中文名:技能名称ID,建筑ID,科技编号,科技组,科技链ID,链内顺序,槽位顺序,显示名称,描述,图标名称,是否启用,备注
#types:string,string,string,string,string,number,number,string,string,string,boolean,string
ability_research_lumberjack_speed,building_research_lab,RS-01,lumberjack_speed,lumberjack_speed,1,1,研究伐木工攻速,研究伐木工攻速的下一级。等级、费用、前置与效果读取科技配置。,ability_train_lumberjack,1,普通研究所Q链低阶科技
ability_research_advanced_lumberjack_speed,building_research_lab,RS-02,advanced_lumberjack_speed,lumberjack_speed,2,1,研究高级伐木工攻速,研究高级伐木工攻速的下一级。低阶科技满级后接替同一快捷键。,ability_train_lumberjack,1,普通研究所Q链高级科技
ability_research_lumberjack_efficiency,building_research_lab,RS-04,lumberjack_efficiency,lumberjack_efficiency,1,2,研究伐木效率,研究伐木效率的下一级。等级、费用、前置与效果读取科技配置。,furion_force_of_nature,1,普通研究所W槽科技
ability_research_tower_attack,building_research_lab,RS-06,tower_attack,tower_attack,1,3,研究防御塔攻击,研究防御塔攻击的下一级。等级、费用、前置与效果读取科技配置。,ability_upgrade_attack,1,普通研究所E链低阶科技
ability_research_advanced_tower_attack,building_research_lab,RS-07,advanced_tower_attack,tower_attack,2,3,研究高级防御塔攻击,研究高级防御塔攻击的下一级。低阶科技满级后接替同一快捷键。,ability_upgrade_attack,1,普通研究所E链高级科技
ability_research_wall_health,building_research_lab,RS-08,wall_health,wall_health,1,4,研究城墙生命,研究城墙生命的下一级。等级、费用、前置与效果读取科技配置。,ability_upgrade_wall,1,普通研究所R链低阶科技
ability_research_advanced_wall_health,building_research_lab,RS-09,advanced_wall_health,wall_health,2,4,研究高级城墙生命,研究高级城墙生命的下一级。低阶科技满级后接替同一快捷键。,ability_upgrade_wall,1,普通研究所R链高级科技
ability_research_advanced_lumberjack_efficiency,building_research_lab,RS-05,advanced_lumberjack_efficiency,advanced_lumberjack_efficiency,1,5,研究高级伐木效率,研究高级伐木效率的下一级。普通伐木效率达到Lv.10后解锁并保留固定槽位。,furion_force_of_nature,1,普通研究所T槽科技
ability_research_lumberjack_crit,building_research_lab,RS-03,lumberjack_crit,lumberjack_crit,1,6,研究伐木工暴击,研究伐木工暴击的下一级。等级、费用、前置与效果读取科技配置。,phantom_assassin_coup_de_grace,1,普通研究所S槽科技
ability_research_ars_01,building_advanced_research_lab,ARS-01,researcher_lumberjack_attack_growth,ars_01,1,1,伐木工攻击成长,研究伐木工攻击成长的下一级。等级、费用、前置与效果读取科技配置。,furion_force_of_nature,1,高级研究所Q槽
ability_research_ars_02,building_advanced_research_lab,ARS-02,researcher_lumberjack_armor_reduction,ars_02,1,2,伐木工攻击减甲,研究伐木工攻击减甲的下一级。等级、费用、前置与效果读取科技配置。,slardar_amplify_damage,1,高级研究所W槽
ability_research_ars_03,building_advanced_research_lab,ARS-03,researcher_super_wall_health,ars_03,1,3,超级城墙强化,研究超级城墙强化的下一级。等级、费用、前置与效果读取科技配置。,ability_upgrade_wall,1,高级研究所E槽
ability_research_ars_04,building_advanced_research_lab,ARS-04,researcher_super_wall_armor,ars_04,1,4,超级城墙护甲强化,研究超级城墙护甲强化的下一级。等级、费用、前置与效果读取科技配置。,dragon_knight_dragon_blood,1,高级研究所R槽
ability_research_ars_05,building_advanced_research_lab,ARS-05,researcher_super_tower_attack,ars_05,1,5,超级防御塔强化,研究超级防御塔强化的下一级。等级、费用、前置与效果读取科技配置。,ability_upgrade_attack,1,高级研究所T槽
ability_research_ars_06,building_advanced_research_lab,ARS-06,researcher_super_tower_range,ars_06,1,6,超级防御塔攻击范围,研究超级防御塔攻击范围的下一级。等级、费用、前置与效果读取科技配置。,sniper_take_aim,1,高级研究所S槽
ability_research_ars_07,building_advanced_research_lab,ARS-07,researcher_super_tower_crit,ars_07,1,7,超级防御塔暴击,研究超级防御塔暴击的下一级。等级、费用、前置与效果读取科技配置。,phantom_assassin_coup_de_grace,1,高级研究所D槽
ability_research_ars_08,building_advanced_research_lab,ARS-08,researcher_hero_final_damage,ars_08,1,8,英雄最终伤害,研究英雄最终伤害的下一级。等级、费用、前置与效果读取科技配置。,bloodseeker_bloodrage,1,高级研究所F槽
ability_research_ars_09,building_advanced_research_lab,ARS-09,researcher_hero_armor_reduction,ars_09,1,9,英雄攻击减甲,研究英雄攻击减甲的下一级。等级、费用、前置与效果读取科技配置。,slardar_amplify_damage,1,高级研究所G槽
ability_research_ars_10,building_advanced_research_lab,ARS-10,researcher_hero_attack,ars_10,1,10,英雄攻击,研究英雄攻击的下一级。等级、费用、前置与效果读取科技配置。,sven_gods_strength,1,高级研究所H槽
