technology_id,technology_group,display_name,technology_track,technology_phase,unlock_technology_group,unlock_required_level,level,max_level,gold_cost,wood_cost,value_per_level,visible_condition,prerequisite_id,effect_type,effect_value,enabled,review_status,notes,shop_enabled,shop_category_id,shop_sort_order,required_city_level,requires_vip,requires_hero_summoned,required_rebirth_level,requires_building_id,requires_content_id,purchase_limit,disabled_reason_text,grant_type,icon_name,encounter_id
#中文名:科技ID,科技组,显示名称,科技分层,科技阶段,解锁科技组,解锁所需等级,等级,最高等级,金币消耗,木材消耗,每级数值,显示条件,前置ID,效果类型,效果数值,是否启用,审核状态,备注,是否进入商店,商店分类ID,商店排序,所需主城等级,是否需要VIP,是否需要已召唤英雄,所需转生等级,所需建筑ID,所需内容ID,购买上限,禁用原因,发放类型,图标名称,遭遇ID
#types:string,string,string,enum,number,string,number,number,number,number,number,number,string,string,string,number,boolean,enum,string,boolean,enum,number,number,boolean,boolean,number,string,string,number,string,enum,string,string
tech_gold_mine_efficiency_01,gold_mine_efficiency,金矿采集效率 Lv.1,gold_mine,0,,0,1,50,0,20000,5,gold_mine_built==true,,mine_efficiency_percent,5,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,1,0,0,0,0,gold_mine,,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_02,gold_mine_efficiency,金矿采集效率 Lv.2,gold_mine,0,,0,2,50,0,40000,5,gold_mine_built==true,tech_gold_mine_efficiency_01,mine_efficiency_percent,10,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,3,0,0,0,0,gold_mine,tech_gold_mine_efficiency_01,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_03,gold_mine_efficiency,金矿采集效率 Lv.3,gold_mine,0,,0,3,50,0,60000,5,gold_mine_built==true,tech_gold_mine_efficiency_02,mine_efficiency_percent,15,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,5,0,0,0,0,gold_mine,tech_gold_mine_efficiency_02,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_04,gold_mine_efficiency,金矿采集效率 Lv.4,gold_mine,0,,0,4,50,0,80000,5,gold_mine_built==true,tech_gold_mine_efficiency_03,mine_efficiency_percent,20,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,7,0,0,0,0,gold_mine,tech_gold_mine_efficiency_03,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_05,gold_mine_efficiency,金矿采集效率 Lv.5,gold_mine,0,,0,5,50,0,100000,5,gold_mine_built==true,tech_gold_mine_efficiency_04,mine_efficiency_percent,25,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,9,0,0,0,0,gold_mine,tech_gold_mine_efficiency_04,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_06,gold_mine_efficiency,金矿采集效率 Lv.6,gold_mine,0,,0,6,50,0,120000,5,gold_mine_built==true,tech_gold_mine_efficiency_05,mine_efficiency_percent,30,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,11,0,0,0,0,gold_mine,tech_gold_mine_efficiency_05,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_07,gold_mine_efficiency,金矿采集效率 Lv.7,gold_mine,0,,0,7,50,0,140000,5,gold_mine_built==true,tech_gold_mine_efficiency_06,mine_efficiency_percent,35,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,13,0,0,0,0,gold_mine,tech_gold_mine_efficiency_06,1,,technology_level,alchemist_goblins_greed,
tech_gold_mine_efficiency_08,gold_mine_efficiency,金矿采集效率 Lv.8,gold_mine,0,,0,8,50,0,160000,5,gold_mine_built==true,tech_gold_mine_efficiency_07,mine_efficiency_percent,40,1,ok,金矿收益每级提高5%，不足1金币时至少增加1金币。,1,technology,15,0,0,0,0,gold_mine,tech_gold_mine_efficiency_07,1,,technology_level,alchemist_goblins_greed,
