buff_id,buff_name,polarity,stacking_rule,refresh_rule,max_stacks,purgable,remove_on_death,effect_type,default_value,particle_name,particle_attach,texture,exclusive_group,priority,enabled,notes,status_effect_name,status_effect_priority,sound_name
#中文名:Buff ID,Buff名称,正负面类型,叠加规则,刷新规则,默认最大层数,可驱散,死亡移除,效果类型,默认数值,持续特效,特效挂点,图标,互斥组,优先级,是否启用,备注,状态材质特效,状态特效优先级,音效
#types:string,string,string,string,string,number,boolean,boolean,string,number,string,string,string,string,number,boolean,string,string,number,string
buff_arcane_cannon_damage,魔能炮增伤,positive,stack,independent,4,0,1,total_damage_outgoing_pct,10,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_matter_buff.vpcf,PATTACH_ABSORIGIN_FOLLOW,obsidian_destroyer_arcane_orb,,0,1,每层独立计时；持续时间、单层数值和最大层数由技能表覆盖。
buff_explosive_gatling_attack_speed,爆矢加特林攻速,positive,none,refresh,1,0,1,attack_speed_bonus,20,particles/econ/items/windrunner/windranger_arcana/windranger_arcana_focusfire.vpcf,PATTACH_ABSORIGIN_FOLLOW,windrunner_focusfire,,0,1,重复触发刷新持续时间；视觉使用Compass of the Rising Gale Focus Fire。
debuff_frost_move_slow,冰霜减速,negative,none,refresh,1,1,1,move_speed_pct,-25,particles/units/heroes/hero_crystalmaiden/maiden_frostbite_buff.vpcf,PATTACH_ABSORIGIN_FOLLOW,crystal_maiden_frostbite,frost_slow,10,1,普通冰霜攻击减速。,particles/status_fx/status_effect_frost.vpcf,10,Hero_Crystal.Frostbite
debuff_blizzard_move_slow,暴风雪减速,negative,none,refresh,1,1,1,move_speed_pct,-25,particles/units/heroes/hero_crystalmaiden/maiden_frostbite_buff.vpcf,PATTACH_ABSORIGIN_FOLLOW,crystal_maiden_freezing_field,frost_slow,20,1,暴风雪每秒Tick短时刷新25%减速；离开区域后自然移除。,particles/status_fx/status_effect_frost.vpcf,20,hero_Crystal.freezingField.wind
debuff_polar_attack_slow,极地攻速降低,negative,none,aura,1,0,1,attack_speed_pct,-20,,,ancient_apparition_chilling_touch,,0,1,由受管光环施加；范围内攻击频率变为80%，离开范围或光环源销毁后自动移除；Ice Vortex仅常驻于塔底。,,,
debuff_piercing_armor,穿透弩炮减甲,negative,none,refresh,1,1,1,physical_armor_base_pct,-15,particles/units/heroes/hero_slardar/slardar_amp_damage.vpcf,PATTACH_OVERHEAD_FOLLOW,slardar_amplify_damage,,0,1,减甲百分比由技能表attack_armor_reduction覆盖。
debuff_hero_fury_thunder_mark,怒雷标记,negative,none,refresh,1,1,1,base_damage_outgoing_pct,0,particles/units/heroes/hero_zuus/zuus_static_field.vpcf,PATTACH_OVERHEAD_FOLLOW,zuus_lightning_bolt,,0,1,怒雷命中标记目标；每次命中刷新3秒，等级3及以上降低攻击力15%。
debuff_hero_ice_cone_attack_slow,寒冰锥攻速降低,negative,none,refresh,1,1,1,attack_speed_pct,-20,particles/units/heroes/hero_crystalmaiden/maiden_frostbite_buff.vpcf,PATTACH_ABSORIGIN_FOLLOW,crystal_maiden_freezing_field,,0,1,寒冰锥等级2至4降低20%攻击速度，等级5降低40%；同技能不可叠加，每次落冰命中刷新3秒。,particles/status_fx/status_effect_frost.vpcf,20,
debuff_hero_magic_slingshot_move_slow,魔法弹弓碎石区减速,negative,none,aura,1,0,1,move_speed_pct,-30,,,tiny_toss,,0,1,处于任意魔法弹弓碎石区内时降低30%移动速度；多个区域不叠加，离开全部区域立即移除。,,,
