record_id,stage_id,tower_id,name,rarity,level,max_level,base_attack_damage,base_attack_speed,upgrade_gold,upgrade_wood,population_cost,skill_ids,enabled,notes,model_asset_id,model_name,projectile_model,active_skill_ids,upgrade_description
#中文名:记录ID,阶段ID,防御塔ID,名称,稀有度,等级,最高等级,基础攻击力,基础攻速(次/秒),升到本级所需金币,升到本级所需木材,人口消耗,当前生效技能ID列表,是否启用,备注,模型资源ID,模型名称,弹道模型,主动技能ID列表,升级说明
#types:string,string,string,string,string,number,number,number,number,number,number,number,list,boolean,string,string,string,string,list,string
anti_air_tower_lv01,anti_air_tower,anti_air_tower_lv01,防空塔LV1,N,1,5,801,1,20,1000,1,anti_air_missile_lv01,1,仅攻击飞行单位；每轮对同一目标发射多枚普通攻击飞弹。,tower_anti_air_gyro_swooping,models/heroes/gyro/gyro.vmdl,particles/units/heroes/hero_sniper/sniper_base_attack.vpcf,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +801　💰 20　🌲 1000
anti_air_tower_lv02,anti_air_tower,anti_air_tower_lv02,防空塔LV2,N,2,5,1401,1,50,1500,1,anti_air_missile_lv02,1,,tower_anti_air_gyro_swooping,models/heroes/gyro/gyro.vmdl,particles/units/heroes/hero_sniper/sniper_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +1401　💰 50　🌲 1500
anti_air_tower_lv03,anti_air_tower,anti_air_tower_lv03,防空塔LV3,N,3,5,2001,1,200,2000,1,anti_air_missile_lv03,1,,tower_anti_air_gyro_swooping,models/heroes/gyro/gyro.vmdl,particles/units/heroes/hero_sniper/sniper_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +2001　💰 200　🌲 2000
anti_air_tower_lv04,anti_air_tower,anti_air_tower_lv04,防空塔LV4,N,4,5,3801,1,500,2500,1,anti_air_missile_lv04,1,,tower_anti_air_gyro_swooping,models/heroes/gyro/gyro.vmdl,particles/units/heroes/hero_sniper/sniper_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +3801　💰 500　🌲 2500
anti_air_tower_lv05,anti_air_tower,anti_air_tower_lv05,防空塔LV5,N,5,5,6001,1,1000,3000,1,anti_air_missile_lv05,1,,tower_anti_air_gyro_swooping,models/heroes/gyro/gyro.vmdl,particles/units/heroes/hero_sniper/sniper_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +6001　💰 1000　🌲 3000
anti_air_artillery_lv01,anti_air_artillery,anti_air_artillery_lv01,防空火炮LV1,R,1,5,12101,1,1000,20000,1,anti_air_missile_lv05|drag_net_lv01,1,仅攻击飞行单位；每枚普通攻击飞弹独立判定3秒眩晕。,tower_anti_air_batrider_empiric,models/heroes/batrider/batrider.vmdl,particles/units/heroes/hero_sniper/sniper_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +12101　💰 1000　🌲 20000
anti_air_artillery_lv02,anti_air_artillery,anti_air_artillery_lv02,防空火炮LV2,R,2,5,35001,1,2000,40000,1,anti_air_missile_lv05|drag_net_lv02,1,,tower_anti_air_batrider_empiric,models/heroes/batrider/batrider.vmdl,particles/units/heroes/hero_sniper/sniper_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +35001　💰 2000　🌲 40000
anti_air_artillery_lv03,anti_air_artillery,anti_air_artillery_lv03,防空火炮LV3,R,3,5,50001,1,5000,60000,1,anti_air_missile_lv05|drag_net_lv03,1,,tower_anti_air_batrider_empiric,models/heroes/batrider/batrider.vmdl,particles/units/heroes/hero_sniper/sniper_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +50001　💰 5000　🌲 60000
anti_air_artillery_lv04,anti_air_artillery,anti_air_artillery_lv04,防空火炮LV4,R,4,5,75001,1,10000,100000,1,anti_air_missile_lv05|drag_net_lv04,1,,tower_anti_air_batrider_empiric,models/heroes/batrider/batrider.vmdl,particles/units/heroes/hero_sniper/sniper_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +75001　💰 10000　🌲 100000
anti_air_artillery_lv05,anti_air_artillery,anti_air_artillery_lv05,防空火炮LV5,R,5,5,108001,1,20000,100000,1,anti_air_missile_lv05|drag_net_lv05,1,,tower_anti_air_batrider_empiric,models/heroes/batrider/batrider.vmdl,particles/units/heroes/hero_sniper/sniper_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +108001　💰 20000　🌲 100000
airspace_overlord_lv01,airspace_overlord,airspace_overlord_lv01,空域霸主LV1,SR,1,10,308001,1,30000,200000,1,anti_air_missile_lv05|drag_net_lv05|airspace_overlord_lv01,1,仅攻击飞行单位；500范围敌人最终承伤提高20%，飞行敌人攻速额外降低20%。,tower_anti_air_skywrath_empyrean,models/items/skywrath_mage/skywrath_arcana/skywrath_arcana.vmdl,particles/econ/items/skywrath_mage/skywrath_arcana/skywrath_arcana_base_attack_v2.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +308001　💰 30000　🌲 200000
airspace_overlord_lv02,airspace_overlord,airspace_overlord_lv02,空域霸主LV2,SR,2,10,508001,1,60000,200000,1,anti_air_missile_lv05|drag_net_lv05|airspace_overlord_lv01,1,,tower_anti_air_skywrath_empyrean,models/items/skywrath_mage/skywrath_arcana/skywrath_arcana.vmdl,particles/econ/items/skywrath_mage/skywrath_arcana/skywrath_arcana_base_attack_v2.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +508001　💰 60000　🌲 200000
airspace_overlord_lv03,airspace_overlord,airspace_overlord_lv03,空域霸主LV3,SR,3,10,808001,1,90000,200000,1,anti_air_missile_lv05|drag_net_lv05|airspace_overlord_lv01,1,,tower_anti_air_skywrath_empyrean,models/items/skywrath_mage/skywrath_arcana/skywrath_arcana.vmdl,particles/econ/items/skywrath_mage/skywrath_arcana/skywrath_arcana_base_attack_v2.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +808001　💰 90000　🌲 200000
airspace_overlord_lv04,airspace_overlord,airspace_overlord_lv04,空域霸主LV4,SR,4,10,1008001,1,120000,200000,1,anti_air_missile_lv05|drag_net_lv05|airspace_overlord_lv01,1,,tower_anti_air_skywrath_empyrean,models/items/skywrath_mage/skywrath_arcana/skywrath_arcana.vmdl,particles/econ/items/skywrath_mage/skywrath_arcana/skywrath_arcana_base_attack_v2.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +1008001　💰 120000　🌲 200000
airspace_overlord_lv05,airspace_overlord,airspace_overlord_lv05,空域霸主LV5,SR,5,10,1508001,1,150000,200000,1,anti_air_missile_lv05|drag_net_lv05|airspace_overlord_lv01,1,,tower_anti_air_skywrath_empyrean,models/items/skywrath_mage/skywrath_arcana/skywrath_arcana.vmdl,particles/econ/items/skywrath_mage/skywrath_arcana/skywrath_arcana_base_attack_v2.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +1508001　💰 150000　🌲 200000
airspace_overlord_lv06,airspace_overlord,airspace_overlord_lv06,空域霸主LV6,SSR,6,10,2008001,1,200000,400000,1,anti_air_missile_lv05|drag_net_lv05|airspace_overlord_lv01,1,最终阶段LV6开始稀有度变为SSR；技能保持不变。,tower_anti_air_skywrath_empyrean,models/items/skywrath_mage/skywrath_arcana/skywrath_arcana.vmdl,particles/econ/items/skywrath_mage/skywrath_arcana/skywrath_arcana_base_attack_v2.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +2008001　💰 200000　🌲 400000
airspace_overlord_lv07,airspace_overlord,airspace_overlord_lv07,空域霸主LV7,SSR,7,10,3008001,1,250000,500000,1,anti_air_missile_lv05|drag_net_lv05|airspace_overlord_lv01,1,,tower_anti_air_skywrath_empyrean,models/items/skywrath_mage/skywrath_arcana/skywrath_arcana.vmdl,particles/econ/items/skywrath_mage/skywrath_arcana/skywrath_arcana_base_attack_v2.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +3008001　💰 250000　🌲 500000
