record_id,stage_id,tower_id,name,rarity,level,max_level,base_attack_damage,base_attack_speed,upgrade_gold,upgrade_wood,population_cost,skill_ids,enabled,notes,model_asset_id,model_name,projectile_model,projectile_speed,active_skill_ids,upgrade_description
#中文名:记录ID,阶段ID,防御塔ID,名称,稀有度,等级,最高等级,基础攻击力,基础攻速(次/秒),升到本级所需金币,升到本级所需木材,人口消耗,当前生效技能ID列表,是否启用,备注,模型资源ID,模型名称,弹道模型,弹道速度,主动技能ID列表,升级描述
#types:string,string,string,string,string,number,number,number,number,number,number,number,list,boolean,string,string,string,string,number,list,string
death_tower_lv01,death_tower,death_tower_lv01,死亡之塔LV1,N,1,5,801,1.25,20,1000,1,critical_strike_lv01,1,由上一阶段转职；技能均为被动技能。,tower_death_templar_assassin,models/heroes/lanaya/lanaya.vmdl,particles/units/heroes/hero_templar_assassin/templar_assassin_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_upgrade_tower_max|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +901　?? 20　?? 1000
death_tower_lv02,death_tower,death_tower_lv02,死亡之塔LV2,N,2,5,1401,1.25,50,1500,1,critical_strike_lv02,1,,tower_death_templar_assassin,models/heroes/lanaya/lanaya.vmdl,particles/units/heroes/hero_templar_assassin/templar_assassin_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_upgrade_tower_max|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +1501　?? 50　?? 1500
death_tower_lv03,death_tower,death_tower_lv03,死亡之塔LV3,N,3,5,2001,1.25,200,2000,1,critical_strike_lv03,1,,tower_death_templar_assassin,models/heroes/lanaya/lanaya.vmdl,particles/units/heroes/hero_templar_assassin/templar_assassin_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_upgrade_tower_max|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +2101　?? 200　?? 2000
death_tower_lv04,death_tower,death_tower_lv04,死亡之塔LV4,N,4,5,3801,1.25,500,2500,1,critical_strike_lv04,1,,tower_death_templar_assassin,models/heroes/lanaya/lanaya.vmdl,particles/units/heroes/hero_templar_assassin/templar_assassin_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_upgrade_tower_max|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +3901　?? 500　?? 2500
death_tower_lv05,death_tower,death_tower_lv05,死亡之塔LV5,N,5,5,6001,1.25,1000,3000,1,critical_strike_lv05,1,,tower_death_templar_assassin,models/heroes/lanaya/lanaya.vmdl,particles/units/heroes/hero_templar_assassin/templar_assassin_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_upgrade_tower_max|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +6101　?? 1000　?? 3000
bone_cannon_lv01,bone_cannon,bone_cannon_lv01,碎骨重炮LV1,R,1,5,12101,1.25,1000,20000,1,critical_strike_lv05|bone_cannon_lv01,1,由上一阶段转职；技能均为被动技能。,tower_death_nevermore_sundered_souls,models/heroes/shadow_fiend/shadow_fiend.vmdl,particles/units/heroes/hero_nevermore/nevermore_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +12101　?? 1000　?? 20000
bone_cannon_lv02,bone_cannon,bone_cannon_lv02,碎骨重炮LV2,R,2,5,35001,1.25,2000,40000,1,critical_strike_lv05|bone_cannon_lv02,1,,tower_death_nevermore_sundered_souls,models/heroes/shadow_fiend/shadow_fiend.vmdl,particles/units/heroes/hero_nevermore/nevermore_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +35101　?? 2000　?? 40000
bone_cannon_lv03,bone_cannon,bone_cannon_lv03,碎骨重炮LV3,R,3,5,50001,1.25,5000,60000,1,critical_strike_lv05|bone_cannon_lv03,1,,tower_death_nevermore_sundered_souls,models/heroes/shadow_fiend/shadow_fiend.vmdl,particles/units/heroes/hero_nevermore/nevermore_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +50101　?? 5000　?? 60000
bone_cannon_lv04,bone_cannon,bone_cannon_lv04,碎骨重炮LV4,R,4,5,75001,1.25,10000,100000,1,critical_strike_lv05|bone_cannon_lv04,1,,tower_death_nevermore_sundered_souls,models/heroes/shadow_fiend/shadow_fiend.vmdl,particles/units/heroes/hero_nevermore/nevermore_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +75101　?? 10000　?? 100000
bone_cannon_lv05,bone_cannon,bone_cannon_lv05,碎骨重炮LV5,R,5,5,108001,1.25,20000,100000,1,critical_strike_lv05|bone_cannon_lv05,1,,tower_death_nevermore_sundered_souls,models/heroes/shadow_fiend/shadow_fiend.vmdl,particles/units/heroes/hero_nevermore/nevermore_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +108101　?? 20000　?? 100000
death_grenade_lv01,death_grenade,death_grenade_lv01,死神榴弹炮LV1,SR,1,10,308001,1.25,30000,200000,1,critical_strike_lv05|bone_cannon_lv05|death_grenade_lv01,1,由上一阶段转职；技能均为被动技能。,tower_death_warlock_seam_ripper,models/heroes/warlock/warlock.vmdl,particles/units/heroes/hero_warlock/warlock_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +308101　?? 30000　?? 200000
death_grenade_lv02,death_grenade,death_grenade_lv02,死神榴弹炮LV2,SR,2,10,508001,1.25,60000,200000,1,critical_strike_lv05|bone_cannon_lv05|death_grenade_lv01,1,,tower_death_warlock_seam_ripper,models/heroes/warlock/warlock.vmdl,particles/units/heroes/hero_warlock/warlock_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +508101　?? 60000　?? 200000
death_grenade_lv03,death_grenade,death_grenade_lv03,死神榴弹炮LV3,SR,3,10,808001,1.25,90000,200000,1,critical_strike_lv05|bone_cannon_lv05|death_grenade_lv01,1,,tower_death_warlock_seam_ripper,models/heroes/warlock/warlock.vmdl,particles/units/heroes/hero_warlock/warlock_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +808101　?? 90000　?? 200000
death_grenade_lv04,death_grenade,death_grenade_lv04,死神榴弹炮LV4,SR,4,10,1008001,1.25,120000,200000,1,critical_strike_lv05|bone_cannon_lv05|death_grenade_lv01,1,,tower_death_warlock_seam_ripper,models/heroes/warlock/warlock.vmdl,particles/units/heroes/hero_warlock/warlock_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +1008101　?? 120000　?? 200000
death_grenade_lv05,death_grenade,death_grenade_lv05,死神榴弹炮LV5,SR,5,10,1508001,1.25,150000,200000,1,critical_strike_lv05|bone_cannon_lv05|death_grenade_lv01,1,,tower_death_warlock_seam_ripper,models/heroes/warlock/warlock.vmdl,particles/units/heroes/hero_warlock/warlock_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +1508101　?? 150000　?? 200000
death_grenade_lv06,death_grenade,death_grenade_lv06,死神榴弹炮LV6,SSR,6,10,2008001,1.25,200000,400000,1,critical_strike_lv05|bone_cannon_lv05|death_grenade_lv01,1,最终阶段LV6开始稀有度变为SSR；技能保持不变。,tower_death_warlock_seam_ripper,models/heroes/warlock/warlock.vmdl,particles/units/heroes/hero_warlock/warlock_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +2008101　?? 200000　?? 400000
death_grenade_lv07,death_grenade,death_grenade_lv07,死神榴弹炮LV7,SSR,7,10,3008001,1.25,250000,500000,1,critical_strike_lv05|bone_cannon_lv05|death_grenade_lv01,1,,tower_death_warlock_seam_ripper,models/heroes/warlock/warlock.vmdl,particles/units/heroes/hero_warlock/warlock_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +3008101　?? 250000　?? 500000
death_grenade_lv08,death_grenade,death_grenade_lv08,死神榴弹炮LV8,SSR,8,10,4008001,1.25,300000,600000,1,critical_strike_lv05|bone_cannon_lv05|death_grenade_lv01,1,,tower_death_warlock_seam_ripper,models/heroes/warlock/warlock.vmdl,particles/units/heroes/hero_warlock/warlock_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +4008101　?? 300000　?? 600000
death_grenade_lv09,death_grenade,death_grenade_lv09,死神榴弹炮LV9,SSR,9,10,5008001,1.25,350000,700000,1,critical_strike_lv05|bone_cannon_lv05|death_grenade_lv01,1,,tower_death_warlock_seam_ripper,models/heroes/warlock/warlock.vmdl,particles/units/heroes/hero_warlock/warlock_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +5008101　?? 350000　?? 700000
death_grenade_lv10,death_grenade,death_grenade_lv10,死神榴弹炮LV10,SSR,10,10,6008001,1.25,400000,800000,1,critical_strike_lv05|bone_cannon_lv05|death_grenade_lv01,1,,tower_death_warlock_seam_ripper,models/heroes/warlock/warlock.vmdl,particles/units/heroes/hero_warlock/warlock_base_attack.vpcf,100000,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +6008101　?? 400000　?? 800000
