record_id,stage_id,tower_id,name,rarity,level,max_level,base_attack_damage,base_attack_speed,upgrade_gold,upgrade_wood,population_cost,skill_ids,enabled,notes,model_asset_id,model_name,projectile_model,projectile_speed,active_skill_ids,upgrade_description
#中文名:记录ID,阶段ID,防御塔ID,名称,稀有度,等级,最高等级,基础攻击力,基础攻速(次/秒),升到本级所需金币,升到本级所需木材,人口消耗,当前生效技能ID列表,是否启用,备注,模型资源ID,模型名称,弹道模型,弹道速度,主动技能ID列表,升级描述
#types:string,string,string,string,string,number,number,number,number,number,number,number,list,boolean,string,string,string,string,number,list,string
lightning_tower_lv01,lightning_tower,lightning_tower_lv01,闪电塔LV1,N,1,5,801,2,20,1000,1,lightning_strike_lv01,1,由上一阶段转职；技能均为被动技能。,tower_lightning_zeus_tempest,models/heroes/zuus/zuus.vmdl,,100000,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +901　?? 20　?? 1000
lightning_tower_lv02,lightning_tower,lightning_tower_lv02,闪电塔LV2,N,2,5,1401,2,50,1500,1,lightning_strike_lv02,1,,tower_lightning_zeus_tempest,models/heroes/zuus/zuus.vmdl,,100000,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +1501　?? 50　?? 1500
lightning_tower_lv03,lightning_tower,lightning_tower_lv03,闪电塔LV3,N,3,5,2001,2,200,2000,1,lightning_strike_lv03,1,,tower_lightning_zeus_tempest,models/heroes/zuus/zuus.vmdl,,100000,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +2101　?? 200　?? 2000
lightning_tower_lv04,lightning_tower,lightning_tower_lv04,闪电塔LV4,N,4,5,3801,2,500,2500,1,lightning_strike_lv04,1,,tower_lightning_zeus_tempest,models/heroes/zuus/zuus.vmdl,,100000,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +3901　?? 500　?? 2500
lightning_tower_lv05,lightning_tower,lightning_tower_lv05,闪电塔LV5,N,5,5,6001,2,1000,3000,1,lightning_strike_lv05,1,,tower_lightning_zeus_tempest,models/heroes/zuus/zuus.vmdl,,100000,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +6101　?? 1000　?? 3000
lightning_magic_tower_lv01,lightning_magic_tower,lightning_magic_tower_lv01,闪电魔塔LV1,R,1,5,12101,2,1000,20000,1,lightning_strike_lv05|lightning_storm_lv01,1,由上一阶段转职；技能均为被动技能。,tower_lightning_leshrac,models/heroes/leshrac/leshrac.vmdl,,100000,ability_upgrade_tower_lv01,升级后攻击力 +12101　?? 1000　?? 20000
lightning_magic_tower_lv02,lightning_magic_tower,lightning_magic_tower_lv02,闪电魔塔LV2,R,2,5,35001,2,2000,40000,1,lightning_strike_lv05|lightning_storm_lv02,1,,tower_lightning_leshrac,models/heroes/leshrac/leshrac.vmdl,,100000,ability_upgrade_tower_lv01,升级后攻击力 +35101　?? 2000　?? 40000
lightning_magic_tower_lv03,lightning_magic_tower,lightning_magic_tower_lv03,闪电魔塔LV3,R,3,5,50001,2,5000,60000,1,lightning_strike_lv05|lightning_storm_lv03,1,,tower_lightning_leshrac,models/heroes/leshrac/leshrac.vmdl,,100000,ability_upgrade_tower_lv01,升级后攻击力 +50101　?? 5000　?? 60000
lightning_magic_tower_lv04,lightning_magic_tower,lightning_magic_tower_lv04,闪电魔塔LV4,R,4,5,75001,2,10000,100000,1,lightning_strike_lv05|lightning_storm_lv04,1,,tower_lightning_leshrac,models/heroes/leshrac/leshrac.vmdl,,100000,ability_upgrade_tower_lv01,升级后攻击力 +75101　?? 10000　?? 100000
lightning_magic_tower_lv05,lightning_magic_tower,lightning_magic_tower_lv05,闪电魔塔LV5,R,5,5,108001,2,20000,100000,1,lightning_strike_lv05|lightning_storm_lv05,1,,tower_lightning_leshrac,models/heroes/leshrac/leshrac.vmdl,,100000,ability_upgrade_tower_lv01,升级后攻击力 +108101　?? 20000　?? 100000
lightning_diffusion_lv01,lightning_diffusion,lightning_diffusion_lv01,雷电扩散LV1,SR,1,10,308001,2,30000,200000,1,lightning_strike_lv05|lightning_storm_lv05|lightning_diffusion_lv01,1,由上一阶段转职；技能均为被动技能。,tower_lightning_razor_voidstorm,models/items/razor/razor_arcana/razor_arcana.vmdl,,100000,ability_upgrade_tower_lv01,升级后攻击力 +308101　?? 30000　?? 200000
lightning_diffusion_lv02,lightning_diffusion,lightning_diffusion_lv02,雷电扩散LV2,SR,2,10,508001,2,60000,200000,1,lightning_strike_lv05|lightning_storm_lv05|lightning_diffusion_lv01,1,,tower_lightning_razor_voidstorm,models/items/razor/razor_arcana/razor_arcana.vmdl,,100000,ability_upgrade_tower_lv01,升级后攻击力 +508101　?? 60000　?? 200000
lightning_diffusion_lv03,lightning_diffusion,lightning_diffusion_lv03,雷电扩散LV3,SR,3,10,808001,2,90000,200000,1,lightning_strike_lv05|lightning_storm_lv05|lightning_diffusion_lv01,1,,tower_lightning_razor_voidstorm,models/items/razor/razor_arcana/razor_arcana.vmdl,,100000,ability_upgrade_tower_lv01,升级后攻击力 +808101　?? 90000　?? 200000
lightning_diffusion_lv04,lightning_diffusion,lightning_diffusion_lv04,雷电扩散LV4,SR,4,10,1008001,2,120000,200000,1,lightning_strike_lv05|lightning_storm_lv05|lightning_diffusion_lv01,1,,tower_lightning_razor_voidstorm,models/items/razor/razor_arcana/razor_arcana.vmdl,,100000,ability_upgrade_tower_lv01,升级后攻击力 +1008101　?? 120000　?? 200000
lightning_diffusion_lv05,lightning_diffusion,lightning_diffusion_lv05,雷电扩散LV5,SR,5,10,1508001,2,150000,200000,1,lightning_strike_lv05|lightning_storm_lv05|lightning_diffusion_lv01,1,,tower_lightning_razor_voidstorm,models/items/razor/razor_arcana/razor_arcana.vmdl,,100000,ability_upgrade_tower_lv01,升级后攻击力 +1508101　?? 150000　?? 200000
lightning_diffusion_lv06,lightning_diffusion,lightning_diffusion_lv06,雷电扩散LV6,SSR,6,10,2008001,2,200000,400000,1,lightning_strike_lv05|lightning_storm_lv05|lightning_diffusion_lv01,1,最终阶段LV6开始稀有度变为SSR；技能保持不变。,tower_lightning_razor_voidstorm,models/items/razor/razor_arcana/razor_arcana.vmdl,,100000,ability_upgrade_tower_lv01,升级后攻击力 +2008101　?? 200000　?? 400000
lightning_diffusion_lv07,lightning_diffusion,lightning_diffusion_lv07,雷电扩散LV7,SSR,7,10,3008001,2,250000,500000,1,lightning_strike_lv05|lightning_storm_lv05|lightning_diffusion_lv01,1,,tower_lightning_razor_voidstorm,models/items/razor/razor_arcana/razor_arcana.vmdl,,100000,ability_upgrade_tower_lv01,升级后攻击力 +3008101　?? 250000　?? 500000
lightning_diffusion_lv08,lightning_diffusion,lightning_diffusion_lv08,雷电扩散LV8,SSR,8,10,4008001,2,300000,600000,1,lightning_strike_lv05|lightning_storm_lv05|lightning_diffusion_lv01,1,,tower_lightning_razor_voidstorm,models/items/razor/razor_arcana/razor_arcana.vmdl,,100000,ability_upgrade_tower_lv01,升级后攻击力 +4008101　?? 300000　?? 600000
lightning_diffusion_lv09,lightning_diffusion,lightning_diffusion_lv09,雷电扩散LV9,SSR,9,10,5008001,2,350000,700000,1,lightning_strike_lv05|lightning_storm_lv05|lightning_diffusion_lv01,1,,tower_lightning_razor_voidstorm,models/items/razor/razor_arcana/razor_arcana.vmdl,,100000,ability_upgrade_tower_lv01,升级后攻击力 +5008101　?? 350000　?? 700000
lightning_diffusion_lv10,lightning_diffusion,lightning_diffusion_lv10,雷电扩散LV10,SSR,10,10,6008001,2,400000,800000,1,lightning_strike_lv05|lightning_storm_lv05|lightning_diffusion_lv01,1,,tower_lightning_razor_voidstorm,models/items/razor/razor_arcana/razor_arcana.vmdl,,100000,ability_upgrade_tower_lv01,升级后攻击力 +6008101　?? 400000　?? 800000
