record_id,stage_id,tower_id,name,rarity,level,max_level,base_attack_damage,base_attack_speed,upgrade_gold,upgrade_wood,population_cost,skill_ids,enabled,notes,model_asset_id,model_name,projectile_model,active_skill_ids,upgrade_description
#中文名:记录ID,阶段ID,防御塔ID,名称,稀有度,等级,最高等级,基础攻击力,基础攻速(次/秒),升到本级所需金币,升到本级所需木材,人口消耗,当前生效技能ID列表,是否启用,备注,模型资源ID,模型名称,弹道模型,主动技能ID列表,升级描述
#types:string,string,string,string,string,number,number,number,number,number,number,number,list,boolean,string,string,string,string,list,string
machine_gun_tower_lv01,machine_gun_tower,machine_gun_tower_lv01,机枪塔LV1,N,1,5,801,1,20,1000,1,machine_gun_lv01,1,由上一阶段转职；技能均为被动技能。,tower_machine_gun_sniper_occultist,models/heroes/sniper/sniper.vmdl,particles/econ/items/sniper/sniper_witch_hunter/sniper_witch_hunter_base_attack.vpcf,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +901　?? 20　?? 1000
machine_gun_tower_lv02,machine_gun_tower,machine_gun_tower_lv02,机枪塔LV2,N,2,5,1401,1,50,1500,1,machine_gun_lv02,1,,tower_machine_gun_sniper_occultist,models/heroes/sniper/sniper.vmdl,particles/econ/items/sniper/sniper_witch_hunter/sniper_witch_hunter_base_attack.vpcf,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +1501　?? 50　?? 1500
machine_gun_tower_lv03,machine_gun_tower,machine_gun_tower_lv03,机枪塔LV3,N,3,5,2001,1,200,2000,1,machine_gun_lv03,1,,tower_machine_gun_sniper_occultist,models/heroes/sniper/sniper.vmdl,particles/econ/items/sniper/sniper_witch_hunter/sniper_witch_hunter_base_attack.vpcf,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +2101　?? 200　?? 2000
machine_gun_tower_lv04,machine_gun_tower,machine_gun_tower_lv04,机枪塔LV4,N,4,5,3801,1,500,2500,1,machine_gun_lv04,1,,tower_machine_gun_sniper_occultist,models/heroes/sniper/sniper.vmdl,particles/econ/items/sniper/sniper_witch_hunter/sniper_witch_hunter_base_attack.vpcf,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +3901　?? 500　?? 2500
machine_gun_tower_lv05,machine_gun_tower,machine_gun_tower_lv05,机枪塔LV5,N,5,5,6001,1,1000,3000,1,machine_gun_lv05,1,,tower_machine_gun_sniper_occultist,models/heroes/sniper/sniper.vmdl,particles/econ/items/sniper/sniper_witch_hunter/sniper_witch_hunter_base_attack.vpcf,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +6101　?? 1000　?? 3000
bounty_machine_gun_lv01,bounty_machine_gun,bounty_machine_gun_lv01,赏金机枪LV1,R,1,5,12101,1,1000,20000,1,machine_gun_lv05|bounty_machine_gun_lv01,1,由上一阶段转职；技能均为被动技能。,tower_machine_gun_bounty_heartless,models/heroes/bounty_hunter/bounty_hunter.vmdl,particles/units/heroes/hero_sniper/sniper_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +12101　?? 1000　?? 20000
bounty_machine_gun_lv02,bounty_machine_gun,bounty_machine_gun_lv02,赏金机枪LV2,R,2,5,35001,1,2000,40000,1,machine_gun_lv05|bounty_machine_gun_lv02,1,,tower_machine_gun_bounty_heartless,models/heroes/bounty_hunter/bounty_hunter.vmdl,particles/units/heroes/hero_sniper/sniper_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +35101　?? 2000　?? 40000
bounty_machine_gun_lv03,bounty_machine_gun,bounty_machine_gun_lv03,赏金机枪LV3,R,3,5,50001,1,5000,60000,1,machine_gun_lv05|bounty_machine_gun_lv03,1,,tower_machine_gun_bounty_heartless,models/heroes/bounty_hunter/bounty_hunter.vmdl,particles/units/heroes/hero_sniper/sniper_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +50101　?? 5000　?? 60000
bounty_machine_gun_lv04,bounty_machine_gun,bounty_machine_gun_lv04,赏金机枪LV4,R,4,5,75001,1,10000,100000,1,machine_gun_lv05|bounty_machine_gun_lv04,1,,tower_machine_gun_bounty_heartless,models/heroes/bounty_hunter/bounty_hunter.vmdl,particles/units/heroes/hero_sniper/sniper_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +75101　?? 10000　?? 100000
bounty_machine_gun_lv05,bounty_machine_gun,bounty_machine_gun_lv05,赏金机枪LV5,R,5,5,108001,1,20000,100000,1,machine_gun_lv05|bounty_machine_gun_lv05,1,,tower_machine_gun_bounty_heartless,models/heroes/bounty_hunter/bounty_hunter.vmdl,particles/units/heroes/hero_sniper/sniper_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +108101　?? 20000　?? 100000
explosive_gatling_lv01,explosive_gatling,explosive_gatling_lv01,爆矢加特林LV1,SR,1,10,308001,1,30000,200000,1,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,由上一阶段转职；技能均为被动技能。,tower_machine_gun_windranger_rising_gale,models/items/windrunner/windrunner_arcana/wr_arcana_base.vmdl,particles/econ/items/windrunner/windranger_arcana/windranger_arcana_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +308101　?? 30000　?? 200000
explosive_gatling_lv02,explosive_gatling,explosive_gatling_lv02,爆矢加特林LV2,SR,2,10,508001,1,60000,200000,1,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,,tower_machine_gun_windranger_rising_gale,models/items/windrunner/windrunner_arcana/wr_arcana_base.vmdl,particles/econ/items/windrunner/windranger_arcana/windranger_arcana_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +508101　?? 60000　?? 200000
explosive_gatling_lv03,explosive_gatling,explosive_gatling_lv03,爆矢加特林LV3,SR,3,10,808001,1,90000,200000,1,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,,tower_machine_gun_windranger_rising_gale,models/items/windrunner/windrunner_arcana/wr_arcana_base.vmdl,particles/econ/items/windrunner/windranger_arcana/windranger_arcana_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +808101　?? 90000　?? 200000
explosive_gatling_lv04,explosive_gatling,explosive_gatling_lv04,爆矢加特林LV4,SR,4,10,1008001,1,120000,200000,1,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,,tower_machine_gun_windranger_rising_gale,models/items/windrunner/windrunner_arcana/wr_arcana_base.vmdl,particles/econ/items/windrunner/windranger_arcana/windranger_arcana_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +1008101　?? 120000　?? 200000
explosive_gatling_lv05,explosive_gatling,explosive_gatling_lv05,爆矢加特林LV5,SR,5,10,1508001,1,150000,200000,1,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,,tower_machine_gun_windranger_rising_gale,models/items/windrunner/windrunner_arcana/wr_arcana_base.vmdl,particles/econ/items/windrunner/windranger_arcana/windranger_arcana_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +1508101　?? 150000　?? 200000
explosive_gatling_lv06,explosive_gatling,explosive_gatling_lv06,爆矢加特林LV6,SSR,6,10,2008001,1,200000,400000,1,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,最终阶段LV6开始稀有度变为SSR；技能保持不变。,tower_machine_gun_windranger_rising_gale,models/items/windrunner/windrunner_arcana/wr_arcana_base.vmdl,particles/econ/items/windrunner/windranger_arcana/windranger_arcana_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +2008101　?? 200000　?? 400000
explosive_gatling_lv07,explosive_gatling,explosive_gatling_lv07,爆矢加特林LV7,SSR,7,10,3008001,1,250000,500000,1,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,,tower_machine_gun_windranger_rising_gale,models/items/windrunner/windrunner_arcana/wr_arcana_base.vmdl,particles/econ/items/windrunner/windranger_arcana/windranger_arcana_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +3008101　?? 250000　?? 500000
explosive_gatling_lv08,explosive_gatling,explosive_gatling_lv08,爆矢加特林LV8,SSR,8,10,4008001,1,300000,600000,1,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,,tower_machine_gun_windranger_rising_gale,models/items/windrunner/windrunner_arcana/wr_arcana_base.vmdl,particles/econ/items/windrunner/windranger_arcana/windranger_arcana_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +4008101　?? 300000　?? 600000
explosive_gatling_lv09,explosive_gatling,explosive_gatling_lv09,爆矢加特林LV9,SSR,9,10,5008001,1,350000,700000,1,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,,tower_machine_gun_windranger_rising_gale,models/items/windrunner/windrunner_arcana/wr_arcana_base.vmdl,particles/econ/items/windrunner/windranger_arcana/windranger_arcana_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +5008101　?? 350000　?? 700000
explosive_gatling_lv10,explosive_gatling,explosive_gatling_lv10,爆矢加特林LV10,SSR,10,10,6008001,1,400000,800000,1,machine_gun_lv05|bounty_machine_gun_lv05|explosive_gatling_lv01,1,,tower_machine_gun_windranger_rising_gale,models/items/windrunner/windrunner_arcana/wr_arcana_base.vmdl,particles/econ/items/windrunner/windranger_arcana/windranger_arcana_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +6008101　?? 400000　?? 800000
