record_id,stage_id,tower_id,name,rarity,level,max_level,base_attack_damage,base_attack_speed,upgrade_gold,upgrade_wood,population_cost,skill_ids,enabled,notes,model_asset_id,model_name,projectile_model,active_skill_ids,upgrade_description
#中文名:记录ID,阶段ID,防御塔ID,名称,稀有度,等级,最高等级,基础攻击力,基础攻速(次/秒),升到本级所需金币,升到本级所需木材,人口消耗,当前生效技能ID列表,是否启用,备注,模型资源ID,模型名称,弹道模型,主动技能ID列表,升级描述
#types:string,string,string,string,string,number,number,number,number,number,number,number,list,boolean,string,string,string,string,list,string
multi_tower_lv01,multi_tower,multi_tower_lv01,多重塔LV1,N,1,5,801,0.934579439252336,20,1000,1,multi_attack_lv01,1,由上一阶段转职；普通攻击弹道与伤害隐藏，仅由分裂箭结算。,tower_multi_medusa_anamnessa,models/heroes/medusa/medusa.vmdl,,ability_upgrade_tower_lv01|ability_upgrade_tower_max|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +901　?? 20　?? 1000
multi_tower_lv02,multi_tower,multi_tower_lv02,多重塔LV2,N,2,5,1401,0.934579439252336,50,1500,1,multi_attack_lv02,1,,tower_multi_medusa_anamnessa,models/heroes/medusa/medusa.vmdl,,ability_upgrade_tower_lv01|ability_upgrade_tower_max|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +1501　?? 50　?? 1500
multi_tower_lv03,multi_tower,multi_tower_lv03,多重塔LV3,N,3,5,2001,0.934579439252336,200,2000,1,multi_attack_lv03,1,,tower_multi_medusa_anamnessa,models/heroes/medusa/medusa.vmdl,,ability_upgrade_tower_lv01|ability_upgrade_tower_max|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +2101　?? 200　?? 2000
multi_tower_lv04,multi_tower,multi_tower_lv04,多重塔LV4,N,4,5,3801,0.934579439252336,500,2500,1,multi_attack_lv04,1,,tower_multi_medusa_anamnessa,models/heroes/medusa/medusa.vmdl,,ability_upgrade_tower_lv01|ability_upgrade_tower_max|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +3901　?? 500　?? 2500
burning_great_arrow_lv01,burning_great_arrow,burning_great_arrow_lv01,炙热巨箭塔LV1,SR,1,10,308001,0.934579439252336,30000,200000,1,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,由上一阶段转职；炙热巨箭弩箭负责主目标，多重攻击只攻击额外目标；普通攻击弹道与伤害隐藏。,tower_multi_vengeful_shen_screeauk,models/items/vengefulspirit/vengeful_spirit_arcana/vengeful_spirit_arcana.vmdl,,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +308101　?? 30000　?? 200000
burning_great_arrow_lv02,burning_great_arrow,burning_great_arrow_lv02,炙热巨箭塔LV2,SR,2,10,508001,0.934579439252336,60000,200000,1,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,,tower_multi_vengeful_shen_screeauk,models/items/vengefulspirit/vengeful_spirit_arcana/vengeful_spirit_arcana.vmdl,,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +508101　?? 60000　?? 200000
burning_great_arrow_lv03,burning_great_arrow,burning_great_arrow_lv03,炙热巨箭塔LV3,SR,3,10,808001,0.934579439252336,90000,200000,1,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,,tower_multi_vengeful_shen_screeauk,models/items/vengefulspirit/vengeful_spirit_arcana/vengeful_spirit_arcana.vmdl,,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +808101　?? 90000　?? 200000
burning_great_arrow_lv04,burning_great_arrow,burning_great_arrow_lv04,炙热巨箭塔LV4,SR,4,10,1008001,0.934579439252336,120000,200000,1,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,,tower_multi_vengeful_shen_screeauk,models/items/vengefulspirit/vengeful_spirit_arcana/vengeful_spirit_arcana.vmdl,,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +1008101　?? 120000　?? 200000
burning_great_arrow_lv05,burning_great_arrow,burning_great_arrow_lv05,炙热巨箭塔LV5,SR,5,10,1508001,0.934579439252336,150000,200000,1,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,,tower_multi_vengeful_shen_screeauk,models/items/vengefulspirit/vengeful_spirit_arcana/vengeful_spirit_arcana.vmdl,,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +1508101　?? 150000　?? 200000
burning_great_arrow_lv06,burning_great_arrow,burning_great_arrow_lv06,炙热巨箭塔LV6,SSR,6,10,2008001,0.934579439252336,200000,400000,1,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,最终阶段LV6开始稀有度变为SSR；炙热巨箭弩箭负责主目标，多重攻击只攻击额外目标。,tower_multi_vengeful_shen_screeauk,models/items/vengefulspirit/vengeful_spirit_arcana/vengeful_spirit_arcana.vmdl,,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +2008101　?? 200000　?? 400000
burning_great_arrow_lv07,burning_great_arrow,burning_great_arrow_lv07,炙热巨箭塔LV7,SSR,7,10,3008001,0.934579439252336,250000,500000,1,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,,tower_multi_vengeful_shen_screeauk,models/items/vengefulspirit/vengeful_spirit_arcana/vengeful_spirit_arcana.vmdl,,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +3008101　?? 250000　?? 500000
burning_great_arrow_lv08,burning_great_arrow,burning_great_arrow_lv08,炙热巨箭塔LV8,SSR,8,10,4008001,0.934579439252336,300000,600000,1,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,,tower_multi_vengeful_shen_screeauk,models/items/vengefulspirit/vengeful_spirit_arcana/vengeful_spirit_arcana.vmdl,,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +4008101　?? 300000　?? 600000
burning_great_arrow_lv09,burning_great_arrow,burning_great_arrow_lv09,炙热巨箭塔LV9,SSR,9,10,5008001,0.934579439252336,350000,700000,1,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,,tower_multi_vengeful_shen_screeauk,models/items/vengefulspirit/vengeful_spirit_arcana/vengeful_spirit_arcana.vmdl,,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +5008101　?? 350000　?? 700000
burning_great_arrow_lv10,burning_great_arrow,burning_great_arrow_lv10,炙热巨箭塔LV10,SSR,10,10,6008001,0.934579439252336,400000,800000,1,multi_attack_lv05|piercing_ballista_lv05|burning_great_arrow_lv01,1,,tower_multi_vengeful_shen_screeauk,models/items/vengefulspirit/vengeful_spirit_arcana/vengeful_spirit_arcana.vmdl,,ability_upgrade_tower_lv01|ability_building_blink|ability_destroy_arrow_tower,升级后攻击力 +6008101　?? 400000　?? 800000
