record_id,stage_id,tower_id,name,rarity,level,max_level,base_attack_damage,base_attack_speed,upgrade_gold,upgrade_wood,population_delta,skill_ids,enabled,notes,model_name,projectile_model,active_skill_ids,upgrade_description
#中文名:记录ID,阶段ID,防御塔ID,名称,稀有度,等级,最高等级,基础攻击力,基础攻速(次/秒),升到本级所需金币,升到本级所需木材,人口增量,当前生效技能ID列表,是否启用,备注,模型名称,弹道模型,主动技能ID列表,升级描述
#types:string,string,string,string,string,number,number,number,number,number,number,number,list,boolean,string,string,string,list,string
mystery_tower_lv01,mystery_tower,mystery_tower_lv01,神秘之塔LV1,N,1,5,901,1,20,1000,1,laser_lv01,1,由上一阶段转职；技能均为被动技能。,models/heroes/keeper_of_the_light/keeper_of_the_light.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +901　💰 20　🌲 1000
mystery_tower_lv02,mystery_tower,mystery_tower_lv02,神秘之塔LV2,N,2,5,1501,1,50,1500,0,laser_lv02,1,,models/heroes/keeper_of_the_light/keeper_of_the_light.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +1501　💰 50　🌲 1500
mystery_tower_lv03,mystery_tower,mystery_tower_lv03,神秘之塔LV3,N,3,5,2101,1,200,2000,0,laser_lv03,1,,models/heroes/keeper_of_the_light/keeper_of_the_light.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +2101　💰 200　🌲 2000
mystery_tower_lv04,mystery_tower,mystery_tower_lv04,神秘之塔LV4,N,4,5,3901,1,500,2500,0,laser_lv04,1,,models/heroes/keeper_of_the_light/keeper_of_the_light.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +3901　💰 500　🌲 2500
mystery_tower_lv05,mystery_tower,mystery_tower_lv05,神秘之塔LV5,N,5,5,6101,1,1000,3000,0,laser_lv05,1,,models/heroes/keeper_of_the_light/keeper_of_the_light.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01|ability_upgrade_tower_max,升级后攻击力 +6101　💰 1000　🌲 3000
arcane_cannon_lv01,arcane_cannon,arcane_cannon_lv01,魔能炮LV1,R,1,5,12101,1,1000,20000,1,laser_lv05|arcane_cannon_lv01,1,由上一阶段转职；技能均为被动技能。,models/heroes/obsidian_destroyer/obsidian_destroyer.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +12101　💰 1000　🌲 20000
arcane_cannon_lv02,arcane_cannon,arcane_cannon_lv02,魔能炮LV2,R,2,5,35101,1,2000,40000,0,laser_lv05|arcane_cannon_lv02,1,,models/heroes/obsidian_destroyer/obsidian_destroyer.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +35101　💰 2000　🌲 40000
arcane_cannon_lv03,arcane_cannon,arcane_cannon_lv03,魔能炮LV3,R,3,5,50101,1,5000,60000,0,laser_lv05|arcane_cannon_lv03,1,,models/heroes/obsidian_destroyer/obsidian_destroyer.vmdl,particles/units/heroes/hero_obsidian_destroyer/obsidian_destroyer_base_attack.vpcf,ability_upgrade_tower_lv01,升级后攻击力 +50101　💰 5000　🌲 60000
