archetype_id,display_name,display_group,rank,unit_name,model_path,normal_flying_model_path,team_name,considered_boss,enabled,model_scale,move_speed,attack_range,movement_type,attack_type,passive_skill_ids,notes,health,attack,armor,attack_speed,minimum_armor,model_asset_id,projectile_model,projectile_speed,default_wearable_asset_id
#中文名:怪物原型ID,显示名称,显示分组,级别,单位名称ID,模型路径,普通飞行怪专用模型路径,队伍名称,是否视为Boss,是否启用,模型缩放,移动速度,攻击距离,移动类型,攻击类型,被动技能ID列表,备注,生命值,攻击力,护甲,每秒攻击次数,最低护甲,模型资源ID,普通攻击弹道,弹道速度,默认英雄穿戴资源ID
#types:string,string,string,enum,string,string,string,string,boolean,boolean,number,number,number,enum,enum,list,string,number,number,number,number,number,string,string,number,string
humanoid_white_melee,白发人形近战怪,normal,normal,npc_survival_wave_named_humanoid_white_melee,models/heroes/undying/undying.vmdl,,DOTA_TEAM_BADGUYS,0,1,1,400,128,ground,melee,,木材练功房采用N1第1波数值,200,2,2,1,,,,,
humanoid_red_axe,红巾人形斧兵,normal,normal,npc_survival_wave_named_humanoid_red_axe,models/heroes/axe/axe.vmdl,,DOTA_TEAM_BADGUYS,0,1,1,400,128,ground,melee,,金币练功房采用N1第2波数值,300,4,3,1,,,,,monster_wave_humanoid_red_axe
skeleton_melee,骷髅面部亡灵近战怪,normal,normal,npc_survival_wave_named_skeleton_melee,models/heroes/clinkz/clinkz.vmdl,,DOTA_TEAM_BADGUYS,0,1,0.9,400,128,ground,melee,,属性练功房采用N1第3波数值,600,18,4,1,,,,,monster_wave_skeleton_melee
orc_large_melee,大型兽人/巨型近战怪,normal,normal,npc_survival_wave_named_orc_large_melee,models/heroes/beastmaster/beastmaster.vmdl,,DOTA_TEAM_BADGUYS,0,1,1.35,400,150,ground,melee,,大属性练功房采用N1第4波数值,10000,242,19,1.2,,,,,monster_wave_orc_large_melee
orc_small_axe,小型兽人斧兵,normal,normal,npc_survival_wave_named_orc_small_axe,models/heroes/ogre_magi/ogre_magi.vmdl,,DOTA_TEAM_BADGUYS,0,1,0.85,400,128,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_orc_small_axe
demon_purple_melee,紫红色恶魔近战怪,normal,normal,npc_survival_wave_named_demon_purple_melee,models/heroes/blood_seeker/blood_seeker.vmdl,,DOTA_TEAM_BADGUYS,0,1,1,400,140,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_demon_purple_melee
boss_dreadlord,恐惧魔王模型首领,boss,boss,npc_survival_wave_monster,models/heroes/abyssal_underlord/abyssal_underlord_v2.vmdl,,DOTA_TEAM_BADGUYS,1,1,1.5,400,236,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_boss_dreadlord
beast_green_large,大型绿色恶魔/兽类近战怪,normal,normal,npc_survival_wave_named_beast_green_large,models/heroes/tidehunter/tidehunter.vmdl,,DOTA_TEAM_BADGUYS,0,1,1.2,400,150,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_beast_green_large
skeleton_bone,白骨亡灵近战怪,normal,normal,npc_survival_wave_named_skeleton_bone,models/heroes/pugna/pugna.vmdl,,DOTA_TEAM_BADGUYS,0,1,0.8,400,128,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_skeleton_bone
flying_red_gargoyle,红翼飞行恶魔/石像鬼类怪,normal,normal,npc_survival_wave_named_flying_red_gargoyle,models/items/dragon_knight/legacy_of_the_winterwyrm_form_of_the_winterwyrm/legacy_of_the_winterwyrm_form_of_the_winterwyrm.vmdl,models/items/dragon_knight/legacy_of_the_winterwyrm_form_of_the_winterwyrm/legacy_of_the_winterwyrm_form_of_the_winterwyrm.vmdl,DOTA_TEAM_BADGUYS,0,1,0.9,400,180,flying,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_flying_red_gargoyle
dragon_red_large,大型红翼飞龙,normal,normal,npc_survival_wave_named_dragon_red_large,models/items/dragon_knight/mh_dragon_knight/mh_dragon_knight_rathalos_capcom.vmdl,models/items/dragon_knight/mh_dragon_knight/mh_dragon_knight_rathalos_capcom.vmdl,DOTA_TEAM_BADGUYS,0,1,1.4,400,180,flying,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_dragon_red_large
dragon_red_small,小型红翼飞龙,normal,normal,npc_survival_wave_named_dragon_red_small,models/items/dragon_knight/fireborn_dragon/fireborn_dragon.vmdl,models/items/dragon_knight/fireborn_dragon/fireborn_dragon.vmdl,DOTA_TEAM_BADGUYS,0,1,0.85,400,160,flying,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_dragon_red_small
orc_brown_large,大型棕色獠牙兽人近战怪,normal,normal,npc_survival_wave_named_orc_brown_large,models/heroes/magnataur/magnataur.vmdl,,DOTA_TEAM_BADGUYS,0,1,1.3,400,150,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_orc_brown_large
orc_brown_small,小型棕色獠牙兽人近战怪,normal,normal,npc_survival_wave_named_orc_brown_small,models/heroes/magnataur/magnataur.vmdl,,DOTA_TEAM_BADGUYS,0,1,0.85,400,128,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_orc_brown_small
flying_green_head,红翼飞行怪（绿色兽头头像）,normal,normal,npc_survival_wave_named_flying_green_head,models/heroes/visage/visage.vmdl,models/heroes/visage/visage.vmdl,DOTA_TEAM_BADGUYS,0,1,0.85,400,180,flying,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_flying_green_head
dragon_purple_large,大型紫色骨翼飞龙,normal,normal,npc_survival_wave_named_dragon_purple_large,models/heroes/viper/viper.vmdl,models/heroes/viper/viper.vmdl,DOTA_TEAM_BADGUYS,0,1,1.35,400,180,flying,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_dragon_purple_large
dragon_purple_small,小型紫色骨翼飞龙,normal,normal,npc_survival_wave_named_dragon_purple_small,models/heroes/viper/viper.vmdl,models/heroes/viper/viper.vmdl,DOTA_TEAM_BADGUYS,0,1,0.85,400,160,flying,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_dragon_purple_small
dwarf_white_rifle,白发矮人枪兵,normal,normal,npc_survival_wave_named_dwarf_white_rifle,models/heroes/hoodwink/hoodwink.vmdl,,DOTA_TEAM_BADGUYS,0,1,0.9,400,600,ground,ranged,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_dwarf_white_rifle
orc_longnose_large,大型长鼻兽人近战怪,normal,normal,npc_survival_wave_named_orc_longnose_large,models/heroes/spirit_breaker/spirit_breaker.vmdl,,DOTA_TEAM_BADGUYS,0,1,1.35,400,150,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_orc_longnose_large
orc_longnose_small,小型长鼻兽人近战怪,normal,normal,npc_survival_wave_named_orc_longnose_small,models/heroes/spirit_breaker/spirit_breaker.vmdl,,DOTA_TEAM_BADGUYS,0,1,0.85,400,128,ground,melee,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_orc_longnose_small
flying_carpet_mage,红色飞毯骑兵/法师,normal,normal,npc_survival_wave_named_flying_carpet_mage,models/heroes/dark_willow/dark_willow.vmdl,models/heroes/dark_willow/dark_willow.vmdl,DOTA_TEAM_BADGUYS,0,1,0.9,400,500,flying,ranged,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_flying_carpet_mage
carpet_red_large,大型红色飞毯骑兵,normal,normal,npc_survival_wave_named_carpet_red_large,models/heroes/dark_willow/dark_willow.vmdl,models/heroes/dark_willow/dark_willow.vmdl,DOTA_TEAM_BADGUYS,0,1,1.3,400,500,flying,ranged,,暂留被动技能接口；模型路径为策划可替换资源名,,,,,,,,,monster_wave_carpet_red_large
