spawn_point_id,hammer_target_name,current_entity_class,recommended_entity_class,team_name,encounter_group,rebirth_level,archetype_id,enabled,notes
#中文名:生成点ID,地图目标名称,当前实体类型,建议实体类型,队伍名称,遭遇组,转生等级,怪物原型ID,是否启用,备注
#types:string,string,enum,enum,string,enum,number,string,boolean,string
spawn_rebirth_01,rebirth_01_boss_spawn,info_target,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,1,rebirth_boss_01,1,一转Boss位置；英雄入口为rebirth_01_entry。
spawn_rebirth_02,rebirth_02_boss_spawn,info_target,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,2,rebirth_boss_02,1,二转Boss位置；英雄入口为rebirth_02_entry。
spawn_rebirth_03,rebirth_03_boss_spawn,info_target,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,3,rebirth_boss_03,1,三转Boss位置；英雄入口为rebirth_03_entry。
spawn_rebirth_04,rebirth_04_boss_spawn,info_target,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,4,rebirth_boss_04,1,四转Boss位置；英雄入口为rebirth_04_entry。
spawn_rebirth_05,rebirth_05_boss_spawn,info_target,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,5,rebirth_boss_05,1,五转Boss位置；英雄入口为rebirth_05_entry。
spawn_rebirth_06,rebirth_06_boss_spawn,info_target,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,6,rebirth_boss_06,1,六转Boss位置；英雄入口为rebirth_06_entry。
spawn_rebirth_07,rebirth_07_boss_spawn,info_target,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,7,rebirth_boss_07,1,七转Boss位置；英雄入口为rebirth_07_entry。
spawn_rebirth_08,rebirth_08_boss_spawn,info_target,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,8,rebirth_boss_08,1,八转Boss位置；英雄入口为rebirth_08_entry。
spawn_rebirth_09,rebirth_09_boss_spawn,info_target,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,9,rebirth_boss_09,1,九转Boss位置；英雄入口为rebirth_09_entry。
spawn_rebirth_10,rebirth_10_boss_spawn,info_target,info_target,DOTA_TEAM_BADGUYS,rebirth_boss,10,rebirth_boss_10,1,十转Boss位置；英雄入口为rebirth_10_entry。
