visual_asset_id,display_name,assembly_mode,model_path,async_unit_name,fallback_visual_asset_id,verified_source,enabled,notes
#中文名:视觉资产ID,显示名称,装配模式,主体模型路径,异步预载代理单位,回退视觉资产ID,验证来源,是否启用,备注
#types:string,string,enum,string,string,string,string,boolean,string
vis_kobold_pack,狗头人群,direct_model,models/creeps/neutral_creeps/n_creep_kobold/kobold_a/n_creep_kobold_a.vmdl,asset_proxy_wave_vis_kobold_pack,,local_pak01_dir_vpk,1,第1波普通怪；本机VPK已确认完整模型
vis_kobold_foreman,狗头人工头,direct_model,models/creeps/neutral_creeps/n_creep_kobold/kobold_c/n_creep_kobold_c.vmdl,asset_proxy_wave_vis_kobold_foreman,vis_kobold_pack,local_pak01_dir_vpk,1,第1波小Boss；本机VPK已确认完整模型
vis_giant_wolf,巨狼,direct_model,models/creeps/neutral_creeps/n_creep_worg_small/n_creep_worg_small.vmdl,asset_proxy_wave_vis_giant_wolf,,local_pak01_dir_vpk,1,第2波普通怪；本机VPK已确认完整模型
vis_alpha_wolf,头狼,direct_model,models/creeps/neutral_creeps/n_creep_worg_large/n_creep_worg_large.vmdl,asset_proxy_wave_vis_alpha_wolf,vis_giant_wolf,local_pak01_dir_vpk,1,第2波小Boss；本机VPK已确认完整模型
vis_centaur_courser,半人马战士,direct_model,models/creeps/neutral_creeps/n_creep_centaur_med/n_creep_centaur_med.vmdl,asset_proxy_wave_vis_centaur_courser,,local_pak01_dir_vpk,1,第3波普通怪；本机VPK已确认完整模型
vis_centaur_conqueror,半人马征服者,direct_model,models/creeps/neutral_creeps/n_creep_centaur_lrg/n_creep_centaur_lrg.vmdl,asset_proxy_wave_vis_centaur_conqueror,vis_centaur_courser,local_pak01_dir_vpk,1,第3波小Boss；本机VPK已确认完整模型
vis_ogre_bruiser,食人魔重兵,direct_model,models/creeps/neutral_creeps/n_creep_ogre_lrg/n_creep_ogre_lrg.vmdl,asset_proxy_wave_vis_ogre_bruiser,,local_pak01_dir_vpk,1,第4波普通怪；本机VPK已确认完整模型
vis_ogre_frostmage,食人魔霜法师,direct_model,models/creeps/neutral_creeps/n_creep_ogre_med/n_creep_ogre_med.vmdl,asset_proxy_wave_vis_ogre_frostmage,vis_ogre_bruiser,local_pak01_dir_vpk,1,第4波辅助候选；混编比例批准前不启用实例分配
vis_hellbear,地狱熊,direct_model,models/creeps/neutral_creeps/n_creep_furbolg/n_creep_furbolg_disrupter.vmdl,asset_proxy_wave_vis_hellbear,,local_pak01_dir_vpk,1,第5波普通怪；本机VPK仅确认这一套自包含地狱熊主体
vis_hellbear_smasher,地狱熊粉碎者,direct_model,models/creeps/neutral_creeps/n_creep_furbolg/n_creep_furbolg_disrupter.vmdl,asset_proxy_wave_vis_hellbear,vis_hellbear,local_pak01_dir_vpk,1,第5波小Boss；与普通型共享主体并由波次缩放区分
vis_spirit_bear_boss,荒原巨灵熊,direct_model,models/heroes/lone_druid/spirit_bear.vmdl,asset_proxy_wave_vis_spirit_bear_boss,vis_hellbear_smasher,local_pak01_dir_vpk,1,第5波阶段Boss；本机VPK已确认独立召唤物模型
