wave_id,difficulty_id,wave_number,batch_id,spawn_order,archetype_id,monster_count,wait_seconds,spawn_interval,attack_speed,health,attack,armor,is_boss,boss_warning,enabled,member_role,movement_type_override,model_scale_multiplier,notes
#中文名:波次ID,难度ID,波次编号,批次ID,出怪顺序,怪物原型ID,数量,波前等待秒数,批次间隔秒数,攻击间隔,生命值,攻击力,护甲,是否Boss,Boss预警,是否启用,成员角色,移动类型覆盖,模型缩放倍率,备注
#types:string,string,number,string,number,string,number,number,number,number,number,number,number,boolean,boolean,boolean,enum,enum,number,string
n1_wave_01_1a,N1,1,1N1,1,humanoid_white_melee,9,90,1,1,200,2,2,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_02_2a,N1,2,2N1,2,humanoid_red_axe,11,90,1,1,300,4,3,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_03_3a,N1,3,3N1,3,skeleton_melee,7,90,1,1,600,18,4,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_04_4a,N1,4,4N1,4,orc_large_melee,1,90,1,1.2,1000,62,9,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_04_4b,N1,4,4N2,5,orc_small_axe,9,90,1,1,1000,62,9,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_05_5l,N1,5,5L,6,demon_purple_melee,1,90,1,1.1,2000,202,9,0,0,1,wave_leader,,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：出怪顺序确认；同LV面板
n1_wave_05_5a,N1,5,5N1,7,demon_purple_melee,8,90,1,1.1,2000,202,9,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_05_5b,N1,5,5B,8,boss_dreadlord,1,90,1,1.5,20000,1302,17,1,1,1,assault_boss,flying,1,N1工作簿进攻Boss；独立assault_boss身份；证据：面板确认
n1_wave_06_6l,N1,6,6L,9,humanoid_white_melee,1,90,1,1,40000,1762,23,0,0,1,wave_leader,,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：面板确认
n1_wave_06_6a,N1,6,6N1,10,humanoid_white_melee,8,90,1,1,4000,442,11,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；同波低护甲组合；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_07_7l,N1,7,7L,11,humanoid_red_axe,1,90,1,1,60000,3202,47,0,0,1,wave_leader,,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：面板确认
n1_wave_07_7a,N1,7,7N1,12,humanoid_red_axe,8,90,1,1,6000,802,23,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_08_8l,N1,8,8L,13,flying_red_gargoyle,1,90,1,1.1,80000,3602,71,0,0,1,wave_leader,flying,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：面板确认
n1_wave_08_8a,N1,8,8N1,14,skeleton_melee,3,90,1,1,8000,902,29,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；同波低护甲组合；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_08_8n2,N1,8,8N2,15,flying_red_gargoyle,5,90,1,1.1,8000,902,29,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；同波低护甲组合；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_09_9l,N1,9,9L,16,orc_large_melee,1,90,1,1.2,100000,4802,71,0,0,1,wave_leader,,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：面板确认
n1_wave_09_9a,N1,9,9N1,17,orc_large_melee,1,90,1,1.2,10000,1202,35,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_09_9b,N1,9,9N2,18,orc_small_axe,7,90,1,1,10000,1202,35,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_10_10l,N1,10,10L,19,demon_purple_melee,1,90,1,1.1,14000,1602,41,0,0,1,wave_leader,,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：出怪顺序确认；同LV面板
n1_wave_10_10a,N1,10,10N1,20,demon_purple_melee,8,90,1,1.1,14000,1602,41,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_10_10b,N1,10,10B,21,boss_dreadlord,1,90,1,1.5,60000,8002,477,1,1,1,assault_boss,flying,1,N1工作簿进攻Boss；独立assault_boss身份；证据：面板确认
n1_wave_11_11l,N1,11,11L,22,beast_green_large,1,90,1,1.2,200000,8002,95,0,0,1,wave_leader,,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：面板确认
n1_wave_11_11a,N1,11,11N1,23,beast_green_large,2,90,1,1.2,20000,2002,47,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_11_11b,N1,11,11N2,24,skeleton_bone,6,90,1,1,20000,2002,47,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_12_12l,N1,12,12L,25,dragon_red_large,1,90,1,1.2,240000,4802,107,0,0,1,wave_leader,flying,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：面板确认
n1_wave_12_12a,N1,12,12N1,26,dragon_red_large,1,90,1,1.2,24000,1202,53,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_12_12b,N1,12,12N2,27,dragon_red_small,6,90,1,1.1,24000,1202,53,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_13_13l,N1,13,13L,28,flying_green_head,1,90,1,1.1,600000,11208,141,0,0,1,wave_leader,flying,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：面板确认
n1_wave_13_13a,N1,13,13N1,29,orc_brown_large,2,90,1,1.2,60000,2802,71,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；同波逐项最低值；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_13_13b,N1,13,13N2,30,orc_brown_small,4,90,1,1,60000,2802,71,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；同波逐项最低值；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_13_13c,N1,13,13N3,31,flying_green_head,2,90,1,1.1,60000,2802,71,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；同波逐项最低值；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_14_14l,N1,14,14L,32,dragon_purple_large,1,90,1,1.2,400000,4002,167,0,0,1,wave_leader,flying,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：面板确认
n1_wave_14_14a,N1,14,14N1,33,dragon_purple_large,1,90,1,1.2,40000,1002,83,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；同波逐项最低值；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_14_14b,N1,14,14N2,34,dragon_purple_small,6,90,1,1.1,40000,1002,83,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；同波逐项最低值；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_15_15l,N1,15,15L,35,dwarf_white_rifle,1,90,1,1.4,80000,6002,95,0,0,1,wave_leader,,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：出怪顺序确认；同LV面板
n1_wave_15_15a,N1,15,15N1,36,dwarf_white_rifle,8,90,1,1.4,80000,6002,95,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_15_15b,N1,15,15B,37,boss_twinblade_demon,1,90,1,1.4,300000,30002,1197,1,1,1,assault_boss,flying,1,N1工作簿进攻Boss；独立assault_boss身份；证据：面板确认
n1_wave_16_16l,N1,16,16L,38,flying_carpet_mage,1,90,1,1.5,1000000,32002,239,0,0,1,wave_leader,flying,1.15,N1工作簿首怪Boss；独立wave_leader身份；模型略大；证据：面板确认
n1_wave_16_16a,N1,16,16N1,39,orc_longnose_large,1,90,1,1.3,100000,8002,119,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_16_16b,N1,16,16N2,40,orc_longnose_small,5,90,1,1.1,100000,8002,119,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；按真实LV/出怪顺序归位；各属性分别取同波最低值
n1_wave_16_16c,N1,16,16N3,41,flying_carpet_mage,2,90,1,1.5,100000,8002,119,0,0,1,normal,,1,N1工作簿数量与同波最低属性；保留现有模型映射；证据：面板确认；按真实LV/出怪顺序归位；各属性分别取同波最低值
