item_id,display_name,item_type,duration_type,duration_text,description,quality,icon_type,icon,duplicate_points,exchange_points,exchange_enabled,effect_ids,effect_values,effect_status,source_row,enabled,review_status,notes
#中文名:道具ID,显示名称,类型,期限类型,期限显示,效果简介,品质,图标类型,图标,重复分解积分,兑换积分,允许积分兑换,增益字段ID数组,增益数值数组,效果实现状态,来源行,是否启用,审核状态,备注
#types:string,string,string,string,string,string,string,string,string,number,number,boolean,list,list,string,number,boolean,string,string
lottery_attribute_crystal,属性结晶,积分道具,permanent,永久,英雄全属性+50,n,item,item_daedalus,5,188,1,hero_initial_attributes,50,implemented,5,1,ok,
lottery_protection_crystal,防护结晶,积分道具,permanent,永久,墙护甲+2,n,item,item_crimson_guard,5,188,1,wall_armor,2,implemented,6,1,ok,
lottery_nature_crystal,自然结晶,积分道具,permanent,永久,伐木速度+2%,n,item,item_ogre_axe,5,188,1,lumberjack_attack_speed_bonus_pct,2,implemented,7,1,ok,
lottery_bombardment_crystal,炮击结晶,积分道具,permanent,永久,塔攻击+30,n,item,item_daedalus,5,188,1,tower_attack_flat,30,implemented,8,1,needs_confirmation,原表标记低置信；名称与静态数值已按当前工作簿录入。
lottery_recovery_crystal,回复结晶,积分道具,permanent,永久,墙每秒回血+5,n,item,item_crimson_guard,5,188,1,wall_health_regen_per_second,5,implemented,9,1,ok,
lottery_resistance_crystal,抵抗结晶,积分道具,permanent,永久,墙伤害格挡+10,n,item,item_crimson_guard,5,188,1,wall_damage_block,10,implemented,10,1,ok,
lottery_expansion_crystal,膨胀结晶,积分道具,permanent,永久,墙每秒生命+1,n,item,item_crimson_guard,5,188,1,wall_health_per_second,1,implemented,11,1,ok,
lottery_shooting_crystal,射击结晶,积分道具,permanent,永久,塔攻击力+50,n,item,item_daedalus,5,188,1,tower_attack_flat,50,implemented,12,1,ok,
lottery_wealth_crystal,财富结晶,积分道具,permanent,永久,金矿效率+2%,n,item,item_ogre_axe,5,188,1,gold_mine_efficiency_pct,2,implemented,13,1,ok,
lottery_lumber_crystal,伐木结晶,积分道具,permanent,永久,开局木材+30,n,item,item_ogre_axe,5,188,1,initial_wood,30,implemented,14,1,ok,
lottery_recovery_spirit,回复精神,积分道具,permanent,永久,墙每秒回血+10,n,item,item_crimson_guard,5,188,1,wall_health_regen_per_second,10,implemented,15,1,ok,
lottery_life_spirit,生命精神,积分道具,permanent,永久,墙生命值+1000,r,item,item_crimson_guard,25,588,1,wall_initial_health,1000,implemented,16,1,ok,
lottery_nature_spirit,自然精神,积分道具,permanent,永久,每秒木材+1,r,item,item_ogre_axe,25,588,1,wood_per_second,1,implemented,17,1,ok,
lottery_sharp_spirit,锋锐精神,积分道具,permanent,永久,防御塔攻击+100,r,item,item_mjollnir,25,588,1,tower_attack_flat,100,implemented,18,1,ok,
lottery_divine_spirit,神赐精神,积分道具,permanent,永久,金矿收益+3（不叠加任何加成）,r,item,item_ogre_axe,25,588,1,gold_mine_final_output_flat,3,implemented,19,1,ok,
lottery_universal_tool,万能工具,积分道具,permanent,永久,伐木工攻速+3% 金矿效率+3% 星悦积分+10,sr,item,item_ogre_axe,100,1288,1,lumberjack_attack_speed_bonus_pct|gold_mine_efficiency_pct,3|3,implemented,20,1,ok,
lottery_gale_bow,疾风弓,积分道具,permanent,永久,英雄攻速+5% 最终伤害+5% 星悦积分+10,sr,item,item_daedalus,100,1288,1,hero_attack_speed_bonus_pct|hero_final_damage_bonus_pct,5|5,implemented,21,1,ok,
lottery_swift_emblem,快速纹章,积分道具,permanent,永久,箭塔攻速+5% 箭塔最终伤害+5% 星悦积分+10,sr,item,item_mjollnir,100,1288,1,tower_attack_speed_bonus_pct|tower_final_damage_bonus_pct,5|5,implemented,22,1,ok,
lottery_quick_dry_cement,速干水泥,积分道具,permanent,永久,箭塔每秒攻击+1 英雄每秒属性+1 星悦积分+10,sr,item,item_mjollnir,100,1288,1,tower_attack_per_second|hero_attributes_per_second,1|1,implemented,23,1,needs_confirmation,原表标记低置信；名称与静态数值已按当前工作簿录入。
lottery_windspeed_bowstring,风速弓弦,积分道具,permanent,永久,英雄攻速+5% 箭塔攻速+5% 星悦积分+10,sr,item,item_mjollnir,100,1288,1,hero_attack_speed_bonus_pct|tower_attack_speed_bonus_pct,5|5,implemented,24,1,ok,
lottery_hippogryph_onslaught,角鹰魔攻,积分道具,permanent,永久,英雄攻击加成+3% 英雄三围加成+3% 星悦积分+20,ssr,item,item_daedalus,400,2388,1,hero_attack_bonus_pct|hero_attribute_bonus_pct,3|3,implemented,25,1,needs_confirmation,原表标记低置信；名称与静态数值已按当前工作簿录入。
lottery_soul_devouring_blade,噬魂灵剑,积分道具,permanent,永久,英雄造成伤害加攻击+2 英雄造成伤害加三围+1 星悦积分+20,ssr,item,item_daedalus,400,2388,1,hero_damage_attack_growth|hero_attributes_per_damage,2|1,implemented,26,1,ok,
lottery_tower_retrofit,箭塔改造,积分道具,permanent,永久,箭塔攻速+20% 箭塔每秒攻击+2 箭塔攻击加成+5% 星悦 积分+20,ssr,item,item_mjollnir,400,2388,1,tower_attack_speed_bonus_pct|tower_attack_per_second|tower_attack_bonus_pct,20|2|5,implemented,27,1,ok,
lottery_steel_wall,钢铁城墙,积分道具,permanent,永久,墙生命+3000 墙护甲+10 墙每秒生命+5 墙生命加成+5% 星悦积分+20,ssr,item,item_crimson_guard,400,2388,1,wall_initial_health|wall_armor|wall_health_per_second|wall_health_bonus_pct,3000|10|5|5,implemented,28,1,ok,
lottery_gathering_grimoire,采集秘典,积分道具,permanent,永久,伐木效率+1 人口+1 伐木工攻速+5% 星悦积分+20,ssr,item,item_ogre_axe,400,2388,1,lumberjack_efficiency|initial_population_cap|lumberjack_attack_speed_bonus_pct,1|1|5,implemented,29,1,ok,
lottery_gathering_divine_codex,采集神典,积分道具,permanent,永久,每秒金币+2 伐木效率+2 伐木工攻击间隔-0.02 墙每秒生命+30 墙伤害减免+3%星悦积分+30,ssr,item,item_crimson_guard,400,2388,1,gold_per_second|lumberjack_efficiency|lumberjack_attack_interval_reduction|wall_health_per_second|wall_damage_reduction_pct,2|2|0.02|30|3,implemented,30,1,ok,
