profile_id,difficulty_id,member_id,health,attack,war3_armor,evidence_status,source,notes,enabled
#中文名:配置ID,难度ID,遭遇成员ID,生命值,攻击力,War3护甲,证据状态,来源,备注,是否启用
#types:string,string,string,number,number,number,string,string,string,boolean
N1_practice_wood,N1,practice_wood,60000,10000,50,用户截图,N1四个练功房属性,木头怪；独立练功房目标,1
N1_practice_gold,N1,practice_gold,1000000,500000,50,用户截图,N1四个练功房属性,金币怪；独立练功房目标,1
N1_practice_attribute,N1,practice_attribute,1777780,1000000,200,用户截图,N1四个练功房属性,属性怪；独立练功房目标,1
N1_practice_greater_attribute,N1,practice_greater_attribute,5777780,3777776,888,用户截图,N1四个练功房属性,大属性怪；独立练功房目标,1
N2_practice_wood,N2,practice_wood,75000,11000,100,用户截图,N2四个练功房属性,木头怪；独立练功房目标,1
N2_practice_gold,N2,practice_gold,1250000,550000,100,用户截图,N2四个练功房属性,金币怪；独立练功房目标,1
N2_practice_attribute,N2,practice_attribute,2222225,1100000,400,用户截图,N2四个练功房属性,属性怪；独立练功房目标,1
N2_practice_greater_attribute,N2,practice_greater_attribute,7222225,4155554,1776,用户截图,N2四个练功房属性,大属性怪；独立练功房目标,1
N3_practice_wood,N3,practice_wood,90000,12000,100,用户截图,N3四个练功房属性,木头怪；独立练功房目标,1
N3_practice_gold,N3,practice_gold,1500000,600000,100,用户截图,N3四个练功房属性,金币怪；独立练功房目标,1
N3_practice_attribute,N3,practice_attribute,2666670,1200000,400,用户截图,N3四个练功房属性,属性怪；独立练功房目标,1
N3_practice_greater_attribute,N3,practice_greater_attribute,8666670,4533331,1776,用户截图,N3四个练功房属性,大属性怪；独立练功房目标,1
N4_practice_wood,N4,practice_wood,105000,13000,100,用户截图,N4四个练功房属性,木头怪；第30波后独立选中,1
N4_practice_gold,N4,practice_gold,1750000,650000,100,用户截图,N4四个练功房属性,金币怪；第30波后独立选中,1
N4_practice_attribute,N4,practice_attribute,3111115,1300000,400,用户截图,N4四个练功房属性,属性怪；面板以万为单位显示,1
N4_practice_greater_attribute,N4,practice_greater_attribute,10111115,4911109,1776,用户截图,N4四个练功房属性,大属性怪；面板以万为单位显示,1
N5_practice_wood,N5,practice_wood,15000,14000,125,用户截图,N5四个练功房属性,木头怪；截图明确显示生命1.500万,1
N5_practice_gold,N5,practice_gold,2500000,700000,125,用户截图,N5四个练功房属性,金币怪；截图明确显示生命250.000万,1
N5_practice_attribute,N5,practice_attribute,4444440,4000000,500,用户截图,N5四个练功房属性,属性怪；截图注明未受单位显示精度限制,1
N5_practice_greater_attribute,N5,practice_greater_attribute,4444440,5288887,2220,用户截图,N5四个练功房属性,大属性怪；截图注明当前生命已受伤,1
N1_challenge_05_boss,N1,challenge_05_boss,100000,4000,300,面板确认,特殊目标对照,合成宝石（宝石Boss）,1
N2_challenge_05_boss,N2,challenge_05_boss,12500,4400,600,待确认,特殊目标对照,合成宝石（宝石Boss）,1
N3_challenge_05_boss,N3,challenge_05_boss,15000,4800,600,待确认,特殊目标对照,合成宝石（宝石Boss）,1
N4_challenge_05_boss,N4,challenge_05_boss,175000,5200,600,面板确认,特殊目标对照,合成宝石（宝石Boss）,1
N5_challenge_05_boss,N5,challenge_05_boss,250000,5600,750,面板确认,特殊目标对照,合成宝石（宝石Boss）,1
N1_challenge_06_ice_wraith,N1,challenge_06_ice_wraith,40000,6000,300,面板确认,特殊目标对照,冰之幽魂（小极地晶石小怪）,1
N2_challenge_06_ice_wraith,N2,challenge_06_ice_wraith,50000,6600,600,面板确认,特殊目标对照,冰之幽魂（小极地晶石小怪）,1
N3_challenge_06_ice_wraith,N3,challenge_06_ice_wraith,60000,7200,600,规律推定,特殊目标对照,冰之幽魂（小极地晶石小怪）,1
N4_challenge_06_ice_wraith,N4,challenge_06_ice_wraith,70000,7800,600,面板确认,特殊目标对照,冰之幽魂（小极地晶石小怪）,1
N5_challenge_06_ice_wraith,N5,challenge_06_ice_wraith,100000,8400,750,面板确认,特殊目标对照,冰之幽魂（小极地晶石小怪）,1
N1_challenge_07_molten_minion,N1,challenge_07_molten_minion,240000,16000,300,面板确认,特殊目标对照,概率掉落熔火核心,1
N2_challenge_07_molten_minion,N2,challenge_07_molten_minion,300000,17600,600,面板确认,特殊目标对照,概率掉落熔火核心,1
N3_challenge_07_molten_minion,N3,challenge_07_molten_minion,360000,19200,600,规律推定,特殊目标对照,概率掉落熔火核心,1
N4_challenge_07_molten_minion,N4,challenge_07_molten_minion,420000,20800,600,面板确认,特殊目标对照,概率掉落熔火核心,1
N5_challenge_07_molten_minion,N5,challenge_07_molten_minion,600000,22400,750,面板确认,特殊目标对照,概率掉落熔火核心,1
