location_id,location_set_id,sequence_index,entry_target_name,home_target_name,spawn_target_names,room_radius,next_location_id,enabled,notes
#中文名:地点ID,地点集合ID,顺序,进入点名称,回归点名称,生成点名称列表,房间半径,下一地点ID,是否启用,备注
#types:string,string,number,string,string,list,number,string,boolean,string
challenge_01_room,wood_room,1,challenge_01_entry,challenge_01_home,challenge_01_spawn_01|challenge_01_spawn_02|challenge_01_spawn_03|challenge_01_spawn_04|challenge_01_spawn_05|challenge_01_spawn_06|challenge_01_spawn_07|challenge_01_spawn_08,1000,,1,木材练功房
challenge_02_room,gold_room,1,challenge_02_entry,challenge_02_home,challenge_02_spawn_01|challenge_02_spawn_02|challenge_02_spawn_03|challenge_02_spawn_04|challenge_02_spawn_05|challenge_02_spawn_06|challenge_02_spawn_07|challenge_02_spawn_08,1000,,1,金币练功房
challenge_03_room,attribute_room,1,challenge_03_entry,challenge_03_home,challenge_03_spawn_01|challenge_03_spawn_02|challenge_03_spawn_03|challenge_03_spawn_04|challenge_03_spawn_05|challenge_03_spawn_06|challenge_03_spawn_07|challenge_03_spawn_08,1000,,1,属性练功房
challenge_04_room,greater_attribute_room,1,challenge_04_entry,challenge_04_home,challenge_04_spawn_01|challenge_04_spawn_02|challenge_04_spawn_03|challenge_04_spawn_04|challenge_04_spawn_05|challenge_04_spawn_06|challenge_04_spawn_07|challenge_04_spawn_08,1000,,1,大属性练功房
challenge_05_room,synthesis_gem_room,1,challenge_05_entry,challenge_05_home,challenge_05_boss_spawn,1200,,1,合成宝石Boss房
challenge_06_room,ice_room,1,challenge_06_entry,challenge_06_home,challenge_06_boss_spawn,1200,,1,冰霜之地
challenge_07_room,molten_core_low_room,1,challenge_07_entry,challenge_07_home,challenge_07_boss_spawn,1200,,1,熔火核心低阶房
challenge_08_room,molten_core_high_room,1,challenge_08_entry,challenge_08_home,challenge_08_boss_spawn,1200,,1,熔火核心高阶房
challenge_09_room,ice_ember_room,1,challenge_09_entry,challenge_09_home,challenge_09_boss_spawn,1200,,1,冰烬挽歌Boss房
challenge_10_room,seven_sins,1,challenge_10_stage_01_entry,challenge_10_stage_01_spawn,challenge_10_stage_01_spawn,1200,,1,七宗罪共用一个生成位置；兼容现有第一层地图标记。
challenge_11_room,ten_sins,1,challenge_11_stage_01_entry,challenge_11_stage_01_spawn,challenge_11_stage_01_spawn|challenge_11_stage_02_spawn|challenge_11_stage_03_spawn|challenge_11_stage_04_spawn|challenge_11_stage_05_spawn|challenge_11_stage_06_spawn|challenge_11_stage_07_spawn|challenge_11_stage_08_spawn|challenge_11_stage_09_spawn|challenge_11_stage_10_spawn,2400,,1,十宗罪共用一个挑战区域并使用10个固定位置；兼容现有十层地图标记。
rebirth_01_room,rebirth_01,1,rebirth_01_entry,rebirth_01_boss_spawn,rebirth_01_boss_spawn,1200,,1,一转挑战
rebirth_02_room,rebirth_02,1,rebirth_02_entry,rebirth_02_boss_spawn,rebirth_02_boss_spawn,1200,,1,二转挑战
rebirth_03_room,rebirth_03,1,rebirth_03_entry,rebirth_03_boss_spawn,rebirth_03_boss_spawn,1200,,1,三转挑战
rebirth_04_room,rebirth_04,1,rebirth_04_entry,rebirth_04_boss_spawn,rebirth_04_boss_spawn,1200,,1,四转挑战
rebirth_05_room,rebirth_05,1,rebirth_05_entry,rebirth_05_boss_spawn,rebirth_05_boss_spawn,1200,,1,五转挑战
rebirth_06_room,rebirth_06,1,rebirth_06_entry,rebirth_06_boss_spawn,rebirth_06_boss_spawn,1200,,1,六转挑战
rebirth_07_room,rebirth_07,1,rebirth_07_entry,rebirth_07_boss_spawn,rebirth_07_boss_spawn,1200,,1,七转挑战
rebirth_08_room,rebirth_08,1,rebirth_08_entry,rebirth_08_boss_spawn,rebirth_08_boss_spawn,1200,,1,八转挑战
rebirth_09_room,rebirth_09,1,rebirth_09_entry,rebirth_09_boss_spawn,rebirth_09_boss_spawn,1200,,1,九转挑战
rebirth_10_room,rebirth_10,1,rebirth_10_entry,rebirth_10_boss_spawn,rebirth_10_boss_spawn,1200,,1,十转挑战
endless_cycle_sanctum,endless_cycle_sanctum,1,endless_cycle_sanctum_entry,endless_cycle_sanctum_home,endless_cycle_sanctum_target,1200,,1,无尽年轮圣殿；地图专用点缺失时由服务回退到祭坛动作表配置点。
shadow_realm_forecourt,shadow_realm_forecourt,1,shadow_realm_forecourt_entry,shadow_realm_forecourt_home,,1200,,1,暗影界前庭；当前版本仅开放传送。
