source_type,source_id,encounter_id,reward_profile_id,spawn_point_id,visible_condition,purchasable_condition,enabled,notes
#中文名:来源类型,来源ID,遭遇ID,奖励方案ID,生成点ID,显示条件,可购买条件,是否启用,备注
#types:enum,string,string,string,string,string,string,boolean,string
wild_boss,monsterorn,encounter_wild_boss,reward_wild_boss_default,spawn_wild_boss,true,active_count(encounter_wild_boss)<1,1,野外Boss暂未绑定商店项目。
challenge,challenge_01,,reward_practice_wood_100,,altar_used==true,challenge_room_active==true,1,练功房出生点尚未提供；奖励配置已完成。
challenge,challenge_02,,reward_practice_gold_100,,altar_used==true,challenge_room_active==true,1,练功房出生点尚未提供；奖励配置已完成。
challenge,challenge_03,,reward_practice_attribute_10,,altar_used==true,challenge_room_active==true,1,练功房出生点尚未提供；奖励配置已完成。
challenge,challenge_04,,reward_practice_attribute_100_gold_1000,,altar_used==true,challenge_room_active==true,1,练功房出生点尚未提供；奖励配置已完成。
rebirth,rebirth_challenge_01,encounter_rebirth_01,reward_rebirth_01,spawn_rebirth_01,altar_used==true,hero_rebirth_level==0 and active_count(encounter_rebirth_01)<1,1,商店点击后只发送entry_id；服务器根据此映射决定位置、Boss模板和奖励。
rebirth,rebirth_challenge_02,encounter_rebirth_02,reward_rebirth_02,spawn_rebirth_02,altar_used==true,hero_rebirth_level==1 and active_count(encounter_rebirth_02)<1,1,商店点击后只发送entry_id；服务器根据此映射决定位置、Boss模板和奖励。
rebirth,rebirth_challenge_03,encounter_rebirth_03,reward_rebirth_03,spawn_rebirth_03,altar_used==true,hero_rebirth_level==2 and active_count(encounter_rebirth_03)<1,1,商店点击后只发送entry_id；服务器根据此映射决定位置、Boss模板和奖励。
rebirth,rebirth_challenge_04,encounter_rebirth_04,reward_rebirth_04,spawn_rebirth_04,altar_used==true,hero_rebirth_level==3 and active_count(encounter_rebirth_04)<1,1,商店点击后只发送entry_id；服务器根据此映射决定位置、Boss模板和奖励。
rebirth,rebirth_challenge_05,encounter_rebirth_05,reward_rebirth_05,spawn_rebirth_05,altar_used==true,hero_rebirth_level==4 and active_count(encounter_rebirth_05)<1,1,商店点击后只发送entry_id；服务器根据此映射决定位置、Boss模板和奖励。
rebirth,rebirth_challenge_06,encounter_rebirth_06,reward_rebirth_06,spawn_rebirth_06,altar_used==true,hero_rebirth_level==5 and active_count(encounter_rebirth_06)<1,1,商店点击后只发送entry_id；服务器根据此映射决定位置、Boss模板和奖励。
rebirth,rebirth_challenge_07,encounter_rebirth_07,reward_rebirth_07,spawn_rebirth_07,altar_used==true,hero_rebirth_level==6 and active_count(encounter_rebirth_07)<1,1,商店点击后只发送entry_id；服务器根据此映射决定位置、Boss模板和奖励。
rebirth,rebirth_challenge_08,encounter_rebirth_08,reward_rebirth_08,spawn_rebirth_08,altar_used==true,hero_rebirth_level==7 and active_count(encounter_rebirth_08)<1,1,商店点击后只发送entry_id；服务器根据此映射决定位置、Boss模板和奖励。
rebirth,rebirth_challenge_09,encounter_rebirth_09,reward_rebirth_09,spawn_rebirth_09,altar_used==true,hero_rebirth_level==8 and active_count(encounter_rebirth_09)<1,1,商店点击后只发送entry_id；服务器根据此映射决定位置、Boss模板和奖励。
rebirth,rebirth_challenge_10,encounter_rebirth_10,reward_rebirth_10,spawn_rebirth_10,altar_used==true,hero_rebirth_level==9 and active_count(encounter_rebirth_10)<1,1,商店点击后只发送entry_id；服务器根据此映射决定位置、Boss模板和奖励。
