effect_id,reward_profile_id,sort_order,effect_type,value,value_secondary,value_text,target,stack_mode,server_handler,client_field,enabled,notes
#中文名:效果ID,奖励方案ID,排序,效果类型,数值,次要数值,数值文本,目标,叠加方式,服务端处理器,客户端字段,是否启用,备注
#types:string,string,number,enum,number,number,string,enum,enum,string,string,boolean,string
effect_0001,reward_practice_wood_100,10,add_wood,100,,,player_team,add,resource_system,wood,1,
effect_0002,reward_practice_gold_100,10,add_gold,100,,,player_team,add,resource_system,gold,1,
effect_0003,reward_practice_attribute_10,10,add_all_attributes,100,,,player_hero,add,hero_progression_system,all_attributes,1,
effect_0004,reward_practice_attribute_100_gold_1000,10,add_all_attributes,1000,,,player_hero,add,hero_progression_system,all_attributes,1,
effect_0005,reward_practice_attribute_100_gold_1000,20,add_gold,1000,,,player_team,add,resource_system,gold,0,按当前需求停用大属性练功房额外金币奖励。
effect_0006,reward_rebirth_01,10,set_rebirth_level,1,,,player_hero,max,hero_progression_system,rebirth_level,1,
effect_0007,reward_rebirth_01,20,grant_exclusive_skill,1,,英雄专属技能,player_hero,unique,hero_skill_reward_adapter,skill_reward,1,具体专属技能ID需要英雄技能配置表提供。
effect_0008,reward_rebirth_01,30,add_all_attributes,2000,,,player_hero,add,hero_progression_system,all_attributes,1,
effect_0009,reward_rebirth_01,40,add_attack_all_attribute_gain,1,,,player_hero,add,hero_progression_system,attack_all_attribute_gain,1,表示英雄每次攻击增加的全属性数值；实际攻击监听由英雄成长系统消费。
effect_0010,reward_rebirth_01,50,unlock_split_multishot,1,,,player_hero,unique,hero_progression_system,split_multishot_unlocked,1,
effect_0011,reward_rebirth_02,10,set_rebirth_level,2,,,player_hero,max,hero_progression_system,rebirth_level,1,
effect_0012,reward_rebirth_02,20,grant_random_skill_or_upgrade,1,,公共技能三选一,player_hero,custom,hero_skill_reward_adapter,skill_reward,1,只展示未拥有的公共技能；选择后从本局技能池移除。
effect_0013,reward_rebirth_02,30,add_all_attributes,3000,,,player_hero,add,hero_progression_system,all_attributes,1,
effect_0014,reward_rebirth_02,40,add_attack_all_attribute_gain,2,,,player_hero,add,hero_progression_system,attack_all_attribute_gain,1,表示英雄每次攻击增加的全属性数值；实际攻击监听由英雄成长系统消费。
effect_0015,reward_rebirth_02,50,add_multishot_count,1,,,player_hero,add,hero_progression_system,multishot_count,1,
effect_0016,reward_rebirth_03,10,set_rebirth_level,3,,,player_hero,max,hero_progression_system,rebirth_level,1,
effect_0017,reward_rebirth_03,20,grant_random_skill_or_upgrade,1,,公共技能三选一,player_hero,custom,hero_skill_reward_adapter,skill_reward,1,只展示未拥有的公共技能；选择后从本局技能池移除。
effect_0018,reward_rebirth_03,30,add_all_attributes,5000,,,player_hero,add,hero_progression_system,all_attributes,1,
