reward_profile_id,reward_group,trigger_type,display_name,reward_text,repeatable,enabled,notes
#中文名:奖励方案ID,奖励组,触发类型,显示名称,奖励说明,是否可重复,是否启用,备注
#types:string,enum,enum,string,string,boolean,boolean,string
reward_practice_wood_100,practice_room,on_each_kill,木材练功房奖励,击杀每个怪物获得100木材。,1,1,练功房怪物每次死亡均调用同一个通用奖励服务。
reward_practice_gold_100,practice_room,on_each_kill,金币练功房奖励,击杀每个怪物获得100金币。,1,1,练功房怪物每次死亡均调用同一个通用奖励服务。
reward_practice_attribute_10,practice_room,on_each_kill,属性练功房奖励,击杀每个怪物获得100点全属性。,1,1,练功房怪物每次死亡均调用同一个通用奖励服务。
reward_practice_attribute_100_gold_1000,practice_room,on_each_kill,大属性练功房奖励,击杀每个怪物获得1000点全属性。,1,1,练功房怪物每次死亡均调用同一个通用奖励服务。
reward_building_challenge_mountain_giant,building_challenge,on_each_kill,山岭巨人挑战奖励,城墙护甲+3，城墙生命+1%。,1,1,按山岭巨人每次击杀重复叠加。
reward_building_challenge_treant,building_challenge,on_each_kill,树人挑战奖励,箭塔攻击+100×挑战次数，箭塔攻击加成+1%。,1,1,固定与按挑战次数缩放效果组合。
reward_building_challenge_red_dragon,building_challenge,on_each_kill,红龙挑战奖励,伐木效率+1。,1,1,按红龙每次击杀重复叠加。
reward_building_challenge_blademaster,building_challenge,on_each_kill,剑圣挑战奖励,英雄全属性+1000×挑战次数，攻击+2000×挑战次数。,1,1,按剑圣挑战次数缩放。
reward_building_challenge_alchemist,building_challenge,on_each_kill,炼金挑战奖励,金矿收益+2%。,1,1,按炼金每次击杀重复叠加。
reward_rebirth_01,rebirth,on_encounter_complete,一转奖励,获得英雄专属技能/提高英雄2000全属性/增加攻击全属性+1/解锁分裂多重攻击,0,1,完成对应转职Boss后只发放一次；服务端必须记录完成状态。
reward_rebirth_02,rebirth,on_encounter_complete,二转奖励,公共技能三选一/提高英雄3000全属性/增加攻击全属性+2/多重攻击+1,0,1,完成对应转职Boss后只发放一次；选择后技能从本局公共池移除。
reward_rebirth_03,rebirth,on_encounter_complete,三转奖励,公共技能三选一/提高英雄5000全属性/增加攻击全属性+3/多重攻击+1,0,1,完成对应转职Boss后只发放一次；选择后技能从本局公共池移除。
reward_rebirth_04,rebirth,on_encounter_complete,四转奖励,公共技能三选一/提高英雄10000全属性/增加攻击全属性+4/多重攻击+1,0,1,完成对应转职Boss后只发放一次；选择后技能从本局公共池移除。
reward_rebirth_05,rebirth,on_encounter_complete,五转奖励,公共技能三选一/提高英雄20000全属性/增加攻击全属性+6/多重攻击+1,0,1,完成对应转职Boss后只发放一次；选择后技能从本局公共池移除。
reward_rebirth_06,rebirth,on_encounter_complete,六转奖励,公共技能点+1/提高英雄30000全属性/增加攻击全属性+7/多重攻击+1,0,1,完成对应转职Boss后只发放一次；技能点不能升级专属技能。
reward_rebirth_07,rebirth,on_encounter_complete,七转奖励,公共技能点+1/提高英雄50000全属性/增加攻击全属性+8/多重攻击+1,0,1,完成对应转职Boss后只发放一次；技能点不能升级专属技能。
reward_rebirth_08,rebirth,on_encounter_complete,八转奖励,公共技能点+1/提高英雄70000全属性/增加攻击全属性+9/多重攻击+1,0,1,完成对应转职Boss后只发放一次；技能点不能升级专属技能。
reward_rebirth_09,rebirth,on_encounter_complete,九转奖励,公共技能点+1/提高英雄100000全属性/增加攻击全属性+10/多重攻击+1,0,1,完成对应转职Boss后只发放一次；技能点不能升级专属技能。
reward_rebirth_10,rebirth,on_encounter_complete,十转奖励,公共技能点+1/提高英雄200000全属性/增加攻击全属性+12/多重攻击+1,0,1,完成对应转职Boss后只发放一次；技能点不能升级专属技能。
