rule_id,from_content_id,to_content_id,progression_type,required_value,consume_progress,target,enabled,review_status,source,notes
#中文名:规则ID,来源内容ID,目标内容ID,进阶类型,所需数值,是否消耗进度,目标,是否启用,审核状态,来源,备注
#types:string,string,string,enum,number,boolean,string,boolean,enum,string,string
progress_weapon_growth_sword_01,weapon_growth_sword_01,weapon_growth_sword_02,normal_attack_count,200,1,owner_hero,1,ok,武器合成/行2,
progress_weapon_growth_sword_02,weapon_growth_sword_02,weapon_growth_sword_03,normal_attack_count,200,1,owner_hero,1,ok,武器合成/行3,
progress_weapon_growth_sword_03,weapon_growth_sword_03,weapon_growth_sword_04,normal_attack_count,200,1,owner_hero,1,needs_confirmation,武器合成/行4,
progress_weapon_growth_sword_04,weapon_growth_sword_04,weapon_growth_sword_max,normal_attack_count,200,1,owner_hero,1,needs_confirmation,武器合成/行5,
progress_equipment_attack_gloves_01,equipment_attack_gloves_01,equipment_attack_gloves_02,repeat_purchase,1,1,owner_hero,1,ok,武器合成/行8,
progress_equipment_attack_gloves_02,equipment_attack_gloves_02,equipment_attack_gloves_03,repeat_purchase,1,1,owner_hero,1,ok,武器合成/行9,
progress_equipment_attack_gloves_03,equipment_attack_gloves_03,equipment_attack_gloves_04,repeat_purchase,1,1,owner_hero,1,ok,武器合成/行10,
progress_equipment_attack_gloves_04,equipment_attack_gloves_04,equipment_attack_gloves_max,repeat_purchase,1,1,owner_hero,1,ok,武器合成/行11,
progress_equipment_burning_blade_01,equipment_burning_blade_01,equipment_burning_blade_02,repeat_purchase,1,1,owner_hero,1,ok,武器合成/行13,
progress_equipment_burning_blade_02,equipment_burning_blade_02,equipment_burning_blade_03,repeat_purchase,1,1,owner_hero,1,ok,武器合成/行14,
progress_equipment_burning_blade_03,equipment_burning_blade_03,equipment_burning_blade_04,repeat_purchase,1,1,owner_hero,1,ok,武器合成/行15,
progress_equipment_burning_blade_04,equipment_burning_blade_04,equipment_burning_blade_max,repeat_purchase,1,1,owner_hero,1,ok,武器合成/行16,
progress_equipment_iron_armor_01,equipment_iron_armor_01,equipment_iron_armor_02,repeat_purchase,1,1,owner_hero,1,ok,武器合成/行18,
progress_equipment_iron_armor_02,equipment_iron_armor_02,equipment_iron_armor_03,repeat_purchase,1,1,owner_hero,1,ok,武器合成/行19,
progress_equipment_iron_armor_03,equipment_iron_armor_03,equipment_iron_armor_04,repeat_purchase,1,1,owner_hero,1,ok,武器合成/行20,
progress_equipment_iron_armor_04,equipment_iron_armor_04,equipment_iron_armor_max,repeat_purchase,1,1,owner_hero,1,ok,武器合成/行21,
progress_equipment_infernal_armor_01,equipment_infernal_armor_01,equipment_infernal_armor_02,recipe_upgrade,,1,owner_hero,1,ok,武器合成/行23,
progress_equipment_infernal_armor_02,equipment_infernal_armor_02,equipment_infernal_armor_03,recipe_upgrade,,1,owner_hero,1,ok,武器合成/行24,
progress_equipment_infernal_armor_03,equipment_infernal_armor_03,equipment_infernal_armor_04,recipe_upgrade,,1,owner_hero,1,ok,武器合成/行25,
progress_equipment_infernal_armor_04,equipment_infernal_armor_04,equipment_infernal_armor_max,recipe_upgrade,,1,owner_hero,1,ok,武器合成/行26,
progress_weapon_frost_blade_01,weapon_frost_blade_01,weapon_frost_blade_02,normal_attack_count,250,1,owner_hero,1,needs_confirmation,武器合成/行40,
progress_weapon_frost_blade_02,weapon_frost_blade_02,weapon_frost_blade_03,normal_attack_count,300,1,owner_hero,1,ok,武器合成/行41,
progress_weapon_frost_blade_03,weapon_frost_blade_03,weapon_frost_blade_04,normal_attack_count,350,1,owner_hero,1,ok,武器合成/行42,
progress_weapon_frost_blade_04,weapon_frost_blade_04,weapon_frost_blade_max,normal_attack_count,400,1,owner_hero,1,ok,武器合成/行43,
progress_weapon_ice_blade_01,weapon_ice_blade_01,weapon_ice_blade_02,monster_kill_count,200,1,owner_hero,1,needs_confirmation,武器合成/行47,
progress_weapon_ice_blade_02,weapon_ice_blade_02,weapon_ice_blade_03,monster_kill_count,250,1,owner_hero,1,needs_confirmation,武器合成/行48,
progress_weapon_ice_blade_03,weapon_ice_blade_03,weapon_ice_blade_04,monster_kill_count,300,1,owner_hero,1,needs_confirmation,武器合成/行49,
progress_weapon_ice_blade_04,weapon_ice_blade_04,weapon_ice_blade_max,monster_kill_count,350,1,owner_hero,1,needs_confirmation,武器合成/行50,
progress_weapon_epic_icefire_00,weapon_epic_icefire_00,weapon_epic_icefire_01,,,1,owner_hero,1,needs_confirmation,武器合成/行53,
progress_weapon_epic_icefire_01,weapon_epic_icefire_01,weapon_epic_icefire_02,,,1,owner_hero,1,needs_confirmation,武器合成/行54,
progress_weapon_epic_icefire_02,weapon_epic_icefire_02,weapon_epic_icefire_03,,,1,owner_hero,1,needs_confirmation,武器合成/行55,
progress_weapon_epic_icefire_03,weapon_epic_icefire_03,weapon_epic_icefire_04,,,1,owner_hero,1,needs_confirmation,武器合成/行56,
