recipe_id,slot,ingredient_content_id,quantity,consume,role
#中文名:配方ID,槽位,材料内容ID,数量,是否消耗,用途
#types:string,number,string,number,boolean,enum
recipe_growth_max_mask_to_frost_01,1,weapon_growth_sword_max,1,1,ingredient
recipe_growth_max_mask_to_frost_01,2,item_death_mask,1,1,ingredient
recipe_equipment_set_to_infernal_01,1,equipment_attack_gloves_max,1,1,ingredient
recipe_equipment_set_to_infernal_01,2,equipment_burning_blade_max,1,1,ingredient
recipe_equipment_set_to_infernal_01,3,equipment_iron_armor_max,1,1,ingredient
recipe_equipment_set_to_infernal_01,4,material_synthesis_gem,1,1,ingredient
recipe_molten_core_01_to_02,1,material_molten_core_01,3,1,ingredient
recipe_molten_core_02_to_03,1,material_molten_core_02,3,1,ingredient
recipe_infernal_01_to_02,1,equipment_infernal_armor_01,1,1,base_equipment
recipe_infernal_01_to_02,2,material_molten_core_01,1,1,upgrade_material
recipe_infernal_02_to_03,1,equipment_infernal_armor_02,1,1,base_equipment
recipe_infernal_02_to_03,2,material_molten_core_02,1,1,upgrade_material
recipe_infernal_03_to_04,1,equipment_infernal_armor_03,1,1,base_equipment
recipe_infernal_03_to_04,2,material_molten_core_03,1,1,upgrade_material
recipe_infernal_04_to_max,1,equipment_infernal_armor_04,1,1,base_equipment
recipe_infernal_04_to_max,2,material_molten_core_04,1,1,upgrade_material
recipe_frost_max_crystal_gem_to_ice_01,1,weapon_frost_blade_max,1,1,ingredient
recipe_frost_max_crystal_gem_to_ice_01,2,item_large_polar_crystal,1,1,ingredient
recipe_frost_max_crystal_gem_to_ice_01,3,material_synthesis_gem,1,1,ingredient
recipe_ice_infernal_ember_to_epic,1,weapon_ice_blade_max,1,1,ingredient
recipe_ice_infernal_ember_to_epic,2,equipment_infernal_armor_max,1,1,ingredient
recipe_ice_infernal_ember_to_epic,3,material_ice_soul_ember,1,1,ingredient
