content_id,legacy_id,series_id,stage,max_stage,equipment_slot,progression_type,progression_value,next_content_id,description,enabled,review_status,source,notes,wood_cost,gold_cost,shop_enabled,shop_category_id,shop_sort_order,required_city_level,requires_vip,requires_hero_summoned,required_rebirth_level,requires_building_id,requires_content_id,purchase_limit,disabled_reason_text,grant_type,icon_name,encounter_id,engine_item_name,base_attack_min,base_attack_max,base_strength,base_agility,base_intellect,attack_gain_per_attack,strength_gain_per_attack,agility_gain_per_attack,intellect_gain_per_attack,preserve_growth_on_upgrade,auto_equip,display_name,listed_stats,recipe_summary,base_attack_flat,base_health,base_armor,base_attack_speed_pct,base_lifesteal_pct
#中文名:内容ID,旧版ID,系列ID,阶段,最高阶段,装备槽位,进阶类型,进阶所需数值,下一阶段内容ID,描述,是否启用,审核状态,来源,备注,木材消耗,金币消耗,是否进入商店,商店分类ID,商店排序,所需主城等级,是否需要VIP,是否需要已召唤英雄,所需转生等级,所需建筑ID,所需内容ID,购买上限,禁用原因,发放类型,图标名称,遭遇ID,引擎物品名称,基础攻击下限,基础攻击上限,基础力量,基础敏捷,基础智力,每次攻击增加攻击力,每次攻击增加力量,每次攻击增加敏捷,每次攻击增加智力,升级时保留成长,自动装备,中文名称,策划属性摘要,合成关系摘要,基础攻击力,基础生命值,基础护甲,基础攻速%,基础吸血%
#types:string,string,string,number,number,enum,enum,number,string,string,boolean,enum,string,string,number,number,boolean,enum,number,number,boolean,boolean,number,string,string,number,string,enum,string,string,string,number,number,number,number,number,number,number,number,number,boolean,boolean,string,string,string,number,number,number,number,number
weapon_growth_sword_01,1001,growth_sword,1,5,main_hand,normal_attack_count,200,weapon_growth_sword_02,英雄每次攻击增加1点攻击力  攻击200次使该武器进化    成长之剑Lvmax＋吸血面罩 自动合成幻影之剑,1,ok,武器合成/行2,,0,100,1,weapon,10,0,0,1,0,,,1,,virtual_item,item_broadsword,,item_survival_growth_sword_01,0,0,0,0,0,1,0,0,0,1,1,成长之剑Lv1,英雄每次攻击增加1点攻击力  攻击200次使该武器进化    成长之剑Lvmax＋吸血面罩 自动合成幻影之剑,,0,0,0,0,0
weapon_growth_sword_02,1002,growth_sword,2,5,main_hand,normal_attack_count,200,weapon_growth_sword_03,英雄每次攻击增加2点攻击力  攻击200次使该武器进化,1,ok,武器合成/行3,,0,0,0,weapon,20,0,0,1,0,,,0,,virtual_item,item_broadsword,,item_survival_growth_sword_02,0,0,0,0,0,2,0,0,0,1,1,成长之剑Lv2,英雄每次攻击增加2点攻击力  攻击200次使该武器进化,,0,0,0,0,0
weapon_growth_sword_03,1003,growth_sword,3,5,main_hand,normal_attack_count,200,weapon_growth_sword_04,英雄每次攻击增加3点攻击力  攻击200次使该武器进化,1,needs_confirmation,武器合成/行4,,0,18,0,weapon,30,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_broadsword,,item_survival_growth_sword_03,0,0,0,0,0,3,0,0,0,1,1,成长之剑Lv3,英雄每次攻击增加3点攻击力  攻击200次使该武器进化,,0,0,0,0,0
weapon_growth_sword_04,1004,growth_sword,4,5,main_hand,normal_attack_count,200,weapon_growth_sword_max,英雄每次攻击增加4点攻击力  攻击200次使该武器进化,1,needs_confirmation,武器合成/行5,,0,18,0,weapon,40,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_broadsword,,item_survival_growth_sword_04,0,0,0,0,0,4,0,0,0,1,1,成长之剑Lv4,英雄每次攻击增加4点攻击力  攻击200次使该武器进化,,0,0,0,0,0
weapon_growth_sword_max,1005,growth_sword,99,5,main_hand,,,,英雄每次攻击增加5点攻击力  ＋吸血面罩 自动合成霜之剑刃,1,needs_confirmation,武器合成/行6,,0,18,0,weapon,50,0,0,1,0,,,1,数据仍需确认，暂不可购买,virtual_item,item_broadsword,,item_survival_growth_sword_max,0,0,0,0,0,5,0,0,0,1,1,成长之剑Lvmax,英雄每次攻击增加5点攻击力  ＋吸血面罩 自动合成霜之剑刃, | INGREDIENT: 成长之剑Lvmax + 死亡面罩 -> 霜之剑刃Lv1,0,0,0,0,0
equipment_attack_gloves_01,2001,attack_gloves,1,5,accessory,repeat_purchase,1,equipment_attack_gloves_02,"增加英雄20%的攻击速度,重复购买升级，最高5级。  加速手套max＋灼热之刃max＋铁甲max＋合成宝石 ＝ 狱火熔铠Lv1 ",1,ok,武器合成/行8,,0,200,1,weapon,60,0,0,1,0,,,5,,virtual_item,item_gloves,,,,,,,,,,,,0,0,加速手套Lv1,"增加英雄20%的攻击速度,重复购买升级，最高5级。  加速手套max＋灼热之刃max＋铁甲max＋合成宝石 ＝ 狱火熔铠Lv1 ",,,,,20,
equipment_attack_gloves_02,2002,attack_gloves,2,5,accessory,repeat_purchase,1,equipment_attack_gloves_03,"增加英雄40%的攻击速度,重复购买升级，最高5级。  加速手套max＋灼热之刃max＋铁甲max＋合成宝石 ＝ 狱火熔铠Lv1 ",1,ok,武器合成/行9,,0,201,1,weapon,70,0,0,1,0,,,1,,virtual_item,item_gloves,,,,,,,,,,,,0,0,加速手套Lv2,"增加英雄40%的攻击速度,重复购买升级，最高5级。  加速手套max＋灼热之刃max＋铁甲max＋合成宝石 ＝ 狱火熔铠Lv1 ",,,,,40,
equipment_attack_gloves_03,2003,attack_gloves,3,5,accessory,repeat_purchase,1,equipment_attack_gloves_04,"增加英雄60%的攻击速度,重复购买升级，最高5级。  加速手套max＋灼热之刃max＋铁甲max＋合成宝石 ＝ 狱火熔铠Lv1 ",1,ok,武器合成/行10,,0,202,1,weapon,80,0,0,1,0,,,1,,virtual_item,item_gloves,,,,,,,,,,,,0,0,加速手套Lv3,"增加英雄60%的攻击速度,重复购买升级，最高5级。  加速手套max＋灼热之刃max＋铁甲max＋合成宝石 ＝ 狱火熔铠Lv1 ",,,,,60,
