reward_id,definition_version,rarity,display_name,weight,effect_key,effect_scope,value_min,value_max,stacking_rule,cap_value,enabled,notes
#中文表头:奖励ID,定义版本,品级,显示名称,权重,效果键,效果范围,最小值,最大值,叠加规则,上限,是否启用,备注
#types:string,number,string,string,number,string,string,number,number,string,number,boolean,string
seed_wood_20,2,C,幼苗,34,immediate_wood,match,20,20,add,0,1,奖励20木
fish_fry_wood_10,2,C,鱼苗,30,immediate_wood,match,10,10,add,0,1,奖励10木
small_carp_wood_150,2,B,小鲤鱼,11,immediate_wood,match,150,150,add,0,1,奖励150木
large_fish_wall_health_1000,2,C,大鱼,7,wall_health_flat,match,1000,1000,add,0,1,奖励墙生命+1000
wig_hero_attack_speed_20,2,A,假发,5,hero_attack_speed_pct,player,20,20,add,0,1,英雄攻速+20%
small_crucian_population_1,2,B,小鲫鱼,5,immediate_max_population,match,1,1,add,0,1,人口+1
large_crucian_wood_300,2,A,大鲫鱼,3,immediate_wood,match,300,300,add,0,1,奖励300木
small_grass_carp_wood_200_a,2,A,小草鱼,3,immediate_wood,match,200,200,add,0,1,奖励200木
small_fish_tower_attack_100,2,C,小鱼,3,tower_attack_flat,player,100,100,add,0,1,塔攻击+100
small_fish_tower_attack_100_b,2,C,小鱼,3,tower_attack_flat,player,100,100,add,0,1,奖励塔攻击+100
large_lobster_gold_per_second_1,2,S,大龙虾,3,gold_per_second,match,1,1,add,0,1,每秒金币+1
small_shark_wood_per_second_1,2,S,小鲨鱼,3,wood_per_second,match,1,1,add,0,1,每秒木材+1
stinky_sock_lumber_speed_x4,2,S,臭袜子,3,lumberjack_attack_speed_pct,player,300,300,add,0,1,伐木工攻速提高至4倍
large_carp_gold_efficiency_5,2,S,大鲤鱼,2,gold_mine_income_pct,player,5,5,add,0,1,奖励金矿效率+5%
stinky_sock_lumber_speed_4,2,S,臭袜子,2,lumberjack_attack_speed_pct,player,300,300,add,0,1,增加伐木工攻速4倍
large_crucian_wood_800,2,A,大鲫鱼,1,immediate_wood,match,800,800,add,0,1,奖励800木
small_grass_carp_wood_200_b,2,B,小草鱼,1,immediate_wood,match,200,200,add,0,1,奖励200木
small_carp_wood_100,2,B,小鲤鱼,1,immediate_wood,match,100,100,add,0,1,奖励100木
large_carp_gold_efficiency_3,2,S,大鲤鱼,1,gold_mine_income_pct,player,3,3,add,0,1,金矿效率+3%
ghost_suozi_lumber_speed_x4,2,S,鬼索子,1,lumberjack_attack_speed_pct,player,300,300,add,0,1,增加伐木工攻速4倍
yellowfin_lumber_speed_5,2,SS,金枪鱼,1,lumberjack_attack_speed_pct,player,5,5,add,0,1,伐木工攻速+5%
large_tuna_population_3,2,SSR,大金枪鱼,1,immediate_max_population,match,3,3,add,0,1,人口+3
sunfish_hero_attributes_20000,2,SSR,太阳鱼,1,hero_all_attributes_flat,player,20000,20000,add,0,1,英雄初始属性+20000
small_tuna_hero_attack_speed_100,2,SSR,小金枪鱼,1,hero_attack_speed_pct,player,100,100,add,0,1,英雄攻速+100%
rainbow_fish_wood_per_second_5,2,UR,五彩锦鱼,1,wood_per_second,match,5,5,add,0,1,每秒木材+5
crocodile_gold_1000,2,UR,鳄鱼,1,immediate_gold,match,1000,1000,add,0,1,奖励1000点黄金
