reward_id,definition_version,rarity,display_name,weight,effect_key,effect_scope,value_min,value_max,stacking_rule,cap_value,enabled,notes
#中文表头:奖励ID,定义版本,品级,显示名称,权重,效果键,效果范围,最小值,最大值,叠加规则,上限,是否启用,备注
#types:string,number,string,string,number,string,string,number,number,string,number,boolean,string
star_blessing_001,3,,青萍,58,immediate_wood,permanent,10,10,add,0,1,进度49/49；中等置信；当前数量/目标数量按图标叠字记录
star_blessing_002,3,,浮玉,136,wall_health_flat,permanent,500,500,add,0,1,进度84/175；名称/进度可见；当前数量/目标数量按图标叠字记录
star_blessing_003,3,,银朱,136,wall_health_per_second,permanent,1,1,add,0,1,进度84/175；名称/进度可见；效果尚未接入
star_blessing_004,3,,墨影,136,tower_attack_flat,permanent,30,30,add,0,1,进度84/175；名称/进度可见；效果尚未接入
star_blessing_005,3,,雪沫,136,hero_all_attributes_flat,permanent,500,500,add,0,1,进度84/175；名称/进度可见；映射到已有永久效果键
star_blessing_006,3,,素练,136,wall_health_regen_per_second,permanent,5,5,add,0,1,进度84/175；名称/进度可见；效果尚未接入
star_blessing_007,3,,星子,136,wall_damage_block,permanent,5,5,add,0,1,进度84/175；名称/进度可见
star_blessing_008,3,,寸涌,136,hero_attributes_per_second,permanent,2,2,add,0,1,进度84/175；名称/进度可见；效果尚未接入
star_blessing_009,3,,秋毫,48,tower_attack_per_second,permanent,1,1,add,0,1,进度39/39；中等置信；效果尚未接入
star_blessing_010,3,,逍遥,134,hero_health_bonus_pct,permanent,0.3,0.3,add,0,1,进度84/107；名称/进度可见；效果尚未接入
star_blessing_011,3,,从容,134,hero_armor_bonus_pct,permanent,0.3,0.3,add,0,1,进度84/107；已核对；效果尚未接入
star_blessing_012,3,,沧浪,58,hero_final_damage_bonus_pct,permanent,0.3,0.3,add,0,1,进度49/49；名称/进度可见；效果尚未接入
star_blessing_013,3,,碧虚,134,hero_attributes_per_second,permanent,4,4,add,0,1,进度84/107；中等置信；效果尚未接入
star_blessing_014,3,,鸿然,134,hero_attack_speed_pct,permanent,1,1,add,0,1,进度84/107；中等置信；效果尚未接入
star_blessing_015,3,,清宴,134,wall_armor_bonus_pct,permanent,2,2,add,0,1,进度84/107；名称/进度可见；效果尚未接入
star_blessing_016,3,,云汀,20,gold_mine_income_pct,permanent,0.5,0.5,add,0,1,进度20/20；名称/进度可见；已有永久效果键
star_blessing_017,3,,锐息,8,wood_per_second,permanent,1,1,add,0,1,进度8/8；中等置信；名称/效果可见
star_blessing_018,3,,负天,10,tower_attack_speed_bonus_pct,permanent,1,1,add,0,1,进度10/10；名称/进度可见；效果尚未接入
star_blessing_019,3,,蓬莱,9,lumberjack_attack_speed_bonus_pct,permanent,1,1,add,0,1,进度8/8；名称/进度可见；字段已在player_gameplay_stats中定义
star_blessing_020,3,,龙棱,8,tower_attack_per_second,permanent,3,3,add,0,1,进度8/8；名称/进度可见；效果尚未接入
star_blessing_021,3,,定海,86,tower_attack_bonus_pct,permanent,0.5,0.5,add,0,1,进度68/68；已核对；效果尚未接入
star_blessing_022,3,,太玄,8,lumberjack_attack_efficiency,permanent,1,1,add,0,1,进度8/8；名称/进度可见；字段已在player_gameplay_stats中定义
star_blessing_023,3,,归墟,43,hero_all_attributes_pct,permanent,0.5,0.5,add,0,1,进度34/34；名称/进度可见；效果尚未接入
star_blessing_024,3,,坤奥,10,hero_attack_armor_reduction,permanent,0.5,0.5,add,0,1,进度10/10；名称/进度可见；字段已在player_gameplay_stats中定义，来源描述为减甲
star_blessing_025,3,,垂云,43,tower_damage_attack_flat,permanent,1,1,add,0,1,进度34/34；中等置信；效果尚未接入
star_blessing_026,3,,北冥,8,tower_damage_attack_flat,permanent,1,1,add,0,1,进度8/8；名称/进度可见；效果尚未接入
