card_id,display_name,image_path,design_width,design_height,notes
frozen_wall,冰封城墙,custom_game/rogue_cards_v1/frozen_wall.png,232,348,仅美术映射；停用卡不启用
recruit_training,新兵作训,custom_game/rogue_cards_v1/recruit_training.png,232,348,仅美术映射；停用卡不启用
ion_shield,离子护盾,custom_game/rogue_cards_v1/ion_shield.png,232,348,仅美术映射；停用卡不启用
weakening_orb,虚弱宝珠,custom_game/rogue_cards_v1/weakening_orb.png,232,348,仅美术映射；停用卡不启用
divine_wish,神许愿,custom_game/rogue_cards_v1/divine_wish.png,232,348,仅美术映射；停用卡不启用
tower_growth,炮塔成长,custom_game/rogue_cards_v1/tower_growth.png,232,348,仅美术映射；停用卡不启用
fortifications,防御工事,custom_game/rogue_cards_v1/fortifications.png,232,348,仅美术映射；停用卡不启用
feast,盛宴,custom_game/rogue_cards_v1/feast.png,232,348,仅美术映射；停用卡不启用
boss_promise,老板的大饼,custom_game/rogue_cards_v1/boss_promise.png,232,348,仅美术映射；停用卡不启用
far_sighted,深谋远虑,custom_game/rogue_cards_v1/far_sighted.png,232,348,仅美术映射；停用卡不启用
command_change,命令更换,custom_game/rogue_cards_v1/command_change.png,232,348,仅美术映射；停用卡不启用
infrastructure_maniac,基建狂魔,custom_game/rogue_cards_v1/infrastructure_maniac.png,232,348,仅美术映射；停用卡不启用
gunpowder_splash,火药溅射,custom_game/rogue_cards_v1/gunpowder_splash.png,232,348,仅美术映射；停用卡不启用
radiant_sapling,璀璨树苗,custom_game/rogue_cards_v1/radiant_sapling.png,232,348,仅美术映射；停用卡不启用
kick_when_down,落井下石,custom_game/rogue_cards_v1/kick_when_down.png,232,348,仅美术映射；停用卡不启用
tower_network,炮塔串联,custom_game/rogue_cards_v1/tower_network.png,232,348,仅美术映射；停用卡不启用
fiscal_subsidy,财政补贴,custom_game/rogue_cards_v1/fiscal_subsidy.png,232,348,仅美术映射；停用卡不启用
corrosive_shield,腐蚀护盾,custom_game/rogue_cards_v1/corrosive_shield.png,232,348,仅美术映射；停用卡不启用
goblin_duplicator,地精复制器,custom_game/rogue_cards_v1/goblin_duplicator.png,232,348,仅美术映射；停用卡不启用
lucky_watch,幸运怀表,custom_game/rogue_cards_v1/lucky_watch.png,232,348,仅美术映射；停用卡不启用
nuclear_bomb,核弹,custom_game/rogue_cards_v1/nuclear_bomb.png,232,348,仅美术映射；停用卡不启用
bounty_order,赏金密令,custom_game/rogue_cards_v1/bounty_order.png,232,348,仅美术映射；停用卡不启用
high_morale,斗志昂扬,custom_game/rogue_cards_v1/high_morale.png,232,348,仅美术映射；停用卡不启用
in_step,步调一致,custom_game/rogue_cards_v1/in_step.png,232,348,仅美术映射；停用卡不启用
construction_order,建造密令,custom_game/rogue_cards_v1/construction_order.png,232,348,仅美术映射；停用卡不启用
internship_certificate,实习证明,custom_game/rogue_cards_v1/internship_certificate.png,232,348,仅美术映射；停用卡不启用
bloodthirst_potion,渴血药剂,custom_game/rogue_cards_v1/bloodthirst_potion.png,232,348,仅美术映射；停用卡不启用
infrastructure_outsourcing,基建外包,custom_game/rogue_cards_v1/infrastructure_outsourcing.png,232,348,仅美术映射；停用卡不启用
burst_potion,爆发药剂,custom_game/rogue_cards_v1/burst_potion.png,232,348,仅美术映射；停用卡不启用
iron_fist_policy,铁腕政策,custom_game/rogue_cards_v1/iron_fist_policy.png,232,348,仅美术映射；停用卡不启用
training_dummy,训练靶子,custom_game/rogue_cards_v1/training_dummy.png,232,348,仅美术映射；停用卡不启用
wall_recovery,壁垒续航,custom_game/rogue_cards_v1/wall_recovery.png,232,348,仅美术映射；停用卡不启用
wealthy_start,富甲天下,custom_game/rogue_cards_v1/wealthy_start.png,232,348,仅美术映射；停用卡不启用
sharp_volley,锐利速射,custom_game/rogue_cards_v1/sharp_volley.png,232,348,仅美术映射；停用卡不启用
lumberjack_assault,伐木狂袭,custom_game/rogue_cards_v1/lumberjack_assault.png,232,348,仅美术映射；停用卡不启用
fortified_defense,坚甲固守,custom_game/rogue_cards_v1/fortified_defense.png,232,348,仅美术映射；停用卡不启用
infrastructure_maniac_start,基建狂魔,custom_game/rogue_cards_v1/infrastructure_maniac_start.png,232,348,仅美术映射；停用卡不启用
precision_lumber,精研伐木,custom_game/rogue_cards_v1/precision_lumber.png,232,348,仅美术映射；停用卡不启用
peaceful_labor,安居乐业,custom_game/rogue_cards_v1/peaceful_labor.png,232,348,仅美术映射；停用卡不启用
woodcutting_bounty,伐骨积薪,custom_game/rogue_cards_v1/woodcutting_bounty.png,232,348,仅美术映射；停用卡不启用
instant_wood,瞬采木料,custom_game/rogue_cards_v1/instant_wood.png,232,348,仅美术映射；停用卡不启用
gold_mining_secret,淘金秘法,custom_game/rogue_cards_v1/gold_mining_secret.png,232,348,仅美术映射；停用卡不启用
hero_descent,英雄降临,custom_game/rogue_cards_v1/hero_descent.png,232,348,仅美术映射；停用卡不启用
population_expansion,聚拢扩容,custom_game/rogue_cards_v1/population_expansion.png,232,348,仅美术映射；停用卡不启用
natures_gift,自然馈赠,custom_game/rogue_cards_v1/natures_gift.png,232,348,仅美术映射；停用卡不启用
emergency_reinforcement,紧急加固,custom_game/rogue_cards_v1/emergency_reinforcement.png,232,348,仅美术映射；停用卡不启用
wind_strategy,疾风战法,custom_game/rogue_cards_v1/wind_strategy.png,232,348,仅美术映射；停用卡不启用
allround_tempering,全能淬炼,custom_game/rogue_cards_v1/allround_tempering.png,232,348,仅美术映射；停用卡不启用
heavy_hand,夯大力,custom_game/rogue_cards_v1/heavy_hand.png,232,348,仅美术映射；停用卡不启用
first_to_strike,身先士卒,custom_game/rogue_cards_v1/first_to_strike.png,232,348,仅美术映射；停用卡不启用
endless_rebirth,无限轮回,custom_game/rogue_cards_v1/endless_rebirth.png,232,348,仅美术映射；停用卡不启用
long_range_volley,远距齐射,custom_game/rogue_cards_v1/long_range_volley.png,232,348,仅美术映射；停用卡不启用
