lifecycle_id,effect_id,phase_id,rule_order,rule_role,event_type,predicate,transition,counter_delta,enabled,notes
#中文名:生命周期ID,效果ID,阶段ID,规则顺序,规则角色,事件类型,条件,转换,计数变化,是否启用,备注
#types:string,string,string,number,string,string,string,string,number,boolean,string
fortifications_activate,fortifications_attack_speed,active,1,activate,grant_applied,always,none,0,1,
radiant_sapling_activate,radiant_sapling_wood,active,1,activate,grant_applied,always,none,0,1,
fiscal_subsidy_activate,fiscal_subsidy_gold,active,1,activate,grant_applied,always,none,0,1,
frozen_wall_activate,frozen_wall_slow,active,1,activate,grant_applied,always,none,0,1,
recruit_activate,recruit_training_attack,active,1,activate,grant_applied,always,none,0,1,
recruit_created,recruit_training_attack,active,2,recompute,building_created,base_tower_below_level,none,0,1,
recruit_changed,recruit_training_attack,active,3,recompute,building_changed,owner_matches,none,0,1,
recruit_destroyed,recruit_training_attack,active,4,recompute,building_destroyed,owner_matches,none,0,1,
ion_shield_activate,ion_shield_cap,active,1,activate,grant_applied,always,none,0,1,
internship_activate,internship_capacity,active,1,activate,grant_applied,always,none,0,1,
weakening_activate,weakening_orb_boss,active,1,activate,grant_applied,always,none,0,1,
weakening_consume,weakening_orb_boss,active,2,consume,monster_spawned,always,none,-1,1,
divine_wish_activate,divine_wish_policy,active,1,activate,grant_applied,always,none,0,1,
tower_growth_activate,tower_growth_upgrade,active,1,activate,grant_applied,always,none,0,1,
tower_growth_created,tower_growth_upgrade,active,2,recompute,building_created,owner_matches,none,0,1,
tower_growth_changed,tower_growth_upgrade,active,3,recompute,building_changed,owner_matches,none,0,1,
feast_activate,feast_wall_health,active,1,activate,grant_applied,always,none,0,1,
boss_promise_activate,boss_promise_speed,active,1,activate,grant_applied,always,none,0,1,
boss_promise_worker,boss_promise_speed,active,2,recompute,worker_changed,owner_matches,none,0,1,
boss_promise_expire,boss_promise_speed,active,1,expire,timer_elapsed,always,none,0,1,
far_sighted_consume,far_sighted_take_all,active,1,consume,reward_offer_created,owner_matches,none,-1,1,
command_change_activate,command_change_reroll,active,1,activate,grant_applied,always,none,0,1,
lucky_watch_consume,lucky_watch_cooldown,active,1,consume,matching_skill_triggered,owner_matches,none,-1,1,
bounty_order_activate,bounty_order_rewards,active,1,activate,grant_applied,always,none,0,1,
bloodthirst_transition,bloodthirst_lifesteal,burst,1,transition,timer_elapsed,always,next_phase,0,1,
bloodthirst_hero,bloodthirst_lifesteal,burst,2,recompute,hero_summoned,owner_matches,none,0,1,
bloodthirst_permanent,bloodthirst_lifesteal,permanent,2,recompute,hero_summoned,owner_matches,none,0,1,声明永久阶段并支持后召唤英雄投影。
frozen_wall_spawned,frozen_wall_slow,active,2,recompute,monster_spawned,always,none,0,1,
infrastructure_activate,infrastructure_maniac_upgrade,active,1,activate,grant_applied,always,none,0,1,
infrastructure_completed,infrastructure_maniac_upgrade,active,2,recompute,building_changed,owner_matches,none,0,1,
gunpowder_activate,gunpowder_splash_damage,active,1,activate,grant_applied,always,none,0,1,
kick_when_down_activate,kick_when_down_damage,active,1,activate,grant_applied,always,none,0,1,
network_activate,tower_network_attack,active,1,activate,grant_applied,always,none,0,1,
corrosive_activate,corrosive_shield_armor,active,1,activate,grant_applied,always,none,0,1,
corrosive_spawned,corrosive_shield_armor,active,2,recompute,monster_spawned,always,none,0,1,
training_dummy_react,training_dummy_growth,active,2,recompute,unit_attacked_dummy,owner_matches,none,0,1,
nuclear_bomb_activate,nuclear_bomb_action,active,1,activate,grant_applied,always,none,0,1,
high_morale_activate,high_morale_attack,active,1,activate,grant_applied,always,none,0,1,
in_step_activate,in_step_attack,active,1,activate,grant_applied,always,none,0,1,
construction_order_activate,construction_order_action,active,1,activate,grant_applied,always,none,0,1,
bloodthirst_activate,bloodthirst_lifesteal,burst,1,activate,grant_applied,always,none,0,1,
outsourcing_activate,infrastructure_outsourcing_gold,active,1,activate,grant_applied,always,none,0,1,
iron_fist_activate,iron_fist_armor,active,1,activate,grant_applied,always,none,0,1,
training_dummy_activate,training_dummy_growth,active,1,activate,grant_applied,always,none,0,1,
high_morale_building,high_morale_attack,active,2,recompute,building_created,owner_matches,none,0,1,
high_morale_hero,high_morale_attack,active,3,recompute,hero_summoned,owner_matches,none,0,1,
in_step_building,in_step_attack,active,2,recompute,building_created,owner_matches,none,0,1,
